iter	Logloss
0	0.6877345471
1	0.6824647907
2	0.6773204706
3	0.6722570598
4	0.6672382917
5	0.6623608757
6	0.6575600982
7	0.6528030917
8	0.6482042508
9	0.6436036637
10	0.6391422421
11	0.6347409802
12	0.6304242069
13	0.6262215545
14	0.6220456373
15	0.6179278737
16	0.6138905429
17	0.6099635046
18	0.6060882168
19	0.6022878141
20	0.598568236
21	0.5949040391
22	0.5912664524
23	0.5877399454
24	0.5842389677
25	0.5807994198
26	0.5774441427
27	0.5741088949
28	0.570858227
29	0.5676464937
30	0.5644807099
31	0.5613824882
32	0.5583190311
33	0.5552977271
34	0.552311988
35	0.5493872687
36	0.5465468111
37	0.5437347477
38	0.5409833327
39	0.5382796768
40	0.5355970491
41	0.532969172
42	0.5303849649
43	0.5278390891
44	0.5253119324
45	0.522837476
46	0.5203963361
47	0.5179942976
48	0.5156449516
49	0.5133006349
50	0.5110134622
51	0.5087485512
52	0.5065387925
53	0.5043437064
54	0.5022073442
55	0.5001053651
56	0.4980272964
57	0.4959864629
58	0.4939571173
59	0.4919968674
60	0.4900302091
61	0.4880777735
62	0.4861706369
63	0.4842853684
64	0.4824271032
65	0.4806235157
66	0.4788253012
67	0.4770969307
68	0.4753414022
69	0.4736046659
70	0.4719153472
71	0.470235587
72	0.4685986712
73	0.4669800078
74	0.4653790029
75	0.4638020394
76	0.4622469179
77	0.4607354144
78	0.4592474312
79	0.4577694608
80	0.4563203345
81	0.4548718369
82	0.4534733804
83	0.4520624816
84	0.4506629681
85	0.4493051215
86	0.4479908871
87	0.4466756503
88	0.4453780376
89	0.4440924174
90	0.4428228513
91	0.4415865384
92	0.4403637487
93	0.4391785282
94	0.4379842442
95	0.4367969257
96	0.4356402315
97	0.4345114528
98	0.4334028038
99	0.4322858655
