iter	Logloss
0	0.6492577692
1	0.6091839932
2	0.5726156961
3	0.5393027765
4	0.5083986058
5	0.4800878676
6	0.4538680069
7	0.4298686553
8	0.4076316723
9	0.3868318993
10	0.3674828737
11	0.3495075825
12	0.3326357297
13	0.3170307752
14	0.3024702921
15	0.288809562
16	0.2762139847
17	0.2640604672
18	0.2527283507
19	0.242259495
20	0.2322126441
21	0.2229658361
22	0.2141017188
23	0.2057479259
24	0.1980595496
25	0.1905599914
26	0.1836583933
27	0.1771815993
28	0.1709115553
29	0.1650516474
30	0.1595139663
31	0.1542589549
32	0.1491774403
33	0.1444882225
