/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 19698, number of negative: 71411
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.036258 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 26083
[LightGBM] [Info] Number of data points in the train set: 91109, number of used features: 178
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216203 -> initscore=-1.287935
[LightGBM] [Info] Start training from score -1.287935
[1]	auc's auc: 0.805103
Training until validation scores don't improve for 50 rounds
[2]	auc's auc: 0.809101
[3]	auc's auc: 0.813536
[4]	auc's auc: 0.814745
[5]	auc's auc: 0.816169
[6]	auc's auc: 0.818942
[7]	auc's auc: 0.819796
[8]	auc's auc: 0.821054
[9]	auc's auc: 0.821797
[10]	auc's auc: 0.822059
[11]	auc's auc: 0.822831
[12]	auc's auc: 0.823489
[13]	auc's auc: 0.823868
[14]	auc's auc: 0.82485
[15]	auc's auc: 0.826092
[16]	auc's auc: 0.826728
[17]	auc's auc: 0.827774
[18]	auc's auc: 0.828377
[19]	auc's auc: 0.828897
[20]	auc's auc: 0.82988
[21]	auc's auc: 0.830551
[22]	auc's auc: 0.831301
[23]	auc's auc: 0.831706
[24]	auc's auc: 0.832106
[25]	auc's auc: 0.83244
[26]	auc's auc: 0.83296
[27]	auc's auc: 0.833303
[28]	auc's auc: 0.833802
[29]	auc's auc: 0.834258
[30]	auc's auc: 0.834721
[31]	auc's auc: 0.835247
[32]	auc's auc: 0.835537
[33]	auc's auc: 0.836069
[34]	auc's auc: 0.83661
[35]	auc's auc: 0.836915
[36]	auc's auc: 0.837302
[37]	auc's auc: 0.83752
[38]	auc's auc: 0.838034
[39]	auc's auc: 0.83849
[40]	auc's auc: 0.839047
[41]	auc's auc: 0.839435
[42]	auc's auc: 0.839934
[43]	auc's auc: 0.840143
[44]	auc's auc: 0.840432
[45]	auc's auc: 0.840838
[46]	auc's auc: 0.841257
[47]	auc's auc: 0.841569
[48]	auc's auc: 0.842063
[49]	auc's auc: 0.842532
[50]	auc's auc: 0.842882
[51]	auc's auc: 0.843304
[52]	auc's auc: 0.84366
[53]	auc's auc: 0.844105
[54]	auc's auc: 0.844375
[55]	auc's auc: 0.844715
[56]	auc's auc: 0.845023
[57]	auc's auc: 0.845291
[58]	auc's auc: 0.84561
[59]	auc's auc: 0.84591
[60]	auc's auc: 0.846138
[61]	auc's auc: 0.846394
[62]	auc's auc: 0.846691
[63]	auc's auc: 0.847075
[64]	auc's auc: 0.847411
[65]	auc's auc: 0.847655
[66]	auc's auc: 0.847887
[67]	auc's auc: 0.848351
[68]	auc's auc: 0.848686
[69]	auc's auc: 0.848872
[70]	auc's auc: 0.849027
[71]	auc's auc: 0.849224
[72]	auc's auc: 0.849434
[73]	auc's auc: 0.849601
[74]	auc's auc: 0.850217
[75]	auc's auc: 0.850412
[76]	auc's auc: 0.850616
[77]	auc's auc: 0.851181
[78]	auc's auc: 0.851293
[79]	auc's auc: 0.851489
[80]	auc's auc: 0.851922
[81]	auc's auc: 0.85203
[82]	auc's auc: 0.852297
[83]	auc's auc: 0.852493
[84]	auc's auc: 0.852623
[85]	auc's auc: 0.852918
[86]	auc's auc: 0.853054
[87]	auc's auc: 0.853386
[88]	auc's auc: 0.85364
[89]	auc's auc: 0.853818
[90]	auc's auc: 0.854165
[91]	auc's auc: 0.854218
[92]	auc's auc: 0.854366
[93]	auc's auc: 0.854501
[94]	auc's auc: 0.854836
[95]	auc's auc: 0.854971
[96]	auc's auc: 0.855117
[97]	auc's auc: 0.855421
[98]	auc's auc: 0.855474
[99]	auc's auc: 0.855603
[100]	auc's auc: 0.855704
[101]	auc's auc: 0.855769
[102]	auc's auc: 0.855941
[103]	auc's auc: 0.856044
[104]	auc's auc: 0.856234
[105]	auc's auc: 0.856386
[106]	auc's auc: 0.856522
[107]	auc's auc: 0.856656
[108]	auc's auc: 0.856763
[109]	auc's auc: 0.856966
[110]	auc's auc: 0.857083
[111]	auc's auc: 0.857249
[112]	auc's auc: 0.857351
[113]	auc's auc: 0.857454
[114]	auc's auc: 0.857589
[115]	auc's auc: 0.857821
[116]	auc's auc: 0.857947
[117]	auc's auc: 0.858008
[118]	auc's auc: 0.858157
[119]	auc's auc: 0.85824
[120]	auc's auc: 0.858313
[121]	auc's auc: 0.858429
[122]	auc's auc: 0.858507
[123]	auc's auc: 0.85863
[124]	auc's auc: 0.858748
[125]	auc's auc: 0.85895
[126]	auc's auc: 0.859077
[127]	auc's auc: 0.859248
[128]	auc's auc: 0.85931
[129]	auc's auc: 0.859343
[130]	auc's auc: 0.859402
[131]	auc's auc: 0.859426
[132]	auc's auc: 0.859462
[133]	auc's auc: 0.859555
[134]	auc's auc: 0.85962
[135]	auc's auc: 0.859629
[136]	auc's auc: 0.859726
[137]	auc's auc: 0.859782
[138]	auc's auc: 0.859843
[139]	auc's auc: 0.859918
[140]	auc's auc: 0.859945
[141]	auc's auc: 0.859973
[142]	auc's auc: 0.859974
[143]	auc's auc: 0.86007
[144]	auc's auc: 0.860049
[145]	auc's auc: 0.86017
[146]	auc's auc: 0.860342
[147]	auc's auc: 0.860366
[148]	auc's auc: 0.86046
[149]	auc's auc: 0.860503
[150]	auc's auc: 0.860556
[151]	auc's auc: 0.860605
[152]	auc's auc: 0.860636
[153]	auc's auc: 0.860761
[154]	auc's auc: 0.860771
[155]	auc's auc: 0.860854
[156]	auc's auc: 0.861009
[157]	auc's auc: 0.861017
[158]	auc's auc: 0.861055
[159]	auc's auc: 0.861078
[160]	auc's auc: 0.861103
