[LightGBM] [Info] Number of positive: 19698, number of negative: 71411
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.034986 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 26083
[LightGBM] [Info] Number of data points in the train set: 91109, number of used features: 178
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216203 -> initscore=-1.287935
[LightGBM] [Info] Start training from score -1.287935
[1]	auc's auc: 0.807199
Training until validation scores don't improve for 50 rounds
[2]	auc's auc: 0.813687
[3]	auc's auc: 0.817166
[4]	auc's auc: 0.819609
[5]	auc's auc: 0.821409
[6]	auc's auc: 0.822597
[7]	auc's auc: 0.824458
[8]	auc's auc: 0.824935
[9]	auc's auc: 0.825761
[10]	auc's auc: 0.826589
[11]	auc's auc: 0.827377
[12]	auc's auc: 0.828135
[13]	auc's auc: 0.828924
[14]	auc's auc: 0.829556
[15]	auc's auc: 0.830523
[16]	auc's auc: 0.831164
[17]	auc's auc: 0.831882
[18]	auc's auc: 0.832506
[19]	auc's auc: 0.833332
[20]	auc's auc: 0.834102
[21]	auc's auc: 0.834521
[22]	auc's auc: 0.834928
[23]	auc's auc: 0.835673
[24]	auc's auc: 0.836164
[25]	auc's auc: 0.836728
[26]	auc's auc: 0.837538
[27]	auc's auc: 0.837945
[28]	auc's auc: 0.838355
[29]	auc's auc: 0.838766
[30]	auc's auc: 0.839142
[31]	auc's auc: 0.839329
[32]	auc's auc: 0.839822
[33]	auc's auc: 0.840097
[34]	auc's auc: 0.840546
[35]	auc's auc: 0.841004
[36]	auc's auc: 0.841484
[37]	auc's auc: 0.841894
[38]	auc's auc: 0.842149
[39]	auc's auc: 0.84244
[40]	auc's auc: 0.842775
[41]	auc's auc: 0.843263
[42]	auc's auc: 0.84367
[43]	auc's auc: 0.843996
[44]	auc's auc: 0.844465
[45]	auc's auc: 0.844732
[46]	auc's auc: 0.844899
[47]	auc's auc: 0.845362
[48]	auc's auc: 0.845735
[49]	auc's auc: 0.845986
[50]	auc's auc: 0.846275
[51]	auc's auc: 0.846691
[52]	auc's auc: 0.846849
[53]	auc's auc: 0.847263
[54]	auc's auc: 0.847556
[55]	auc's auc: 0.84786
[56]	auc's auc: 0.848134
[57]	auc's auc: 0.848445
[58]	auc's auc: 0.848773
[59]	auc's auc: 0.849115
[60]	auc's auc: 0.849527
[61]	auc's auc: 0.849743
[62]	auc's auc: 0.850065
[63]	auc's auc: 0.850247
[64]	auc's auc: 0.850524
[65]	auc's auc: 0.850897
[66]	auc's auc: 0.851061
[67]	auc's auc: 0.851215
[68]	auc's auc: 0.85139
[69]	auc's auc: 0.851532
[70]	auc's auc: 0.851626
[71]	auc's auc: 0.851791
[72]	auc's auc: 0.852047
[73]	auc's auc: 0.852506
[74]	auc's auc: 0.852825
[75]	auc's auc: 0.853018
[76]	auc's auc: 0.853233
[77]	auc's auc: 0.853484
[78]	auc's auc: 0.85367
[79]	auc's auc: 0.853908
[80]	auc's auc: 0.853933
[81]	auc's auc: 0.85415
[82]	auc's auc: 0.854361
[83]	auc's auc: 0.854678
[84]	auc's auc: 0.854955
[85]	auc's auc: 0.855317
[86]	auc's auc: 0.855522
[87]	auc's auc: 0.855624
[88]	auc's auc: 0.855679
[89]	auc's auc: 0.855808
[90]	auc's auc: 0.85601
[91]	auc's auc: 0.85623
[92]	auc's auc: 0.856421
[93]	auc's auc: 0.856588
[94]	auc's auc: 0.856597
[95]	auc's auc: 0.856729
[96]	auc's auc: 0.857073
[97]	auc's auc: 0.857182
[98]	auc's auc: 0.857325
[99]	auc's auc: 0.857479
[100]	auc's auc: 0.857703
[101]	auc's auc: 0.857961
[102]	auc's auc: 0.858149
[103]	auc's auc: 0.858238
[104]	auc's auc: 0.858319
[105]	auc's auc: 0.858464
[106]	auc's auc: 0.858572
[107]	auc's auc: 0.858685
[108]	auc's auc: 0.858756
[109]	auc's auc: 0.858882
[110]	auc's auc: 0.858954
[111]	auc's auc: 0.859014
[112]	auc's auc: 0.859107
[113]	auc's auc: 0.859188
[114]	auc's auc: 0.859381
[115]	auc's auc: 0.859444
[116]	auc's auc: 0.859539
[117]	auc's auc: 0.859539
[118]	auc's auc: 0.859633
[119]	auc's auc: 0.85973
[120]	auc's auc: 0.859775
[121]	auc's auc: 0.859912
[122]	auc's auc: 0.859946
[123]	auc's auc: 0.860183
[124]	auc's auc: 0.860192
[125]	auc's auc: 0.860381
[126]	auc's auc: 0.860401
[127]	auc's auc: 0.860479
[128]	auc's auc: 0.860544
[129]	auc's auc: 0.860647
[130]	auc's auc: 0.860669
[131]	auc's auc: 0.86079
[132]	auc's auc: 0.860858
[133]	auc's auc: 0.860897
[134]	auc's auc: 0.860933
[135]	auc's auc: 0.860977
[136]	auc's auc: 0.861031
[137]	auc's auc: 0.861034
[138]	auc's auc: 0.861216
[139]	auc's auc: 0.861251
[140]	auc's auc: 0.861247
[141]	auc's auc: 0.86129
[142]	auc's auc: 0.861403
[143]	auc's auc: 0.86142
[144]	auc's auc: 0.861479
[145]	auc's auc: 0.861531
[146]	auc's auc: 0.861588
[147]	auc's auc: 0.861625
[148]	auc's auc: 0.861628
[149]	auc's auc: 0.861669
[150]	auc's auc: 0.861807
[151]	auc's auc: 0.861818
[152]	auc's auc: 0.861855
[153]	auc's auc: 0.86188
[154]	auc's auc: 0.861907
[155]	auc's auc: 0.861946
[156]	auc's auc: 0.862029
[157]	auc's auc: 0.862076
[158]	auc's auc: 0.862061
[159]	auc's auc: 0.86213
[160]	auc's auc: 0.862168
[161]	auc's auc: 0.862201
[162]	auc's auc: 0.862245
[163]	auc's auc: 0.862245
[164]	auc's auc: 0.862267
[165]	auc's auc: 0.862271
[166]	auc's auc: 0.86229
[167]	auc's auc: 0.862269
[168]	auc's auc: 0.862244
[169]	auc's auc: 0.862341
[170]	auc's auc: 0.86233
[171]	auc's auc: 0.862356
[172]	auc's auc: 0.862387
[173]	auc's auc: 0.862419
[174]	auc's auc: 0.862461
[175]	auc's auc: 0.862474
[176]	auc's auc: 0.862448
[177]	auc's auc: 0.862517
[178]	auc's auc: 0.862542
[179]	auc's auc: 0.862561
[180]	auc's auc: 0.862595
[181]	auc's auc: 0.862626
[182]	auc's auc: 0.862696
[183]	auc's auc: 0.862714
[184]	auc's auc: 0.862691
[185]	auc's auc: 0.862701
[186]	auc's auc: 0.862676
[187]	auc's auc: 0.862706
[188]	auc's auc: 0.862717
[189]	auc's auc: 0.862702
[190]	auc's auc: 0.862746
[191]	auc's auc: 0.862785
[192]	auc's auc: 0.862828
[193]	auc's auc: 0.862804
[194]	auc's auc: 0.862801
[195]	auc's auc: 0.862833
[196]	auc's auc: 0.862815
[197]	auc's auc: 0.862869
[198]	auc's auc: 0.862856
[199]	auc's auc: 0.862924
[200]	auc's auc: 0.862894
[201]	auc's auc: 0.862876
[202]	auc's auc: 0.862869
[203]	auc's auc: 0.862912
[204]	auc's auc: 0.862879
[205]	auc's auc: 0.862945
[206]	auc's auc: 0.862947
[207]	auc's auc: 0.862957
[208]	auc's auc: 0.862948
[209]	auc's auc: 0.863022
[210]	auc's auc: 0.863045
[211]	auc's auc: 0.863053
[212]	auc's auc: 0.863038
[213]	auc's auc: 0.863027
[214]	auc's auc: 0.863009
[215]	auc's auc: 0.863034
[216]	auc's auc: 0.863012
[217]	auc's auc: 0.863015
[218]	auc's auc: 0.86302
[219]	auc's auc: 0.863004
[220]	auc's auc: 0.86299
[221]	auc's auc: 0.863013
[222]	auc's auc: 0.863062
[223]	auc's auc: 0.863079
[224]	auc's auc: 0.863067
[225]	auc's auc: 0.863129
[226]	auc's auc: 0.863168
[227]	auc's auc: 0.863171
[228]	auc's auc: 0.863179
[229]	auc's auc: 0.863239
[230]	auc's auc: 0.86326
[231]	auc's auc: 0.863251
[232]	auc's auc: 0.863236
[233]	auc's auc: 0.863235
[234]	auc's auc: 0.863262
[235]	auc's auc: 0.863284
[236]	auc's auc: 0.863304
[237]	auc's auc: 0.863264
[238]	auc's auc: 0.86325
[239]	auc's auc: 0.863258
[240]	auc's auc: 0.863282
[241]	auc's auc: 0.863258
[242]	auc's auc: 0.863247
[243]	auc's auc: 0.863301
[244]	auc's auc: 0.863276
[245]	auc's auc: 0.863267
[246]	auc's auc: 0.863265
[247]	auc's auc: 0.86336
[248]	auc's auc: 0.863335
[249]	auc's auc: 0.863323
[250]	auc's auc: 0.863316
[251]	auc's auc: 0.863321
[252]	auc's auc: 0.863357
[253]	auc's auc: 0.863354
[254]	auc's auc: 0.863375
[255]	auc's auc: 0.863359
[256]	auc's auc: 0.863367
[257]	auc's auc: 0.863387
[258]	auc's auc: 0.863359
[259]	auc's auc: 0.863344
[260]	auc's auc: 0.863325
[261]	auc's auc: 0.863347
[262]	auc's auc: 0.863311
[263]	auc's auc: 0.863292
[264]	auc's auc: 0.863297
[265]	auc's auc: 0.863303
[266]	auc's auc: 0.863343
[267]	auc's auc: 0.863328
[268]	auc's auc: 0.863337
[269]	auc's auc: 0.863325
[270]	auc's auc: 0.863341
[271]	auc's auc: 0.863313
[272]	auc's auc: 0.863319
[273]	auc's auc: 0.863345
[274]	auc's auc: 0.863332
[275]	auc's auc: 0.863346
[276]	auc's auc: 0.86334
[277]	auc's auc: 0.863348
[278]	auc's auc: 0.863344
[279]	auc's auc: 0.863412
[280]	auc's auc: 0.863425
[281]	auc's auc: 0.863428
[282]	auc's auc: 0.863446
[283]	auc's auc: 0.863442
[284]	auc's auc: 0.863443
[285]	auc's auc: 0.863449
[286]	auc's auc: 0.863436
[287]	auc's auc: 0.863459
[288]	auc's auc: 0.863488
[289]	auc's auc: 0.863487
[290]	auc's auc: 0.863454
[291]	auc's auc: 0.863487
[292]	auc's auc: 0.863494
[293]	auc's auc: 0.863478
[294]	auc's auc: 0.863531
[295]	auc's auc: 0.86352
[296]	auc's auc: 0.86352
[297]	auc's auc: 0.863517
[298]	auc's auc: 0.863524
[299]	auc's auc: 0.86351
[300]	auc's auc: 0.863515
[301]	auc's auc: 0.863503
[302]	auc's auc: 0.863496
[303]	auc's auc: 0.863518
[304]	auc's auc: 0.863521
[305]	auc's auc: 0.863519
[306]	auc's auc: 0.863535
[307]	auc's auc: 0.863574
[308]	auc's auc: 0.863591
[309]	auc's auc: 0.863623
[310]	auc's auc: 0.86357
[311]	auc's auc: 0.863559
[312]	auc's auc: 0.863572
[313]	auc's auc: 0.863583
[314]	auc's auc: 0.863576
[315]	auc's auc: 0.863584
[316]	auc's auc: 0.863594
[317]	auc's auc: 0.863609
[318]	auc's auc: 0.863602
[319]	auc's auc: 0.863599
[320]	auc's auc: 0.863565
[321]	auc's auc: 0.863591
[322]	auc's auc: 0.863596
[323]	auc's auc: 0.863598
[324]	auc's auc: 0.86363
[325]	auc's auc: 0.863643
[326]	auc's auc: 0.863636
[327]	auc's auc: 0.863624
[328]	auc's auc: 0.863624
[329]	auc's auc: 0.863584
[330]	auc's auc: 0.863589
[331]	auc's auc: 0.863577
[332]	auc's auc: 0.863579
[333]	auc's auc: 0.863606
[334]	auc's auc: 0.863586
[335]	auc's auc: 0.863582
[336]	auc's auc: 0.863579
[337]	auc's auc: 0.863628
[338]	auc's auc: 0.863604
[339]	auc's auc: 0.86361
[340]	auc's auc: 0.863604
[341]	auc's auc: 0.863636
[342]	auc's auc: 0.863627
[343]	auc's auc: 0.863604
[344]	auc's auc: 0.863599
[345]	auc's auc: 0.863589
[346]	auc's auc: 0.863569
[347]	auc's auc: 0.863531
[348]	auc's auc: 0.863526
[349]	auc's auc: 0.863585
[350]	auc's auc: 0.863539
[351]	auc's auc: 0.863524
[352]	auc's auc: 0.863571
[353]	auc's auc: 0.863572
[354]	auc's auc: 0.863559
[355]	auc's auc: 0.863566
[356]	auc's auc: 0.863526
[357]	auc's auc: 0.863524
[358]	auc's auc: 0.863571
[359]	auc's auc: 0.863596
[360]	auc's auc: 0.863572
[361]	auc's auc: 0.863554
[362]	auc's auc: 0.863569
[363]	auc's auc: 0.86357
[364]	auc's auc: 0.863575
[365]	auc's auc: 0.863564
[366]	auc's auc: 0.863541
[367]	auc's auc: 0.863549
[368]	auc's auc: 0.863539
[369]	auc's auc: 0.863526
[370]	auc's auc: 0.863501
[371]	auc's auc: 0.863514
[372]	auc's auc: 0.863499
[373]	auc's auc: 0.863491
[374]	auc's auc: 0.863487
[375]	auc's auc: 0.863477
Early stopping, best iteration is:
[325]	auc's auc: 0.863643
