Found `n_estimators` in params. Will use it instead of argument
[LightGBM] [Info] Number of positive: 18173, number of negative: 65827
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.030521 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 25512
[LightGBM] [Info] Number of data points in the train set: 84000, number of used features: 177
Overriding the parameters from Reference Dataset.
categorical_column in param dict is overridden.
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216345 -> initscore=-1.287093
[LightGBM] [Info] Start training from score -1.287093
[1]	auc's auc: 0.818621
Training until validation scores don't improve for 50 rounds
[2]	auc's auc: 0.822185
[3]	auc's auc: 0.827662
[4]	auc's auc: 0.829174
[5]	auc's auc: 0.831133
[6]	auc's auc: 0.832416
[7]	auc's auc: 0.833193
[8]	auc's auc: 0.834483
[9]	auc's auc: 0.835705
[10]	auc's auc: 0.83688
[11]	auc's auc: 0.837639
[12]	auc's auc: 0.838215
[13]	auc's auc: 0.83891
[14]	auc's auc: 0.839456
[15]	auc's auc: 0.840531
[16]	auc's auc: 0.841364
[17]	auc's auc: 0.841921
[18]	auc's auc: 0.842655
[19]	auc's auc: 0.843266
[20]	auc's auc: 0.843738
[21]	auc's auc: 0.844397
[22]	auc's auc: 0.844868
[23]	auc's auc: 0.845354
[24]	auc's auc: 0.845705
[25]	auc's auc: 0.845982
[26]	auc's auc: 0.846508
[27]	auc's auc: 0.847063
[28]	auc's auc: 0.84759
[29]	auc's auc: 0.848172
[30]	auc's auc: 0.848559
[31]	auc's auc: 0.849002
[32]	auc's auc: 0.849553
[33]	auc's auc: 0.850007
[34]	auc's auc: 0.850414
[35]	auc's auc: 0.850695
[36]	auc's auc: 0.851046
[37]	auc's auc: 0.851375
[38]	auc's auc: 0.851687
[39]	auc's auc: 0.851911
[40]	auc's auc: 0.852126
[41]	auc's auc: 0.852439
[42]	auc's auc: 0.85282
[43]	auc's auc: 0.853053
[44]	auc's auc: 0.853481
[45]	auc's auc: 0.854014
[46]	auc's auc: 0.854202
[47]	auc's auc: 0.854528
[48]	auc's auc: 0.854836
[49]	auc's auc: 0.855041
[50]	auc's auc: 0.855382
[51]	auc's auc: 0.855726
[52]	auc's auc: 0.856246
[53]	auc's auc: 0.856405
[54]	auc's auc: 0.856574
[55]	auc's auc: 0.856872
[56]	auc's auc: 0.857109
