/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[00:33:59] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81772	test-auc:0.80625
[1]	train-auc:0.82191	test-auc:0.81019
[2]	train-auc:0.82413	test-auc:0.81194
[3]	train-auc:0.82645	test-auc:0.81399
[4]	train-auc:0.82888	test-auc:0.81599
[5]	train-auc:0.83051	test-auc:0.81747
[6]	train-auc:0.83275	test-auc:0.81982
[7]	train-auc:0.83350	test-auc:0.82034
[8]	train-auc:0.83459	test-auc:0.82138
[9]	train-auc:0.83520	test-auc:0.82198
[10]	train-auc:0.83585	test-auc:0.82254
[11]	train-auc:0.83626	test-auc:0.82285
[12]	train-auc:0.83763	test-auc:0.82444
[13]	train-auc:0.83876	test-auc:0.82546
[14]	train-auc:0.83924	test-auc:0.82582
[15]	train-auc:0.83965	test-auc:0.82608
[16]	train-auc:0.84018	test-auc:0.82667
[17]	train-auc:0.84076	test-auc:0.82711
[18]	train-auc:0.84118	test-auc:0.82747
[19]	train-auc:0.84207	test-auc:0.82836
[20]	train-auc:0.84252	test-auc:0.82881
[21]	train-auc:0.84284	test-auc:0.82887
[22]	train-auc:0.84342	test-auc:0.82932
[23]	train-auc:0.84400	test-auc:0.82978
[24]	train-auc:0.84444	test-auc:0.82991
[25]	train-auc:0.84501	test-auc:0.83025
[26]	train-auc:0.84564	test-auc:0.83080
[27]	train-auc:0.84617	test-auc:0.83120
[28]	train-auc:0.84673	test-auc:0.83173
[29]	train-auc:0.84731	test-auc:0.83232
[30]	train-auc:0.84763	test-auc:0.83256
[31]	train-auc:0.84800	test-auc:0.83272
[32]	train-auc:0.84854	test-auc:0.83305
[33]	train-auc:0.84892	test-auc:0.83324
[34]	train-auc:0.84937	test-auc:0.83358
[35]	train-auc:0.84987	test-auc:0.83392
[36]	train-auc:0.85031	test-auc:0.83418
[37]	train-auc:0.85074	test-auc:0.83451
[38]	train-auc:0.85120	test-auc:0.83478
[39]	train-auc:0.85170	test-auc:0.83513
[40]	train-auc:0.85224	test-auc:0.83556
[41]	train-auc:0.85268	test-auc:0.83582
[42]	train-auc:0.85314	test-auc:0.83611
[43]	train-auc:0.85381	test-auc:0.83665
[44]	train-auc:0.85420	test-auc:0.83699
[45]	train-auc:0.85469	test-auc:0.83725
[46]	train-auc:0.85524	test-auc:0.83771
[47]	train-auc:0.85585	test-auc:0.83815
[48]	train-auc:0.85640	test-auc:0.83847
[49]	train-auc:0.85679	test-auc:0.83879
[50]	train-auc:0.85736	test-auc:0.83924
[51]	train-auc:0.85789	test-auc:0.83955
[52]	train-auc:0.85838	test-auc:0.83990
[53]	train-auc:0.85887	test-auc:0.84018
[54]	train-auc:0.85938	test-auc:0.84051
[55]	train-auc:0.85982	test-auc:0.84069
[56]	train-auc:0.86034	test-auc:0.84098
[57]	train-auc:0.86082	test-auc:0.84122
[58]	train-auc:0.86134	test-auc:0.84154
[59]	train-auc:0.86170	test-auc:0.84170
[60]	train-auc:0.86210	test-auc:0.84203
[61]	train-auc:0.86255	test-auc:0.84231
[62]	train-auc:0.86294	test-auc:0.84250
[63]	train-auc:0.86333	test-auc:0.84274
[64]	train-auc:0.86378	test-auc:0.84299
[65]	train-auc:0.86425	test-auc:0.84328
[66]	train-auc:0.86464	test-auc:0.84352
[67]	train-auc:0.86491	test-auc:0.84367
[68]	train-auc:0.86528	test-auc:0.84389
[69]	train-auc:0.86566	test-auc:0.84420
[70]	train-auc:0.86620	test-auc:0.84459
[71]	train-auc:0.86682	test-auc:0.84501
[72]	train-auc:0.86728	test-auc:0.84538
[73]	train-auc:0.86773	test-auc:0.84568
[74]	train-auc:0.86819	test-auc:0.84598
[75]	train-auc:0.86857	test-auc:0.84617
[76]	train-auc:0.86899	test-auc:0.84636
[77]	train-auc:0.86947	test-auc:0.84677
[78]	train-auc:0.86994	test-auc:0.84699
[79]	train-auc:0.87026	test-auc:0.84709
[80]	train-auc:0.87060	test-auc:0.84723
[81]	train-auc:0.87085	test-auc:0.84739
[82]	train-auc:0.87127	test-auc:0.84758
[83]	train-auc:0.87151	test-auc:0.84773
[84]	train-auc:0.87179	test-auc:0.84785
[85]	train-auc:0.87220	test-auc:0.84802
[86]	train-auc:0.87264	test-auc:0.84827
[87]	train-auc:0.87318	test-auc:0.84863
[88]	train-auc:0.87370	test-auc:0.84902
[89]	train-auc:0.87420	test-auc:0.84941
[90]	train-auc:0.87455	test-auc:0.84954
[91]	train-auc:0.87528	test-auc:0.85021
[92]	train-auc:0.87575	test-auc:0.85045
[93]	train-auc:0.87597	test-auc:0.85058
[94]	train-auc:0.87644	test-auc:0.85086
[95]	train-auc:0.87670	test-auc:0.85097
[96]	train-auc:0.87711	test-auc:0.85114
[97]	train-auc:0.87734	test-auc:0.85119
[98]	train-auc:0.87779	test-auc:0.85145
[99]	train-auc:0.87801	test-auc:0.85153
[100]	train-auc:0.87847	test-auc:0.85186
[101]	train-auc:0.87876	test-auc:0.85194
[102]	train-auc:0.87896	test-auc:0.85205
[103]	train-auc:0.87932	test-auc:0.85228
[104]	train-auc:0.87966	test-auc:0.85244
[105]	train-auc:0.87984	test-auc:0.85252
[106]	train-auc:0.88018	test-auc:0.85276
[107]	train-auc:0.88046	test-auc:0.85284
[108]	train-auc:0.88079	test-auc:0.85311
[109]	train-auc:0.88096	test-auc:0.85317
[110]	train-auc:0.88124	test-auc:0.85327
[111]	train-auc:0.88156	test-auc:0.85339
[112]	train-auc:0.88177	test-auc:0.85348
[113]	train-auc:0.88204	test-auc:0.85360
[114]	train-auc:0.88245	test-auc:0.85390
[115]	train-auc:0.88276	test-auc:0.85396
[116]	train-auc:0.88294	test-auc:0.85403
[117]	train-auc:0.88323	test-auc:0.85424
[118]	train-auc:0.88344	test-auc:0.85430
[119]	train-auc:0.88374	test-auc:0.85441
[120]	train-auc:0.88411	test-auc:0.85463
[121]	train-auc:0.88437	test-auc:0.85475
[122]	train-auc:0.88462	test-auc:0.85494
[123]	train-auc:0.88496	test-auc:0.85512
[124]	train-auc:0.88531	test-auc:0.85530
[125]	train-auc:0.88561	test-auc:0.85535
[126]	train-auc:0.88584	test-auc:0.85549
[127]	train-auc:0.88613	test-auc:0.85554
[128]	train-auc:0.88632	test-auc:0.85566
[129]	train-auc:0.88659	test-auc:0.85577
[130]	train-auc:0.88686	test-auc:0.85586
[131]	train-auc:0.88701	test-auc:0.85593
[132]	train-auc:0.88734	test-auc:0.85610
[133]	train-auc:0.88756	test-auc:0.85614
[134]	train-auc:0.88776	test-auc:0.85626
[135]	train-auc:0.88802	test-auc:0.85637
[136]	train-auc:0.88824	test-auc:0.85642
[137]	train-auc:0.88850	test-auc:0.85659
[138]	train-auc:0.88869	test-auc:0.85661
[139]	train-auc:0.88894	test-auc:0.85675
[140]	train-auc:0.88926	test-auc:0.85696
[141]	train-auc:0.88947	test-auc:0.85703
[142]	train-auc:0.88961	test-auc:0.85710
[143]	train-auc:0.88982	test-auc:0.85724
[144]	train-auc:0.89007	test-auc:0.85734
[145]	train-auc:0.89029	test-auc:0.85739
[146]	train-auc:0.89050	test-auc:0.85757
[147]	train-auc:0.89076	test-auc:0.85765
[148]	train-auc:0.89096	test-auc:0.85777
[149]	train-auc:0.89118	test-auc:0.85785
[150]	train-auc:0.89139	test-auc:0.85785
[151]	train-auc:0.89165	test-auc:0.85798
[152]	train-auc:0.89191	test-auc:0.85816
[153]	train-auc:0.89220	test-auc:0.85822
[154]	train-auc:0.89237	test-auc:0.85832
[155]	train-auc:0.89260	test-auc:0.85845
[156]	train-auc:0.89283	test-auc:0.85857
[157]	train-auc:0.89305	test-auc:0.85865
[158]	train-auc:0.89333	test-auc:0.85882
[159]	train-auc:0.89346	test-auc:0.85890
[160]	train-auc:0.89371	test-auc:0.85902
[161]	train-auc:0.89385	test-auc:0.85905
[162]	train-auc:0.89407	test-auc:0.85908
[163]	train-auc:0.89430	test-auc:0.85915
[164]	train-auc:0.89455	test-auc:0.85920
[165]	train-auc:0.89465	test-auc:0.85926
[166]	train-auc:0.89490	test-auc:0.85932
[167]	train-auc:0.89503	test-auc:0.85935
[168]	train-auc:0.89523	test-auc:0.85938
[169]	train-auc:0.89555	test-auc:0.85958
[170]	train-auc:0.89571	test-auc:0.85967
[171]	train-auc:0.89592	test-auc:0.85973
[172]	train-auc:0.89611	test-auc:0.85978
[173]	train-auc:0.89633	test-auc:0.85981
[174]	train-auc:0.89659	test-auc:0.85991
[175]	train-auc:0.89675	test-auc:0.85999
[176]	train-auc:0.89690	test-auc:0.86006
[177]	train-auc:0.89706	test-auc:0.86008
[178]	train-auc:0.89719	test-auc:0.86016
[179]	train-auc:0.89742	test-auc:0.86027
[180]	train-auc:0.89764	test-auc:0.86028
[181]	train-auc:0.89778	test-auc:0.86036
[182]	train-auc:0.89798	test-auc:0.86036
[183]	train-auc:0.89811	test-auc:0.86042
[184]	train-auc:0.89828	test-auc:0.86048
[185]	train-auc:0.89852	test-auc:0.86055
[186]	train-auc:0.89861	test-auc:0.86058
[187]	train-auc:0.89872	test-auc:0.86062
[188]	train-auc:0.89888	test-auc:0.86069
[189]	train-auc:0.89900	test-auc:0.86077
[190]	train-auc:0.89924	test-auc:0.86083
[191]	train-auc:0.89942	test-auc:0.86087
[192]	train-auc:0.89958	test-auc:0.86095
[193]	train-auc:0.89966	test-auc:0.86097
[194]	train-auc:0.89988	test-auc:0.86097
[195]	train-auc:0.90008	test-auc:0.86101
[196]	train-auc:0.90020	test-auc:0.86108
[197]	train-auc:0.90034	test-auc:0.86109
[198]	train-auc:0.90050	test-auc:0.86111
[199]	train-auc:0.90066	test-auc:0.86116
