/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[00:40:07] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81772	test-auc:0.80625
[1]	train-auc:0.81822	test-auc:0.80646
[2]	train-auc:0.82011	test-auc:0.80911
[3]	train-auc:0.82024	test-auc:0.80889
[4]	train-auc:0.82134	test-auc:0.80990
[5]	train-auc:0.82194	test-auc:0.81027
[6]	train-auc:0.82286	test-auc:0.81097
[7]	train-auc:0.82342	test-auc:0.81137
[8]	train-auc:0.82356	test-auc:0.81131
[9]	train-auc:0.82361	test-auc:0.81138
[10]	train-auc:0.82452	test-auc:0.81233
[11]	train-auc:0.82468	test-auc:0.81232
[12]	train-auc:0.82551	test-auc:0.81312
[13]	train-auc:0.82598	test-auc:0.81346
[14]	train-auc:0.82625	test-auc:0.81391
[15]	train-auc:0.82653	test-auc:0.81413
[16]	train-auc:0.82684	test-auc:0.81453
[17]	train-auc:0.82720	test-auc:0.81483
[18]	train-auc:0.82829	test-auc:0.81579
[19]	train-auc:0.82867	test-auc:0.81606
[20]	train-auc:0.82909	test-auc:0.81638
[21]	train-auc:0.83005	test-auc:0.81746
[22]	train-auc:0.83024	test-auc:0.81758
[23]	train-auc:0.83055	test-auc:0.81774
[24]	train-auc:0.83088	test-auc:0.81804
[25]	train-auc:0.83110	test-auc:0.81820
[26]	train-auc:0.83133	test-auc:0.81834
[27]	train-auc:0.83154	test-auc:0.81848
[28]	train-auc:0.83198	test-auc:0.81894
[29]	train-auc:0.83216	test-auc:0.81920
[30]	train-auc:0.83247	test-auc:0.81944
[31]	train-auc:0.83265	test-auc:0.81956
[32]	train-auc:0.83294	test-auc:0.81984
[33]	train-auc:0.83301	test-auc:0.81991
[34]	train-auc:0.83322	test-auc:0.82008
[35]	train-auc:0.83342	test-auc:0.82026
[36]	train-auc:0.83358	test-auc:0.82041
[37]	train-auc:0.83377	test-auc:0.82055
[38]	train-auc:0.83397	test-auc:0.82067
[39]	train-auc:0.83420	test-auc:0.82088
[40]	train-auc:0.83431	test-auc:0.82092
[41]	train-auc:0.83456	test-auc:0.82121
[42]	train-auc:0.83468	test-auc:0.82134
[43]	train-auc:0.83486	test-auc:0.82160
[44]	train-auc:0.83493	test-auc:0.82156
[45]	train-auc:0.83515	test-auc:0.82185
[46]	train-auc:0.83527	test-auc:0.82195
[47]	train-auc:0.83539	test-auc:0.82202
[48]	train-auc:0.83553	test-auc:0.82211
[49]	train-auc:0.83561	test-auc:0.82213
[50]	train-auc:0.83574	test-auc:0.82228
[51]	train-auc:0.83580	test-auc:0.82228
