/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[11:36:23] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.80939	test-auc:0.80126
[1]	train-auc:0.81496	test-auc:0.80497
[2]	train-auc:0.82038	test-auc:0.81089
[3]	train-auc:0.82165	test-auc:0.81130
[4]	train-auc:0.82408	test-auc:0.81419
[5]	train-auc:0.82548	test-auc:0.81621
[6]	train-auc:0.82847	test-auc:0.81955
[7]	train-auc:0.82919	test-auc:0.82006
[8]	train-auc:0.83007	test-auc:0.82085
[9]	train-auc:0.83148	test-auc:0.82239
[10]	train-auc:0.83224	test-auc:0.82310
[11]	train-auc:0.83354	test-auc:0.82426
[12]	train-auc:0.83423	test-auc:0.82492
[13]	train-auc:0.83476	test-auc:0.82540
[14]	train-auc:0.83565	test-auc:0.82608
[15]	train-auc:0.83645	test-auc:0.82638
[16]	train-auc:0.83729	test-auc:0.82726
[17]	train-auc:0.83863	test-auc:0.82840
[18]	train-auc:0.83903	test-auc:0.82874
[19]	train-auc:0.84005	test-auc:0.82948
[20]	train-auc:0.84088	test-auc:0.83017
[21]	train-auc:0.84146	test-auc:0.83053
[22]	train-auc:0.84251	test-auc:0.83134
[23]	train-auc:0.84321	test-auc:0.83182
[24]	train-auc:0.84404	test-auc:0.83251
[25]	train-auc:0.84480	test-auc:0.83306
[26]	train-auc:0.84577	test-auc:0.83395
[27]	train-auc:0.84672	test-auc:0.83484
[28]	train-auc:0.84747	test-auc:0.83539
[29]	train-auc:0.84826	test-auc:0.83595
[30]	train-auc:0.84925	test-auc:0.83679
[31]	train-auc:0.84995	test-auc:0.83749
[32]	train-auc:0.85069	test-auc:0.83811
[33]	train-auc:0.85144	test-auc:0.83875
[34]	train-auc:0.85203	test-auc:0.83924
[35]	train-auc:0.85263	test-auc:0.83978
[36]	train-auc:0.85330	test-auc:0.84036
[37]	train-auc:0.85404	test-auc:0.84081
[38]	train-auc:0.85481	test-auc:0.84127
[39]	train-auc:0.85587	test-auc:0.84222
[40]	train-auc:0.85644	test-auc:0.84257
[41]	train-auc:0.85785	test-auc:0.84381
[42]	train-auc:0.85847	test-auc:0.84449
[43]	train-auc:0.85894	test-auc:0.84465
[44]	train-auc:0.85958	test-auc:0.84497
[45]	train-auc:0.85996	test-auc:0.84517
[46]	train-auc:0.86042	test-auc:0.84543
[47]	train-auc:0.86087	test-auc:0.84567
[48]	train-auc:0.86164	test-auc:0.84632
[49]	train-auc:0.86225	test-auc:0.84683
[50]	train-auc:0.86289	test-auc:0.84720
[51]	train-auc:0.86327	test-auc:0.84746
[52]	train-auc:0.86375	test-auc:0.84765
[53]	train-auc:0.86435	test-auc:0.84817
[54]	train-auc:0.86477	test-auc:0.84843
[55]	train-auc:0.86530	test-auc:0.84873
[56]	train-auc:0.86614	test-auc:0.84935
[57]	train-auc:0.86682	test-auc:0.84986
[58]	train-auc:0.86712	test-auc:0.85008
[59]	train-auc:0.86772	test-auc:0.85049
[60]	train-auc:0.86818	test-auc:0.85078
[61]	train-auc:0.86866	test-auc:0.85118
[62]	train-auc:0.86905	test-auc:0.85145
[63]	train-auc:0.86928	test-auc:0.85168
[64]	train-auc:0.86972	test-auc:0.85201
[65]	train-auc:0.87022	test-auc:0.85221
[66]	train-auc:0.87054	test-auc:0.85240
[67]	train-auc:0.87090	test-auc:0.85262
[68]	train-auc:0.87130	test-auc:0.85276
[69]	train-auc:0.87161	test-auc:0.85301
[70]	train-auc:0.87219	test-auc:0.85345
[71]	train-auc:0.87252	test-auc:0.85362
[72]	train-auc:0.87303	test-auc:0.85401
[73]	train-auc:0.87360	test-auc:0.85447
[74]	train-auc:0.87387	test-auc:0.85454
[75]	train-auc:0.87411	test-auc:0.85463
[76]	train-auc:0.87443	test-auc:0.85473
[77]	train-auc:0.87477	test-auc:0.85484
[78]	train-auc:0.87513	test-auc:0.85494
[79]	train-auc:0.87550	test-auc:0.85509
[80]	train-auc:0.87588	test-auc:0.85530
[81]	train-auc:0.87608	test-auc:0.85539
[82]	train-auc:0.87634	test-auc:0.85551
[83]	train-auc:0.87679	test-auc:0.85583
[84]	train-auc:0.87711	test-auc:0.85597
[85]	train-auc:0.87738	test-auc:0.85607
[86]	train-auc:0.87766	test-auc:0.85622
[87]	train-auc:0.87797	test-auc:0.85628
[88]	train-auc:0.87865	test-auc:0.85690
[89]	train-auc:0.87888	test-auc:0.85700
[90]	train-auc:0.87908	test-auc:0.85709
[91]	train-auc:0.87934	test-auc:0.85719
[92]	train-auc:0.87959	test-auc:0.85735
[93]	train-auc:0.87979	test-auc:0.85743
[94]	train-auc:0.88013	test-auc:0.85753
[95]	train-auc:0.88035	test-auc:0.85753
[96]	train-auc:0.88054	test-auc:0.85763
[97]	train-auc:0.88073	test-auc:0.85771
[98]	train-auc:0.88120	test-auc:0.85806
[99]	train-auc:0.88143	test-auc:0.85815
[100]	train-auc:0.88174	test-auc:0.85825
[101]	train-auc:0.88205	test-auc:0.85838
[102]	train-auc:0.88219	test-auc:0.85845
[103]	train-auc:0.88235	test-auc:0.85859
[104]	train-auc:0.88264	test-auc:0.85867
[105]	train-auc:0.88281	test-auc:0.85876
[106]	train-auc:0.88300	test-auc:0.85877
[107]	train-auc:0.88328	test-auc:0.85896
[108]	train-auc:0.88356	test-auc:0.85901
[109]	train-auc:0.88373	test-auc:0.85911
[110]	train-auc:0.88387	test-auc:0.85917
[111]	train-auc:0.88418	test-auc:0.85924
[112]	train-auc:0.88443	test-auc:0.85928
[113]	train-auc:0.88485	test-auc:0.85958
[114]	train-auc:0.88508	test-auc:0.85972
[115]	train-auc:0.88538	test-auc:0.85984
[116]	train-auc:0.88562	test-auc:0.85984
[117]	train-auc:0.88591	test-auc:0.85998
[118]	train-auc:0.88607	test-auc:0.86000
[119]	train-auc:0.88634	test-auc:0.86009
[120]	train-auc:0.88650	test-auc:0.86014
[121]	train-auc:0.88677	test-auc:0.86033
[122]	train-auc:0.88689	test-auc:0.86036
[123]	train-auc:0.88713	test-auc:0.86049
[124]	train-auc:0.88738	test-auc:0.86060
[125]	train-auc:0.88750	test-auc:0.86063
[126]	train-auc:0.88774	test-auc:0.86071
[127]	train-auc:0.88800	test-auc:0.86089
[128]	train-auc:0.88824	test-auc:0.86099
[129]	train-auc:0.88841	test-auc:0.86111
[130]	train-auc:0.88857	test-auc:0.86114
[131]	train-auc:0.88874	test-auc:0.86119
[132]	train-auc:0.88895	test-auc:0.86121
[133]	train-auc:0.88912	test-auc:0.86128
[134]	train-auc:0.88923	test-auc:0.86127
[135]	train-auc:0.88936	test-auc:0.86137
[136]	train-auc:0.88951	test-auc:0.86150
[137]	train-auc:0.88969	test-auc:0.86158
[138]	train-auc:0.88988	test-auc:0.86152
[139]	train-auc:0.89003	test-auc:0.86157
[140]	train-auc:0.89023	test-auc:0.86161
[141]	train-auc:0.89042	test-auc:0.86166
[142]	train-auc:0.89064	test-auc:0.86177
[143]	train-auc:0.89084	test-auc:0.86182
[144]	train-auc:0.89104	test-auc:0.86194
[145]	train-auc:0.89112	test-auc:0.86200
[146]	train-auc:0.89123	test-auc:0.86201
[147]	train-auc:0.89143	test-auc:0.86200
[148]	train-auc:0.89161	test-auc:0.86209
[149]	train-auc:0.89176	test-auc:0.86211
[150]	train-auc:0.89195	test-auc:0.86216
[151]	train-auc:0.89212	test-auc:0.86220
[152]	train-auc:0.89220	test-auc:0.86221
[153]	train-auc:0.89245	test-auc:0.86233
[154]	train-auc:0.89272	test-auc:0.86242
[155]	train-auc:0.89294	test-auc:0.86247
[156]	train-auc:0.89311	test-auc:0.86249
[157]	train-auc:0.89351	test-auc:0.86279
[158]	train-auc:0.89366	test-auc:0.86283
[159]	train-auc:0.89379	test-auc:0.86288
[160]	train-auc:0.89390	test-auc:0.86291
[161]	train-auc:0.89402	test-auc:0.86294
[162]	train-auc:0.89423	test-auc:0.86295
[163]	train-auc:0.89440	test-auc:0.86303
[164]	train-auc:0.89450	test-auc:0.86310
[165]	train-auc:0.89465	test-auc:0.86318
[166]	train-auc:0.89477	test-auc:0.86316
[167]	train-auc:0.89488	test-auc:0.86317
[168]	train-auc:0.89497	test-auc:0.86320
[169]	train-auc:0.89521	test-auc:0.86333
[170]	train-auc:0.89555	test-auc:0.86359
[171]	train-auc:0.89574	test-auc:0.86366
[172]	train-auc:0.89598	test-auc:0.86369
[173]	train-auc:0.89618	test-auc:0.86370
[174]	train-auc:0.89627	test-auc:0.86376
[175]	train-auc:0.89639	test-auc:0.86373
[176]	train-auc:0.89653	test-auc:0.86376
[177]	train-auc:0.89667	test-auc:0.86380
[178]	train-auc:0.89691	test-auc:0.86391
[179]	train-auc:0.89712	test-auc:0.86394
[180]	train-auc:0.89727	test-auc:0.86399
[181]	train-auc:0.89743	test-auc:0.86401
[182]	train-auc:0.89758	test-auc:0.86402
[183]	train-auc:0.89777	test-auc:0.86411
[184]	train-auc:0.89803	test-auc:0.86418
[185]	train-auc:0.89819	test-auc:0.86418
[186]	train-auc:0.89834	test-auc:0.86418
[187]	train-auc:0.89849	test-auc:0.86418
[188]	train-auc:0.89872	test-auc:0.86420
[189]	train-auc:0.89885	test-auc:0.86426
[190]	train-auc:0.89897	test-auc:0.86421
[191]	train-auc:0.89911	test-auc:0.86425
