/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[16:25:30] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79859	test-auc:0.78567
[1]	train-auc:0.80706	test-auc:0.79414
[2]	train-auc:0.82271	test-auc:0.81012
[3]	train-auc:0.82988	test-auc:0.81672
[4]	train-auc:0.83160	test-auc:0.81887
[5]	train-auc:0.83362	test-auc:0.82060
[6]	train-auc:0.83555	test-auc:0.82233
[7]	train-auc:0.83830	test-auc:0.82528
[8]	train-auc:0.83982	test-auc:0.82691
[9]	train-auc:0.84079	test-auc:0.82804
[10]	train-auc:0.84178	test-auc:0.82876
[11]	train-auc:0.84227	test-auc:0.82939
[12]	train-auc:0.84301	test-auc:0.82991
[13]	train-auc:0.84522	test-auc:0.83166
[14]	train-auc:0.84669	test-auc:0.83299
[15]	train-auc:0.84701	test-auc:0.83313
[16]	train-auc:0.84776	test-auc:0.83356
[17]	train-auc:0.84858	test-auc:0.83431
[18]	train-auc:0.84985	test-auc:0.83508
[19]	train-auc:0.85046	test-auc:0.83582
[20]	train-auc:0.85133	test-auc:0.83637
[21]	train-auc:0.85281	test-auc:0.83736
[22]	train-auc:0.85395	test-auc:0.83794
[23]	train-auc:0.85496	test-auc:0.83861
[24]	train-auc:0.85618	test-auc:0.83942
[25]	train-auc:0.85684	test-auc:0.83969
[26]	train-auc:0.85809	test-auc:0.84078
[27]	train-auc:0.85924	test-auc:0.84156
[28]	train-auc:0.86024	test-auc:0.84236
[29]	train-auc:0.86131	test-auc:0.84296
[30]	train-auc:0.86217	test-auc:0.84344
[31]	train-auc:0.86305	test-auc:0.84396
[32]	train-auc:0.86385	test-auc:0.84433
[33]	train-auc:0.86475	test-auc:0.84492
[34]	train-auc:0.86560	test-auc:0.84551
[35]	train-auc:0.86627	test-auc:0.84586
[36]	train-auc:0.86696	test-auc:0.84632
[37]	train-auc:0.86783	test-auc:0.84683
[38]	train-auc:0.86835	test-auc:0.84698
[39]	train-auc:0.86954	test-auc:0.84784
[40]	train-auc:0.87020	test-auc:0.84817
[41]	train-auc:0.87178	test-auc:0.84943
[42]	train-auc:0.87243	test-auc:0.84978
[43]	train-auc:0.87304	test-auc:0.84993
[44]	train-auc:0.87382	test-auc:0.85035
[45]	train-auc:0.87450	test-auc:0.85079
[46]	train-auc:0.87524	test-auc:0.85125
[47]	train-auc:0.87583	test-auc:0.85150
[48]	train-auc:0.87631	test-auc:0.85160
[49]	train-auc:0.87699	test-auc:0.85206
[50]	train-auc:0.87760	test-auc:0.85224
[51]	train-auc:0.87816	test-auc:0.85244
[52]	train-auc:0.87876	test-auc:0.85278
[53]	train-auc:0.87914	test-auc:0.85303
[54]	train-auc:0.88008	test-auc:0.85363
[55]	train-auc:0.88086	test-auc:0.85406
[56]	train-auc:0.88134	test-auc:0.85420
[57]	train-auc:0.88175	test-auc:0.85436
[58]	train-auc:0.88280	test-auc:0.85523
[59]	train-auc:0.88321	test-auc:0.85537
[60]	train-auc:0.88357	test-auc:0.85546
[61]	train-auc:0.88409	test-auc:0.85581
[62]	train-auc:0.88450	test-auc:0.85598
[63]	train-auc:0.88500	test-auc:0.85617
[64]	train-auc:0.88549	test-auc:0.85661
[65]	train-auc:0.88593	test-auc:0.85670
[66]	train-auc:0.88649	test-auc:0.85684
[67]	train-auc:0.88719	test-auc:0.85718
[68]	train-auc:0.88773	test-auc:0.85756
[69]	train-auc:0.88803	test-auc:0.85776
[70]	train-auc:0.88845	test-auc:0.85791
[71]	train-auc:0.88884	test-auc:0.85800
[72]	train-auc:0.88920	test-auc:0.85812
[73]	train-auc:0.88950	test-auc:0.85824
[74]	train-auc:0.88999	test-auc:0.85830
[75]	train-auc:0.89043	test-auc:0.85851
[76]	train-auc:0.89118	test-auc:0.85905
[77]	train-auc:0.89162	test-auc:0.85913
[78]	train-auc:0.89208	test-auc:0.85945
[79]	train-auc:0.89260	test-auc:0.85970
[80]	train-auc:0.89288	test-auc:0.85980
[81]	train-auc:0.89331	test-auc:0.85990
[82]	train-auc:0.89402	test-auc:0.86044
[83]	train-auc:0.89435	test-auc:0.86056
[84]	train-auc:0.89465	test-auc:0.86063
[85]	train-auc:0.89497	test-auc:0.86070
[86]	train-auc:0.89533	test-auc:0.86077
[87]	train-auc:0.89578	test-auc:0.86089
[88]	train-auc:0.89614	test-auc:0.86107
[89]	train-auc:0.89656	test-auc:0.86122
