/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:15:06] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79792	test-auc:0.78400
[1]	train-auc:0.80669	test-auc:0.79364
[2]	train-auc:0.82224	test-auc:0.80797
[3]	train-auc:0.82940	test-auc:0.81522
[4]	train-auc:0.83125	test-auc:0.81746
[5]	train-auc:0.83300	test-auc:0.81890
[6]	train-auc:0.83502	test-auc:0.82052
[7]	train-auc:0.83687	test-auc:0.82261
[8]	train-auc:0.83783	test-auc:0.82381
[9]	train-auc:0.83964	test-auc:0.82568
[10]	train-auc:0.84066	test-auc:0.82618
[11]	train-auc:0.84131	test-auc:0.82663
[12]	train-auc:0.84230	test-auc:0.82741
[13]	train-auc:0.84464	test-auc:0.82941
[14]	train-auc:0.84615	test-auc:0.83066
[15]	train-auc:0.84666	test-auc:0.83088
[16]	train-auc:0.84743	test-auc:0.83125
[17]	train-auc:0.84831	test-auc:0.83225
[18]	train-auc:0.84963	test-auc:0.83307
[19]	train-auc:0.85017	test-auc:0.83368
[20]	train-auc:0.85094	test-auc:0.83400
[21]	train-auc:0.85214	test-auc:0.83512
[22]	train-auc:0.85331	test-auc:0.83574
[23]	train-auc:0.85437	test-auc:0.83638
[24]	train-auc:0.85533	test-auc:0.83710
[25]	train-auc:0.85603	test-auc:0.83739
[26]	train-auc:0.85780	test-auc:0.83914
[27]	train-auc:0.85859	test-auc:0.83951
[28]	train-auc:0.85945	test-auc:0.84026
[29]	train-auc:0.86037	test-auc:0.84086
[30]	train-auc:0.86120	test-auc:0.84127
[31]	train-auc:0.86230	test-auc:0.84203
[32]	train-auc:0.86284	test-auc:0.84228
[33]	train-auc:0.86372	test-auc:0.84269
[34]	train-auc:0.86449	test-auc:0.84313
[35]	train-auc:0.86522	test-auc:0.84355
[36]	train-auc:0.86604	test-auc:0.84403
[37]	train-auc:0.86699	test-auc:0.84483
[38]	train-auc:0.86754	test-auc:0.84503
[39]	train-auc:0.86918	test-auc:0.84648
[40]	train-auc:0.86990	test-auc:0.84688
[41]	train-auc:0.87091	test-auc:0.84753
[42]	train-auc:0.87180	test-auc:0.84798
