/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[22:26:25] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79784	test-auc:0.78401
[1]	train-auc:0.80685	test-auc:0.79334
[2]	train-auc:0.82234	test-auc:0.80780
[3]	train-auc:0.82949	test-auc:0.81510
[4]	train-auc:0.83156	test-auc:0.81728
[5]	train-auc:0.83315	test-auc:0.81911
[6]	train-auc:0.83512	test-auc:0.82127
[7]	train-auc:0.83742	test-auc:0.82401
[8]	train-auc:0.83874	test-auc:0.82529
[9]	train-auc:0.83972	test-auc:0.82645
[10]	train-auc:0.84056	test-auc:0.82678
[11]	train-auc:0.84099	test-auc:0.82712
[12]	train-auc:0.84164	test-auc:0.82746
[13]	train-auc:0.84412	test-auc:0.82934
[14]	train-auc:0.84555	test-auc:0.83064
[15]	train-auc:0.84597	test-auc:0.83074
[16]	train-auc:0.84676	test-auc:0.83115
[17]	train-auc:0.84769	test-auc:0.83213
[18]	train-auc:0.84901	test-auc:0.83284
[19]	train-auc:0.84955	test-auc:0.83349
[20]	train-auc:0.85032	test-auc:0.83402
[21]	train-auc:0.85170	test-auc:0.83528
[22]	train-auc:0.85288	test-auc:0.83591
[23]	train-auc:0.85393	test-auc:0.83671
[24]	train-auc:0.85539	test-auc:0.83769
[25]	train-auc:0.85615	test-auc:0.83785
[26]	train-auc:0.85729	test-auc:0.83885
[27]	train-auc:0.85834	test-auc:0.83957
[28]	train-auc:0.85937	test-auc:0.84040
[29]	train-auc:0.86019	test-auc:0.84095
[30]	train-auc:0.86103	test-auc:0.84139
[31]	train-auc:0.86218	test-auc:0.84214
[32]	train-auc:0.86306	test-auc:0.84260
[33]	train-auc:0.86395	test-auc:0.84318
[34]	train-auc:0.86477	test-auc:0.84349
[35]	train-auc:0.86557	test-auc:0.84392
[36]	train-auc:0.86627	test-auc:0.84424
[37]	train-auc:0.86711	test-auc:0.84476
[38]	train-auc:0.86773	test-auc:0.84512
[39]	train-auc:0.86872	test-auc:0.84586
[40]	train-auc:0.86942	test-auc:0.84627
[41]	train-auc:0.87099	test-auc:0.84750
[42]	train-auc:0.87169	test-auc:0.84792
[43]	train-auc:0.87220	test-auc:0.84807
[44]	train-auc:0.87308	test-auc:0.84867
[45]	train-auc:0.87370	test-auc:0.84898
[46]	train-auc:0.87433	test-auc:0.84925
[47]	train-auc:0.87496	test-auc:0.84970
[48]	train-auc:0.87560	test-auc:0.85008
[49]	train-auc:0.87603	test-auc:0.85029
[50]	train-auc:0.87676	test-auc:0.85080
[51]	train-auc:0.87729	test-auc:0.85116
[52]	train-auc:0.87784	test-auc:0.85149
[53]	train-auc:0.87836	test-auc:0.85172
[54]	train-auc:0.87923	test-auc:0.85221
[55]	train-auc:0.87974	test-auc:0.85239
[56]	train-auc:0.88034	test-auc:0.85272
[57]	train-auc:0.88062	test-auc:0.85277
[58]	train-auc:0.88150	test-auc:0.85332
[59]	train-auc:0.88179	test-auc:0.85351
[60]	train-auc:0.88233	test-auc:0.85373
[61]	train-auc:0.88296	test-auc:0.85411
[62]	train-auc:0.88374	test-auc:0.85460
[63]	train-auc:0.88417	test-auc:0.85469
[64]	train-auc:0.88469	test-auc:0.85481
[65]	train-auc:0.88515	test-auc:0.85496
[66]	train-auc:0.88556	test-auc:0.85511
[67]	train-auc:0.88601	test-auc:0.85529
[68]	train-auc:0.88654	test-auc:0.85553
[69]	train-auc:0.88697	test-auc:0.85591
[70]	train-auc:0.88737	test-auc:0.85603
[71]	train-auc:0.88773	test-auc:0.85625
[72]	train-auc:0.88826	test-auc:0.85653
[73]	train-auc:0.88874	test-auc:0.85678
[74]	train-auc:0.88907	test-auc:0.85689
[75]	train-auc:0.88951	test-auc:0.85686
[76]	train-auc:0.88985	test-auc:0.85697
[77]	train-auc:0.89029	test-auc:0.85708
[78]	train-auc:0.89050	test-auc:0.85713
[79]	train-auc:0.89087	test-auc:0.85733
[80]	train-auc:0.89126	test-auc:0.85740
[81]	train-auc:0.89163	test-auc:0.85755
[82]	train-auc:0.89197	test-auc:0.85774
[83]	train-auc:0.89246	test-auc:0.85791
[84]	train-auc:0.89292	test-auc:0.85803
[85]	train-auc:0.89331	test-auc:0.85820
[86]	train-auc:0.89394	test-auc:0.85868
[87]	train-auc:0.89426	test-auc:0.85880
[88]	train-auc:0.89477	test-auc:0.85917
[89]	train-auc:0.89511	test-auc:0.85925
[90]	train-auc:0.89538	test-auc:0.85932
[91]	train-auc:0.89582	test-auc:0.85944
