Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
[22:38:01] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81574	test-auc:0.80633
[1]	train-auc:0.82253	test-auc:0.81075
[2]	train-auc:0.82666	test-auc:0.81474
[3]	train-auc:0.83125	test-auc:0.81884
[4]	train-auc:0.83279	test-auc:0.82053
[5]	train-auc:0.83429	test-auc:0.82160
[6]	train-auc:0.83501	test-auc:0.82244
[7]	train-auc:0.83822	test-auc:0.82428
[8]	train-auc:0.84034	test-auc:0.82644
[9]	train-auc:0.84133	test-auc:0.82793
[10]	train-auc:0.84174	test-auc:0.82843
[11]	train-auc:0.84209	test-auc:0.82899
[12]	train-auc:0.84297	test-auc:0.82994
[13]	train-auc:0.84444	test-auc:0.83062
[14]	train-auc:0.84586	test-auc:0.83180
[15]	train-auc:0.84632	test-auc:0.83201
[16]	train-auc:0.84746	test-auc:0.83271
[17]	train-auc:0.84827	test-auc:0.83339
[18]	train-auc:0.84913	test-auc:0.83371
[19]	train-auc:0.84994	test-auc:0.83412
[20]	train-auc:0.85079	test-auc:0.83495
[21]	train-auc:0.85170	test-auc:0.83543
[22]	train-auc:0.85279	test-auc:0.83601
[23]	train-auc:0.85367	test-auc:0.83644
[24]	train-auc:0.85443	test-auc:0.83687
[25]	train-auc:0.85554	test-auc:0.83766
[26]	train-auc:0.85620	test-auc:0.83807
[27]	train-auc:0.85720	test-auc:0.83867
[28]	train-auc:0.85783	test-auc:0.83885
[29]	train-auc:0.85859	test-auc:0.83946
[30]	train-auc:0.85934	test-auc:0.84001
[31]	train-auc:0.86024	test-auc:0.84048
[32]	train-auc:0.86093	test-auc:0.84105
[33]	train-auc:0.86181	test-auc:0.84145
[34]	train-auc:0.86249	test-auc:0.84183
[35]	train-auc:0.86290	test-auc:0.84197
[36]	train-auc:0.86355	test-auc:0.84246
[37]	train-auc:0.86436	test-auc:0.84285
[38]	train-auc:0.86510	test-auc:0.84315
[39]	train-auc:0.86572	test-auc:0.84332
[40]	train-auc:0.86632	test-auc:0.84357
[41]	train-auc:0.86717	test-auc:0.84387
[42]	train-auc:0.86790	test-auc:0.84426
[43]	train-auc:0.86864	test-auc:0.84479
[44]	train-auc:0.86941	test-auc:0.84525
[45]	train-auc:0.86989	test-auc:0.84555
[46]	train-auc:0.87048	test-auc:0.84572
[47]	train-auc:0.87105	test-auc:0.84595
[48]	train-auc:0.87165	test-auc:0.84628
[49]	train-auc:0.87212	test-auc:0.84648
[50]	train-auc:0.87267	test-auc:0.84671
[51]	train-auc:0.87329	test-auc:0.84697
[52]	train-auc:0.87386	test-auc:0.84724
[53]	train-auc:0.87442	test-auc:0.84747
[54]	train-auc:0.87493	test-auc:0.84762
[55]	train-auc:0.87532	test-auc:0.84780
[56]	train-auc:0.87583	test-auc:0.84800
[57]	train-auc:0.87632	test-auc:0.84828
[58]	train-auc:0.87700	test-auc:0.84847
[59]	train-auc:0.87737	test-auc:0.84861
[60]	train-auc:0.87789	test-auc:0.84870
[61]	train-auc:0.87848	test-auc:0.84895
[62]	train-auc:0.87906	test-auc:0.84924
[63]	train-auc:0.87948	test-auc:0.84936
[64]	train-auc:0.88011	test-auc:0.84949
[65]	train-auc:0.88067	test-auc:0.84970
[66]	train-auc:0.88098	test-auc:0.84989
[67]	train-auc:0.88141	test-auc:0.85010
[68]	train-auc:0.88188	test-auc:0.85026
[69]	train-auc:0.88229	test-auc:0.85050
[70]	train-auc:0.88282	test-auc:0.85056
[71]	train-auc:0.88320	test-auc:0.85065
[72]	train-auc:0.88365	test-auc:0.85076
[73]	train-auc:0.88393	test-auc:0.85081
[74]	train-auc:0.88436	test-auc:0.85088
[75]	train-auc:0.88472	test-auc:0.85110
[76]	train-auc:0.88495	test-auc:0.85118
[77]	train-auc:0.88538	test-auc:0.85125
[78]	train-auc:0.88577	test-auc:0.85128
[79]	train-auc:0.88621	test-auc:0.85133
[80]	train-auc:0.88666	test-auc:0.85145
[81]	train-auc:0.88687	test-auc:0.85153
[82]	train-auc:0.88728	test-auc:0.85172
[83]	train-auc:0.88745	test-auc:0.85178
[84]	train-auc:0.88782	test-auc:0.85188
[85]	train-auc:0.88831	test-auc:0.85205
[86]	train-auc:0.88871	test-auc:0.85214
[87]	train-auc:0.88911	test-auc:0.85224
[88]	train-auc:0.88944	test-auc:0.85234
[89]	train-auc:0.88988	test-auc:0.85249
[90]	train-auc:0.89020	test-auc:0.85258
[91]	train-auc:0.89045	test-auc:0.85255
[92]	train-auc:0.89071	test-auc:0.85261
[93]	train-auc:0.89116	test-auc:0.85280
[94]	train-auc:0.89157	test-auc:0.85302
[95]	train-auc:0.89195	test-auc:0.85316
[96]	train-auc:0.89227	test-auc:0.85324
[97]	train-auc:0.89248	test-auc:0.85331
[98]	train-auc:0.89295	test-auc:0.85337
[99]	train-auc:0.89325	test-auc:0.85349
