/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[19:41:56] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.72955	test-auc:0.71096
[1]	train-auc:0.81731	test-auc:0.80379
[2]	train-auc:0.82507	test-auc:0.81257
[3]	train-auc:0.83201	test-auc:0.81939
[4]	train-auc:0.83303	test-auc:0.82070
[5]	train-auc:0.83478	test-auc:0.82183
[6]	train-auc:0.83713	test-auc:0.82424
[7]	train-auc:0.83978	test-auc:0.82663
[8]	train-auc:0.84028	test-auc:0.82681
[9]	train-auc:0.84054	test-auc:0.82665
[10]	train-auc:0.84297	test-auc:0.82901
[11]	train-auc:0.84392	test-auc:0.82986
[12]	train-auc:0.84565	test-auc:0.83169
[13]	train-auc:0.84693	test-auc:0.83287
[14]	train-auc:0.84803	test-auc:0.83379
[15]	train-auc:0.84865	test-auc:0.83450
[16]	train-auc:0.84945	test-auc:0.83536
[17]	train-auc:0.85016	test-auc:0.83552
[18]	train-auc:0.85095	test-auc:0.83603
[19]	train-auc:0.85187	test-auc:0.83659
[20]	train-auc:0.85301	test-auc:0.83741
[21]	train-auc:0.85385	test-auc:0.83800
[22]	train-auc:0.85481	test-auc:0.83866
[23]	train-auc:0.85549	test-auc:0.83906
[24]	train-auc:0.85598	test-auc:0.83944
[25]	train-auc:0.85657	test-auc:0.83980
[26]	train-auc:0.85753	test-auc:0.84053
[27]	train-auc:0.85856	test-auc:0.84134
[28]	train-auc:0.85915	test-auc:0.84170
[29]	train-auc:0.85986	test-auc:0.84227
[30]	train-auc:0.86070	test-auc:0.84263
[31]	train-auc:0.86149	test-auc:0.84299
[32]	train-auc:0.86229	test-auc:0.84349
[33]	train-auc:0.86302	test-auc:0.84396
[34]	train-auc:0.86392	test-auc:0.84466
[35]	train-auc:0.86487	test-auc:0.84528
[36]	train-auc:0.86543	test-auc:0.84566
[37]	train-auc:0.86626	test-auc:0.84601
[38]	train-auc:0.86675	test-auc:0.84624
[39]	train-auc:0.86746	test-auc:0.84674
[40]	train-auc:0.86837	test-auc:0.84732
[41]	train-auc:0.86935	test-auc:0.84799
[42]	train-auc:0.86994	test-auc:0.84838
[43]	train-auc:0.87067	test-auc:0.84879
[44]	train-auc:0.87131	test-auc:0.84903
[45]	train-auc:0.87204	test-auc:0.84957
[46]	train-auc:0.87271	test-auc:0.84996
[47]	train-auc:0.87366	test-auc:0.85066
[48]	train-auc:0.87444	test-auc:0.85122
[49]	train-auc:0.87504	test-auc:0.85162
[50]	train-auc:0.87567	test-auc:0.85204
[51]	train-auc:0.87608	test-auc:0.85217
[52]	train-auc:0.87653	test-auc:0.85240
[53]	train-auc:0.87685	test-auc:0.85257
[54]	train-auc:0.87733	test-auc:0.85278
[55]	train-auc:0.87837	test-auc:0.85367
[56]	train-auc:0.87868	test-auc:0.85393
[57]	train-auc:0.87946	test-auc:0.85441
[58]	train-auc:0.88014	test-auc:0.85465
[59]	train-auc:0.88045	test-auc:0.85480
[60]	train-auc:0.88094	test-auc:0.85500
[61]	train-auc:0.88154	test-auc:0.85521
[62]	train-auc:0.88206	test-auc:0.85531
[63]	train-auc:0.88248	test-auc:0.85544
[64]	train-auc:0.88297	test-auc:0.85559
[65]	train-auc:0.88337	test-auc:0.85582
[66]	train-auc:0.88414	test-auc:0.85655
[67]	train-auc:0.88465	test-auc:0.85667
[68]	train-auc:0.88500	test-auc:0.85675
[69]	train-auc:0.88548	test-auc:0.85698
[70]	train-auc:0.88583	test-auc:0.85716
[71]	train-auc:0.88613	test-auc:0.85728
[72]	train-auc:0.88649	test-auc:0.85751
[73]	train-auc:0.88741	test-auc:0.85832
[74]	train-auc:0.88771	test-auc:0.85842
[75]	train-auc:0.88794	test-auc:0.85852
[76]	train-auc:0.88839	test-auc:0.85860
[77]	train-auc:0.88878	test-auc:0.85856
[78]	train-auc:0.88923	test-auc:0.85878
[79]	train-auc:0.88992	test-auc:0.85920
[80]	train-auc:0.89012	test-auc:0.85928
[81]	train-auc:0.89045	test-auc:0.85950
[82]	train-auc:0.89087	test-auc:0.85967
[83]	train-auc:0.89131	test-auc:0.85988
[84]	train-auc:0.89169	test-auc:0.85993
[85]	train-auc:0.89211	test-auc:0.86004
[86]	train-auc:0.89254	test-auc:0.86008
[87]	train-auc:0.89300	test-auc:0.86013
[88]	train-auc:0.89326	test-auc:0.86023
[89]	train-auc:0.89392	test-auc:0.86069
[90]	train-auc:0.89441	test-auc:0.86098
[91]	train-auc:0.89471	test-auc:0.86100
[92]	train-auc:0.89509	test-auc:0.86112
[93]	train-auc:0.89534	test-auc:0.86118
[94]	train-auc:0.89552	test-auc:0.86120
[95]	train-auc:0.89582	test-auc:0.86124
[96]	train-auc:0.89630	test-auc:0.86155
[97]	train-auc:0.89680	test-auc:0.86175
[98]	train-auc:0.89713	test-auc:0.86180
[99]	train-auc:0.89751	test-auc:0.86186
[100]	train-auc:0.89787	test-auc:0.86199
[101]	train-auc:0.89818	test-auc:0.86212
[102]	train-auc:0.89857	test-auc:0.86220
[103]	train-auc:0.89888	test-auc:0.86224
[104]	train-auc:0.89910	test-auc:0.86240
[105]	train-auc:0.89939	test-auc:0.86245
[106]	train-auc:0.89977	test-auc:0.86253
[107]	train-auc:0.90008	test-auc:0.86264
[108]	train-auc:0.90036	test-auc:0.86277
[109]	train-auc:0.90065	test-auc:0.86287
[110]	train-auc:0.90083	test-auc:0.86288
[111]	train-auc:0.90113	test-auc:0.86291
[112]	train-auc:0.90147	test-auc:0.86297
[113]	train-auc:0.90178	test-auc:0.86305
[114]	train-auc:0.90209	test-auc:0.86309
[115]	train-auc:0.90241	test-auc:0.86318
[116]	train-auc:0.90283	test-auc:0.86330
[117]	train-auc:0.90305	test-auc:0.86335
[118]	train-auc:0.90335	test-auc:0.86332
