/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[19:46:24] WARNING: ../src/learner.cc:541: 
Parameters: { early_stopping_rounds, n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.72864	test-auc:0.72364
[1]	train-auc:0.81733	test-auc:0.81529
[2]	train-auc:0.82433	test-auc:0.82225
[3]	train-auc:0.83068	test-auc:0.82810
[4]	train-auc:0.83145	test-auc:0.82877
[5]	train-auc:0.83306	test-auc:0.83026
[6]	train-auc:0.83547	test-auc:0.83288
[7]	train-auc:0.83824	test-auc:0.83593
[8]	train-auc:0.83888	test-auc:0.83661
[9]	train-auc:0.83900	test-auc:0.83658
[10]	train-auc:0.84104	test-auc:0.83897
[11]	train-auc:0.84197	test-auc:0.83985
[12]	train-auc:0.84367	test-auc:0.84166
[13]	train-auc:0.84518	test-auc:0.84304
[14]	train-auc:0.84628	test-auc:0.84403
[15]	train-auc:0.84677	test-auc:0.84469
[16]	train-auc:0.84753	test-auc:0.84554
[17]	train-auc:0.84805	test-auc:0.84627
[18]	train-auc:0.84880	test-auc:0.84702
[19]	train-auc:0.84969	test-auc:0.84790
[20]	train-auc:0.85033	test-auc:0.84849
[21]	train-auc:0.85128	test-auc:0.84947
[22]	train-auc:0.85222	test-auc:0.85049
[23]	train-auc:0.85286	test-auc:0.85108
[24]	train-auc:0.85359	test-auc:0.85184
[25]	train-auc:0.85412	test-auc:0.85241
[26]	train-auc:0.85479	test-auc:0.85318
[27]	train-auc:0.85565	test-auc:0.85412
[28]	train-auc:0.85620	test-auc:0.85471
[29]	train-auc:0.85682	test-auc:0.85551
[30]	train-auc:0.85763	test-auc:0.85632
[31]	train-auc:0.85836	test-auc:0.85691
[32]	train-auc:0.85931	test-auc:0.85791
[33]	train-auc:0.86003	test-auc:0.85877
[34]	train-auc:0.86060	test-auc:0.85940
[35]	train-auc:0.86161	test-auc:0.86052
[36]	train-auc:0.86220	test-auc:0.86120
[37]	train-auc:0.86321	test-auc:0.86213
[38]	train-auc:0.86379	test-auc:0.86265
[39]	train-auc:0.86439	test-auc:0.86323
[40]	train-auc:0.86509	test-auc:0.86398
[41]	train-auc:0.86613	test-auc:0.86498
[42]	train-auc:0.86685	test-auc:0.86564
[43]	train-auc:0.86734	test-auc:0.86615
[44]	train-auc:0.86781	test-auc:0.86656
[45]	train-auc:0.86852	test-auc:0.86726
[46]	train-auc:0.86916	test-auc:0.86792
[47]	train-auc:0.86996	test-auc:0.86879
[48]	train-auc:0.87059	test-auc:0.86948
[49]	train-auc:0.87123	test-auc:0.87013
[50]	train-auc:0.87166	test-auc:0.87058
[51]	train-auc:0.87206	test-auc:0.87094
[52]	train-auc:0.87254	test-auc:0.87141
[53]	train-auc:0.87305	test-auc:0.87195
[54]	train-auc:0.87343	test-auc:0.87238
[55]	train-auc:0.87451	test-auc:0.87360
[56]	train-auc:0.87474	test-auc:0.87381
[57]	train-auc:0.87520	test-auc:0.87424
[58]	train-auc:0.87571	test-auc:0.87473
[59]	train-auc:0.87599	test-auc:0.87499
[60]	train-auc:0.87650	test-auc:0.87552
[61]	train-auc:0.87693	test-auc:0.87595
[62]	train-auc:0.87739	test-auc:0.87649
[63]	train-auc:0.87822	test-auc:0.87740
[64]	train-auc:0.87897	test-auc:0.87809
