/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[20:12:18] WARNING: ../src/learner.cc:541: 
Parameters: { early_stopping_rounds, n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79812	test-auc:0.79550
[1]	train-auc:0.81920	test-auc:0.81568
[2]	train-auc:0.82077	test-auc:0.81744
[3]	train-auc:0.82195	test-auc:0.81870
[4]	train-auc:0.82375	test-auc:0.82023
[5]	train-auc:0.82926	test-auc:0.82553
[6]	train-auc:0.83196	test-auc:0.82833
[7]	train-auc:0.83620	test-auc:0.83308
[8]	train-auc:0.83847	test-auc:0.83565
[9]	train-auc:0.83911	test-auc:0.83621
[10]	train-auc:0.83935	test-auc:0.83660
[11]	train-auc:0.83959	test-auc:0.83726
[12]	train-auc:0.83972	test-auc:0.83725
[13]	train-auc:0.84218	test-auc:0.83992
[14]	train-auc:0.84395	test-auc:0.84211
[15]	train-auc:0.84446	test-auc:0.84270
[16]	train-auc:0.84504	test-auc:0.84343
[17]	train-auc:0.84701	test-auc:0.84535
[18]	train-auc:0.84842	test-auc:0.84655
[19]	train-auc:0.84931	test-auc:0.84739
[20]	train-auc:0.85050	test-auc:0.84860
[21]	train-auc:0.85148	test-auc:0.84959
[22]	train-auc:0.85261	test-auc:0.85070
[23]	train-auc:0.85377	test-auc:0.85185
[24]	train-auc:0.85499	test-auc:0.85313
[25]	train-auc:0.85586	test-auc:0.85401
[26]	train-auc:0.85675	test-auc:0.85485
[27]	train-auc:0.85749	test-auc:0.85550
[28]	train-auc:0.85818	test-auc:0.85624
[29]	train-auc:0.85877	test-auc:0.85680
[30]	train-auc:0.85925	test-auc:0.85737
[31]	train-auc:0.86025	test-auc:0.85841
[32]	train-auc:0.86140	test-auc:0.85963
[33]	train-auc:0.86218	test-auc:0.86043
[34]	train-auc:0.86283	test-auc:0.86109
[35]	train-auc:0.86370	test-auc:0.86195
[36]	train-auc:0.86434	test-auc:0.86254
[37]	train-auc:0.86532	test-auc:0.86359
[38]	train-auc:0.86601	test-auc:0.86425
[39]	train-auc:0.86671	test-auc:0.86491
[40]	train-auc:0.86757	test-auc:0.86584
[41]	train-auc:0.86837	test-auc:0.86670
[42]	train-auc:0.86911	test-auc:0.86743
[43]	train-auc:0.86985	test-auc:0.86825
[44]	train-auc:0.87043	test-auc:0.86883
[45]	train-auc:0.87103	test-auc:0.86943
[46]	train-auc:0.87166	test-auc:0.87005
[47]	train-auc:0.87218	test-auc:0.87065
[48]	train-auc:0.87299	test-auc:0.87154
[49]	train-auc:0.87380	test-auc:0.87244
[50]	train-auc:0.87439	test-auc:0.87305
[51]	train-auc:0.87472	test-auc:0.87331
[52]	train-auc:0.87525	test-auc:0.87387
[53]	train-auc:0.87577	test-auc:0.87442
[54]	train-auc:0.87627	test-auc:0.87493
[55]	train-auc:0.87673	test-auc:0.87539
[56]	train-auc:0.87741	test-auc:0.87609
[57]	train-auc:0.87804	test-auc:0.87675
[58]	train-auc:0.87866	test-auc:0.87737
[59]	train-auc:0.87902	test-auc:0.87772
[60]	train-auc:0.87968	test-auc:0.87841
[61]	train-auc:0.88030	test-auc:0.87903
[62]	train-auc:0.88076	test-auc:0.87963
[63]	train-auc:0.88160	test-auc:0.88047
[64]	train-auc:0.88196	test-auc:0.88084
[65]	train-auc:0.88243	test-auc:0.88133
[66]	train-auc:0.88272	test-auc:0.88162
[67]	train-auc:0.88314	test-auc:0.88213
[68]	train-auc:0.88370	test-auc:0.88278
[69]	train-auc:0.88412	test-auc:0.88331
[70]	train-auc:0.88450	test-auc:0.88368
[71]	train-auc:0.88492	test-auc:0.88405
[72]	train-auc:0.88515	test-auc:0.88425
[73]	train-auc:0.88553	test-auc:0.88462
[74]	train-auc:0.88605	test-auc:0.88525
[75]	train-auc:0.88645	test-auc:0.88564
[76]	train-auc:0.88674	test-auc:0.88594
[77]	train-auc:0.88732	test-auc:0.88655
[78]	train-auc:0.88765	test-auc:0.88686
[79]	train-auc:0.88804	test-auc:0.88721
[80]	train-auc:0.88851	test-auc:0.88768
[81]	train-auc:0.88892	test-auc:0.88808
[82]	train-auc:0.88932	test-auc:0.88844
[83]	train-auc:0.88961	test-auc:0.88869
[84]	train-auc:0.89000	test-auc:0.88909
[85]	train-auc:0.89039	test-auc:0.88949
