/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[20:23:34] WARNING: ../src/learner.cc:541: 
Parameters: { early_stopping_rounds, n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81481	test-auc:0.81112
[1]	train-auc:0.82075	test-auc:0.81785
[2]	train-auc:0.82506	test-auc:0.82202
[3]	train-auc:0.82652	test-auc:0.82334
[4]	train-auc:0.83137	test-auc:0.82914
[5]	train-auc:0.83241	test-auc:0.83038
[6]	train-auc:0.83539	test-auc:0.83350
[7]	train-auc:0.83667	test-auc:0.83462
[8]	train-auc:0.83789	test-auc:0.83620
[9]	train-auc:0.83918	test-auc:0.83769
[10]	train-auc:0.84005	test-auc:0.83836
[11]	train-auc:0.84188	test-auc:0.84007
[12]	train-auc:0.84348	test-auc:0.84195
[13]	train-auc:0.84493	test-auc:0.84316
[14]	train-auc:0.84586	test-auc:0.84405
[15]	train-auc:0.84716	test-auc:0.84539
[16]	train-auc:0.84789	test-auc:0.84632
[17]	train-auc:0.84824	test-auc:0.84642
[18]	train-auc:0.84898	test-auc:0.84719
[19]	train-auc:0.84969	test-auc:0.84790
[20]	train-auc:0.85018	test-auc:0.84832
[21]	train-auc:0.85164	test-auc:0.84977
[22]	train-auc:0.85303	test-auc:0.85133
[23]	train-auc:0.85370	test-auc:0.85211
[24]	train-auc:0.85459	test-auc:0.85305
[25]	train-auc:0.85528	test-auc:0.85378
[26]	train-auc:0.85610	test-auc:0.85462
[27]	train-auc:0.85713	test-auc:0.85569
[28]	train-auc:0.85788	test-auc:0.85637
[29]	train-auc:0.85862	test-auc:0.85718
[30]	train-auc:0.85928	test-auc:0.85766
[31]	train-auc:0.86002	test-auc:0.85830
[32]	train-auc:0.86095	test-auc:0.85930
[33]	train-auc:0.86177	test-auc:0.86008
[34]	train-auc:0.86240	test-auc:0.86064
[35]	train-auc:0.86305	test-auc:0.86133
[36]	train-auc:0.86364	test-auc:0.86184
[37]	train-auc:0.86430	test-auc:0.86253
[38]	train-auc:0.86479	test-auc:0.86316
[39]	train-auc:0.86564	test-auc:0.86395
[40]	train-auc:0.86627	test-auc:0.86461
[41]	train-auc:0.86701	test-auc:0.86555
[42]	train-auc:0.86792	test-auc:0.86652
[43]	train-auc:0.86855	test-auc:0.86712
[44]	train-auc:0.86931	test-auc:0.86787
[45]	train-auc:0.87009	test-auc:0.86876
[46]	train-auc:0.87098	test-auc:0.86962
[47]	train-auc:0.87161	test-auc:0.87033
[48]	train-auc:0.87211	test-auc:0.87087
[49]	train-auc:0.87316	test-auc:0.87194
[50]	train-auc:0.87366	test-auc:0.87244
[51]	train-auc:0.87409	test-auc:0.87287
[52]	train-auc:0.87461	test-auc:0.87343
[53]	train-auc:0.87511	test-auc:0.87384
[54]	train-auc:0.87554	test-auc:0.87428
[55]	train-auc:0.87593	test-auc:0.87467
[56]	train-auc:0.87643	test-auc:0.87516
[57]	train-auc:0.87700	test-auc:0.87576
[58]	train-auc:0.87757	test-auc:0.87640
[59]	train-auc:0.87805	test-auc:0.87690
[60]	train-auc:0.87848	test-auc:0.87738
[61]	train-auc:0.87884	test-auc:0.87775
[62]	train-auc:0.87940	test-auc:0.87842
[63]	train-auc:0.87973	test-auc:0.87876
[64]	train-auc:0.88027	test-auc:0.87930
[65]	train-auc:0.88061	test-auc:0.87965
[66]	train-auc:0.88129	test-auc:0.88033
[67]	train-auc:0.88169	test-auc:0.88079
[68]	train-auc:0.88246	test-auc:0.88161
[69]	train-auc:0.88299	test-auc:0.88217
[70]	train-auc:0.88341	test-auc:0.88255
[71]	train-auc:0.88372	test-auc:0.88287
[72]	train-auc:0.88411	test-auc:0.88326
[73]	train-auc:0.88454	test-auc:0.88374
[74]	train-auc:0.88484	test-auc:0.88403
[75]	train-auc:0.88523	test-auc:0.88437
[76]	train-auc:0.88563	test-auc:0.88480
[77]	train-auc:0.88600	test-auc:0.88516
[78]	train-auc:0.88626	test-auc:0.88537
[79]	train-auc:0.88666	test-auc:0.88574
[80]	train-auc:0.88700	test-auc:0.88607
[81]	train-auc:0.88736	test-auc:0.88650
[82]	train-auc:0.88771	test-auc:0.88682
[83]	train-auc:0.88815	test-auc:0.88725
[84]	train-auc:0.88834	test-auc:0.88741
[85]	train-auc:0.88883	test-auc:0.88795
[86]	train-auc:0.88914	test-auc:0.88825
[87]	train-auc:0.88951	test-auc:0.88860
[88]	train-auc:0.89002	test-auc:0.88913
[89]	train-auc:0.89038	test-auc:0.88953
[90]	train-auc:0.89077	test-auc:0.88997
