/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:32:49] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81512	test-auc:0.80595
[1]	train-auc:0.82313	test-auc:0.81171
[2]	train-auc:0.82868	test-auc:0.81701
[3]	train-auc:0.83062	test-auc:0.81891
[4]	train-auc:0.83264	test-auc:0.82051
[5]	train-auc:0.83428	test-auc:0.82128
[6]	train-auc:0.83697	test-auc:0.82342
[7]	train-auc:0.83831	test-auc:0.82485
[8]	train-auc:0.84022	test-auc:0.82644
[9]	train-auc:0.84177	test-auc:0.82781
[10]	train-auc:0.84335	test-auc:0.82854
[11]	train-auc:0.84444	test-auc:0.82977
[12]	train-auc:0.84529	test-auc:0.83062
[13]	train-auc:0.84616	test-auc:0.83163
[14]	train-auc:0.84705	test-auc:0.83222
[15]	train-auc:0.84775	test-auc:0.83251
[16]	train-auc:0.84875	test-auc:0.83342
[17]	train-auc:0.84939	test-auc:0.83410
[18]	train-auc:0.85003	test-auc:0.83459
[19]	train-auc:0.85072	test-auc:0.83500
[20]	train-auc:0.85137	test-auc:0.83569
[21]	train-auc:0.85190	test-auc:0.83598
[22]	train-auc:0.85289	test-auc:0.83680
[23]	train-auc:0.85405	test-auc:0.83746
[24]	train-auc:0.85518	test-auc:0.83835
[25]	train-auc:0.85595	test-auc:0.83885
[26]	train-auc:0.85679	test-auc:0.83928
[27]	train-auc:0.85755	test-auc:0.83973
[28]	train-auc:0.85842	test-auc:0.84033
[29]	train-auc:0.85963	test-auc:0.84132
[30]	train-auc:0.86108	test-auc:0.84247
[31]	train-auc:0.86219	test-auc:0.84315
[32]	train-auc:0.86274	test-auc:0.84356
[33]	train-auc:0.86390	test-auc:0.84436
[34]	train-auc:0.86474	test-auc:0.84478
[35]	train-auc:0.86552	test-auc:0.84507
[36]	train-auc:0.86606	test-auc:0.84529
[37]	train-auc:0.86666	test-auc:0.84551
[38]	train-auc:0.86763	test-auc:0.84630
