[21:40:46] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81465	test-auc:0.81259
[1]	train-auc:0.82257	test-auc:0.81975
[2]	train-auc:0.82736	test-auc:0.82556
[3]	train-auc:0.82908	test-auc:0.82746
[4]	train-auc:0.83093	test-auc:0.82939
[5]	train-auc:0.83339	test-auc:0.83177
[6]	train-auc:0.83600	test-auc:0.83411
[7]	train-auc:0.83714	test-auc:0.83530
[8]	train-auc:0.83843	test-auc:0.83646
[9]	train-auc:0.83991	test-auc:0.83798
[10]	train-auc:0.84130	test-auc:0.83918
[11]	train-auc:0.84240	test-auc:0.84017
[12]	train-auc:0.84332	test-auc:0.84135
[13]	train-auc:0.84389	test-auc:0.84203
[14]	train-auc:0.84503	test-auc:0.84298
[15]	train-auc:0.84553	test-auc:0.84332
[16]	train-auc:0.84642	test-auc:0.84413
[17]	train-auc:0.84702	test-auc:0.84493
[18]	train-auc:0.84749	test-auc:0.84551
[19]	train-auc:0.84826	test-auc:0.84643
[20]	train-auc:0.84894	test-auc:0.84724
[21]	train-auc:0.84953	test-auc:0.84788
[22]	train-auc:0.85035	test-auc:0.84881
[23]	train-auc:0.85141	test-auc:0.84980
[24]	train-auc:0.85254	test-auc:0.85098
[25]	train-auc:0.85334	test-auc:0.85183
[26]	train-auc:0.85403	test-auc:0.85260
[27]	train-auc:0.85481	test-auc:0.85329
[28]	train-auc:0.85557	test-auc:0.85396
[29]	train-auc:0.85672	test-auc:0.85513
[30]	train-auc:0.85777	test-auc:0.85624
[31]	train-auc:0.85880	test-auc:0.85719
[32]	train-auc:0.85966	test-auc:0.85811
[33]	train-auc:0.86083	test-auc:0.85915
[34]	train-auc:0.86169	test-auc:0.86008
[35]	train-auc:0.86246	test-auc:0.86079
[36]	train-auc:0.86294	test-auc:0.86133
[37]	train-auc:0.86346	test-auc:0.86174
[38]	train-auc:0.86407	test-auc:0.86239
[39]	train-auc:0.86465	test-auc:0.86294
[40]	train-auc:0.86523	test-auc:0.86369
[41]	train-auc:0.86573	test-auc:0.86423
[42]	train-auc:0.86640	test-auc:0.86491
[43]	train-auc:0.86703	test-auc:0.86553
[44]	train-auc:0.86797	test-auc:0.86649
[45]	train-auc:0.86843	test-auc:0.86696
[46]	train-auc:0.86897	test-auc:0.86749
[47]	train-auc:0.86978	test-auc:0.86828
[48]	train-auc:0.87050	test-auc:0.86908
[49]	train-auc:0.87114	test-auc:0.86975
[50]	train-auc:0.87181	test-auc:0.87048
[51]	train-auc:0.87226	test-auc:0.87101
[52]	train-auc:0.87281	test-auc:0.87160
[53]	train-auc:0.87397	test-auc:0.87271
