/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:59:07] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81465	test-auc:0.81259
[1]	train-auc:0.82257	test-auc:0.81975
[2]	train-auc:0.82736	test-auc:0.82556
[3]	train-auc:0.82908	test-auc:0.82746
[4]	train-auc:0.83093	test-auc:0.82939
[5]	train-auc:0.83339	test-auc:0.83177
[6]	train-auc:0.83600	test-auc:0.83411
[7]	train-auc:0.83714	test-auc:0.83530
[8]	train-auc:0.83843	test-auc:0.83646
[9]	train-auc:0.83991	test-auc:0.83798
[10]	train-auc:0.84130	test-auc:0.83918
[11]	train-auc:0.84240	test-auc:0.84017
[12]	train-auc:0.84332	test-auc:0.84135
[13]	train-auc:0.84389	test-auc:0.84203
[14]	train-auc:0.84503	test-auc:0.84298
[15]	train-auc:0.84553	test-auc:0.84332
[16]	train-auc:0.84642	test-auc:0.84413
[17]	train-auc:0.84702	test-auc:0.84487
[18]	train-auc:0.84749	test-auc:0.84545
[19]	train-auc:0.84825	test-auc:0.84637
[20]	train-auc:0.84893	test-auc:0.84718
[21]	train-auc:0.84953	test-auc:0.84780
[22]	train-auc:0.85037	test-auc:0.84862
[23]	train-auc:0.85136	test-auc:0.84951
[24]	train-auc:0.85251	test-auc:0.85073
[25]	train-auc:0.85332	test-auc:0.85160
[26]	train-auc:0.85402	test-auc:0.85237
[27]	train-auc:0.85481	test-auc:0.85311
[28]	train-auc:0.85558	test-auc:0.85375
[29]	train-auc:0.85674	test-auc:0.85495
[30]	train-auc:0.85777	test-auc:0.85604
[31]	train-auc:0.85881	test-auc:0.85703
[32]	train-auc:0.85966	test-auc:0.85790
[33]	train-auc:0.86057	test-auc:0.85874
[34]	train-auc:0.86145	test-auc:0.85964
[35]	train-auc:0.86207	test-auc:0.86032
[36]	train-auc:0.86256	test-auc:0.86088
[37]	train-auc:0.86310	test-auc:0.86128
[38]	train-auc:0.86381	test-auc:0.86207
[39]	train-auc:0.86437	test-auc:0.86271
[40]	train-auc:0.86492	test-auc:0.86329
[41]	train-auc:0.86545	test-auc:0.86384
[42]	train-auc:0.86614	test-auc:0.86452
[43]	train-auc:0.86689	test-auc:0.86527
[44]	train-auc:0.86781	test-auc:0.86620
[45]	train-auc:0.86838	test-auc:0.86677
[46]	train-auc:0.86889	test-auc:0.86737
[47]	train-auc:0.86975	test-auc:0.86829
[48]	train-auc:0.87032	test-auc:0.86889
