/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[22:13:42] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81544	test-auc:0.80641
[1]	train-auc:0.82213	test-auc:0.81235
[2]	train-auc:0.82692	test-auc:0.81826
[3]	train-auc:0.82956	test-auc:0.82067
[4]	train-auc:0.83264	test-auc:0.82410
[5]	train-auc:0.83488	test-auc:0.82668
[6]	train-auc:0.83764	test-auc:0.82922
[7]	train-auc:0.83877	test-auc:0.83063
[8]	train-auc:0.84017	test-auc:0.83258
[9]	train-auc:0.84141	test-auc:0.83339
[10]	train-auc:0.84292	test-auc:0.83456
[11]	train-auc:0.84422	test-auc:0.83575
[12]	train-auc:0.84491	test-auc:0.83680
[13]	train-auc:0.84564	test-auc:0.83744
[14]	train-auc:0.84616	test-auc:0.83815
[15]	train-auc:0.84668	test-auc:0.83858
[16]	train-auc:0.84785	test-auc:0.83903
[17]	train-auc:0.84845	test-auc:0.83951
[18]	train-auc:0.84884	test-auc:0.83986
[19]	train-auc:0.84992	test-auc:0.84077
[20]	train-auc:0.85053	test-auc:0.84130
[21]	train-auc:0.85121	test-auc:0.84183
[22]	train-auc:0.85192	test-auc:0.84276
[23]	train-auc:0.85313	test-auc:0.84376
[24]	train-auc:0.85439	test-auc:0.84515
[25]	train-auc:0.85512	test-auc:0.84578
[26]	train-auc:0.85578	test-auc:0.84624
[27]	train-auc:0.85640	test-auc:0.84679
[28]	train-auc:0.85721	test-auc:0.84769
[29]	train-auc:0.85833	test-auc:0.84879
[30]	train-auc:0.85936	test-auc:0.84921
[31]	train-auc:0.86060	test-auc:0.85036
[32]	train-auc:0.86124	test-auc:0.85092
[33]	train-auc:0.86215	test-auc:0.85159
[34]	train-auc:0.86298	test-auc:0.85195
[35]	train-auc:0.86372	test-auc:0.85257
[36]	train-auc:0.86444	test-auc:0.85324
[37]	train-auc:0.86504	test-auc:0.85368
[38]	train-auc:0.86581	test-auc:0.85432
[39]	train-auc:0.86634	test-auc:0.85485
[40]	train-auc:0.86703	test-auc:0.85515
[41]	train-auc:0.86758	test-auc:0.85540
[42]	train-auc:0.86817	test-auc:0.85612
[43]	train-auc:0.86938	test-auc:0.85690
[44]	train-auc:0.87016	test-auc:0.85770
[45]	train-auc:0.87074	test-auc:0.85804
[46]	train-auc:0.87117	test-auc:0.85849
[47]	train-auc:0.87191	test-auc:0.85924
[48]	train-auc:0.87246	test-auc:0.85977
[49]	train-auc:0.87302	test-auc:0.86019
[50]	train-auc:0.87364	test-auc:0.86069
[51]	train-auc:0.87421	test-auc:0.86111
[52]	train-auc:0.87477	test-auc:0.86153
[53]	train-auc:0.87526	test-auc:0.86196
[54]	train-auc:0.87610	test-auc:0.86212
[55]	train-auc:0.87694	test-auc:0.86295
[56]	train-auc:0.87761	test-auc:0.86370
[57]	train-auc:0.87823	test-auc:0.86407
[58]	train-auc:0.87859	test-auc:0.86452
[59]	train-auc:0.87896	test-auc:0.86462
[60]	train-auc:0.87921	test-auc:0.86483
[61]	train-auc:0.87972	test-auc:0.86539
[62]	train-auc:0.88004	test-auc:0.86544
[63]	train-auc:0.88061	test-auc:0.86601
[64]	train-auc:0.88130	test-auc:0.86651
[65]	train-auc:0.88163	test-auc:0.86684
[66]	train-auc:0.88237	test-auc:0.86754
[67]	train-auc:0.88280	test-auc:0.86789
[68]	train-auc:0.88323	test-auc:0.86813
[69]	train-auc:0.88357	test-auc:0.86850
[70]	train-auc:0.88407	test-auc:0.86865
[71]	train-auc:0.88453	test-auc:0.86922
[72]	train-auc:0.88491	test-auc:0.86974
[73]	train-auc:0.88528	test-auc:0.86986
[74]	train-auc:0.88575	test-auc:0.87044
[75]	train-auc:0.88627	test-auc:0.87088
[76]	train-auc:0.88672	test-auc:0.87107
[77]	train-auc:0.88697	test-auc:0.87126
[78]	train-auc:0.88731	test-auc:0.87163
[79]	train-auc:0.88768	test-auc:0.87202
[80]	train-auc:0.88811	test-auc:0.87233
[81]	train-auc:0.88846	test-auc:0.87265
[82]	train-auc:0.88878	test-auc:0.87297
[83]	train-auc:0.88911	test-auc:0.87327
[84]	train-auc:0.88950	test-auc:0.87357
[85]	train-auc:0.88974	test-auc:0.87374
[86]	train-auc:0.89010	test-auc:0.87397
[87]	train-auc:0.89041	test-auc:0.87434
[88]	train-auc:0.89080	test-auc:0.87483
[89]	train-auc:0.89121	test-auc:0.87499
[90]	train-auc:0.89143	test-auc:0.87521
[91]	train-auc:0.89178	test-auc:0.87545
[92]	train-auc:0.89211	test-auc:0.87582
[93]	train-auc:0.89258	test-auc:0.87632
[94]	train-auc:0.89290	test-auc:0.87650
[95]	train-auc:0.89324	test-auc:0.87678
[96]	train-auc:0.89354	test-auc:0.87684
[97]	train-auc:0.89379	test-auc:0.87708
[98]	train-auc:0.89409	test-auc:0.87744
[99]	train-auc:0.89441	test-auc:0.87772
[100]	train-auc:0.89469	test-auc:0.87803
[101]	train-auc:0.89502	test-auc:0.87829
[102]	train-auc:0.89515	test-auc:0.87842
[103]	train-auc:0.89548	test-auc:0.87867
[104]	train-auc:0.89583	test-auc:0.87902
[105]	train-auc:0.89635	test-auc:0.87961
[106]	train-auc:0.89650	test-auc:0.87977
[107]	train-auc:0.89671	test-auc:0.88000
[108]	train-auc:0.89703	test-auc:0.88029
[109]	train-auc:0.89727	test-auc:0.88049
[110]	train-auc:0.89745	test-auc:0.88065
[111]	train-auc:0.89778	test-auc:0.88104
[112]	train-auc:0.89810	test-auc:0.88118
[113]	train-auc:0.89831	test-auc:0.88143
[114]	train-auc:0.89857	test-auc:0.88175
[115]	train-auc:0.89894	test-auc:0.88207
[116]	train-auc:0.89913	test-auc:0.88224
[117]	train-auc:0.89948	test-auc:0.88243
[118]	train-auc:0.89978	test-auc:0.88275
[119]	train-auc:0.90003	test-auc:0.88308
[120]	train-auc:0.90019	test-auc:0.88317
[121]	train-auc:0.90041	test-auc:0.88334
[122]	train-auc:0.90066	test-auc:0.88348
[123]	train-auc:0.90101	test-auc:0.88379
[124]	train-auc:0.90136	test-auc:0.88388
[125]	train-auc:0.90157	test-auc:0.88408
[126]	train-auc:0.90181	test-auc:0.88421
[127]	train-auc:0.90214	test-auc:0.88448
[128]	train-auc:0.90247	test-auc:0.88463
[129]	train-auc:0.90264	test-auc:0.88475
[130]	train-auc:0.90293	test-auc:0.88479
[131]	train-auc:0.90332	test-auc:0.88508
[132]	train-auc:0.90351	test-auc:0.88514
[133]	train-auc:0.90383	test-auc:0.88480
[134]	train-auc:0.90415	test-auc:0.88497
[135]	train-auc:0.90437	test-auc:0.88518
[136]	train-auc:0.90460	test-auc:0.88520
[137]	train-auc:0.90479	test-auc:0.88527
[138]	train-auc:0.90491	test-auc:0.88535
[139]	train-auc:0.90520	test-auc:0.88562
[140]	train-auc:0.90555	test-auc:0.88589
[141]	train-auc:0.90578	test-auc:0.88615
[142]	train-auc:0.90614	test-auc:0.88642
[143]	train-auc:0.90631	test-auc:0.88664
[144]	train-auc:0.90650	test-auc:0.88684
[145]	train-auc:0.90673	test-auc:0.88707
[146]	train-auc:0.90688	test-auc:0.88721
[147]	train-auc:0.90699	test-auc:0.88720
[148]	train-auc:0.90732	test-auc:0.88745
[149]	train-auc:0.90750	test-auc:0.88761
[150]	train-auc:0.90775	test-auc:0.88788
[151]	train-auc:0.90801	test-auc:0.88804
[152]	train-auc:0.90827	test-auc:0.88827
[153]	train-auc:0.90839	test-auc:0.88853
[154]	train-auc:0.90858	test-auc:0.88852
[155]	train-auc:0.90867	test-auc:0.88860
[156]	train-auc:0.90890	test-auc:0.88882
[157]	train-auc:0.90917	test-auc:0.88901
[158]	train-auc:0.90939	test-auc:0.88911
[159]	train-auc:0.90966	test-auc:0.88929
