/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[23:01:16] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79748	test-auc:0.79563
[1]	train-auc:0.80624	test-auc:0.80314
[2]	train-auc:0.82159	test-auc:0.81896
[3]	train-auc:0.82766	test-auc:0.82482
[4]	train-auc:0.82930	test-auc:0.82632
[5]	train-auc:0.83158	test-auc:0.82902
[6]	train-auc:0.83320	test-auc:0.83075
[7]	train-auc:0.83598	test-auc:0.83343
[8]	train-auc:0.83734	test-auc:0.83468
[9]	train-auc:0.83857	test-auc:0.83613
[10]	train-auc:0.83973	test-auc:0.83747
[11]	train-auc:0.84050	test-auc:0.83834
[12]	train-auc:0.84149	test-auc:0.83937
[13]	train-auc:0.84345	test-auc:0.84153
[14]	train-auc:0.84472	test-auc:0.84306
[15]	train-auc:0.84528	test-auc:0.84364
[16]	train-auc:0.84583	test-auc:0.84427
[17]	train-auc:0.84650	test-auc:0.84503
[18]	train-auc:0.84764	test-auc:0.84616
[19]	train-auc:0.84860	test-auc:0.84720
[20]	train-auc:0.84972	test-auc:0.84804
[21]	train-auc:0.85061	test-auc:0.84897
[22]	train-auc:0.85161	test-auc:0.84970
[23]	train-auc:0.85261	test-auc:0.85060
[24]	train-auc:0.85358	test-auc:0.85161
[25]	train-auc:0.85431	test-auc:0.85247
[26]	train-auc:0.85544	test-auc:0.85368
[27]	train-auc:0.85625	test-auc:0.85458
[28]	train-auc:0.85697	test-auc:0.85523
[29]	train-auc:0.85784	test-auc:0.85610
[30]	train-auc:0.85857	test-auc:0.85685
[31]	train-auc:0.85943	test-auc:0.85778
[32]	train-auc:0.86014	test-auc:0.85841
[33]	train-auc:0.86108	test-auc:0.85960
[34]	train-auc:0.86180	test-auc:0.86036
[35]	train-auc:0.86255	test-auc:0.86112
[36]	train-auc:0.86318	test-auc:0.86178
[37]	train-auc:0.86423	test-auc:0.86277
[38]	train-auc:0.86479	test-auc:0.86341
[39]	train-auc:0.86561	test-auc:0.86426
[40]	train-auc:0.86630	test-auc:0.86493
[41]	train-auc:0.86707	test-auc:0.86574
[42]	train-auc:0.86774	test-auc:0.86635
[43]	train-auc:0.86832	test-auc:0.86695
[44]	train-auc:0.86954	test-auc:0.86802
[45]	train-auc:0.87022	test-auc:0.86863
[46]	train-auc:0.87117	test-auc:0.86963
[47]	train-auc:0.87188	test-auc:0.87041
[48]	train-auc:0.87245	test-auc:0.87104
[49]	train-auc:0.87323	test-auc:0.87181
[50]	train-auc:0.87370	test-auc:0.87228
[51]	train-auc:0.87408	test-auc:0.87270
[52]	train-auc:0.87474	test-auc:0.87337
[53]	train-auc:0.87523	test-auc:0.87389
