[23:10:37] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79748	test-auc:0.79519
[1]	train-auc:0.80674	test-auc:0.80224
[2]	train-auc:0.82198	test-auc:0.81847
[3]	train-auc:0.82777	test-auc:0.82205
[4]	train-auc:0.82939	test-auc:0.82388
[5]	train-auc:0.83170	test-auc:0.82707
[6]	train-auc:0.83355	test-auc:0.82783
[7]	train-auc:0.83630	test-auc:0.83022
[8]	train-auc:0.83760	test-auc:0.83152
[9]	train-auc:0.83859	test-auc:0.83245
[10]	train-auc:0.83979	test-auc:0.83387
[11]	train-auc:0.84046	test-auc:0.83473
[12]	train-auc:0.84148	test-auc:0.83498
[13]	train-auc:0.84348	test-auc:0.83674
[14]	train-auc:0.84500	test-auc:0.83791
[15]	train-auc:0.84555	test-auc:0.83815
[16]	train-auc:0.84604	test-auc:0.83877
[17]	train-auc:0.84677	test-auc:0.83966
[18]	train-auc:0.84797	test-auc:0.84088
[19]	train-auc:0.84883	test-auc:0.84169
[20]	train-auc:0.84991	test-auc:0.84275
[21]	train-auc:0.85122	test-auc:0.84379
[22]	train-auc:0.85176	test-auc:0.84415
[23]	train-auc:0.85259	test-auc:0.84430
[24]	train-auc:0.85355	test-auc:0.84527
[25]	train-auc:0.85427	test-auc:0.84613
[26]	train-auc:0.85548	test-auc:0.84668
[27]	train-auc:0.85642	test-auc:0.84727
[28]	train-auc:0.85723	test-auc:0.84751
[29]	train-auc:0.85809	test-auc:0.84836
[30]	train-auc:0.85890	test-auc:0.84915
[31]	train-auc:0.85966	test-auc:0.85006
[32]	train-auc:0.86047	test-auc:0.85057
[33]	train-auc:0.86128	test-auc:0.85150
[34]	train-auc:0.86199	test-auc:0.85155
[35]	train-auc:0.86265	test-auc:0.85215
[36]	train-auc:0.86337	test-auc:0.85307
[37]	train-auc:0.86465	test-auc:0.85277
[38]	train-auc:0.86518	test-auc:0.85328
[39]	train-auc:0.86610	test-auc:0.85386
[40]	train-auc:0.86680	test-auc:0.85433
[41]	train-auc:0.86750	test-auc:0.85448
[42]	train-auc:0.86829	test-auc:0.85493
[43]	train-auc:0.86878	test-auc:0.85559
[44]	train-auc:0.86991	test-auc:0.85615
[45]	train-auc:0.87049	test-auc:0.85657
[46]	train-auc:0.87122	test-auc:0.85717
[47]	train-auc:0.87180	test-auc:0.85786
[48]	train-auc:0.87220	test-auc:0.85805
[49]	train-auc:0.87296	test-auc:0.85828
[50]	train-auc:0.87351	test-auc:0.85858
[51]	train-auc:0.87414	test-auc:0.85897
[52]	train-auc:0.87483	test-auc:0.85957
[53]	train-auc:0.87537	test-auc:0.86010
[54]	train-auc:0.87635	test-auc:0.85961
[55]	train-auc:0.87673	test-auc:0.85989
[56]	train-auc:0.87720	test-auc:0.86059
[57]	train-auc:0.87766	test-auc:0.86062
[58]	train-auc:0.87841	test-auc:0.86088
[59]	train-auc:0.87889	test-auc:0.86137
[60]	train-auc:0.87930	test-auc:0.86182
[61]	train-auc:0.87988	test-auc:0.86190
[62]	train-auc:0.88034	test-auc:0.86226
[63]	train-auc:0.88074	test-auc:0.86225
[64]	train-auc:0.88109	test-auc:0.86264
[65]	train-auc:0.88148	test-auc:0.86220
