[23:19:21] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79748	test-auc:0.76028
[1]	train-auc:0.80654	test-auc:0.76810
[2]	train-auc:0.82153	test-auc:0.78918
[3]	train-auc:0.82729	test-auc:0.80360
[4]	train-auc:0.83045	test-auc:0.80782
[5]	train-auc:0.83241	test-auc:0.81302
[6]	train-auc:0.83359	test-auc:0.81290
[7]	train-auc:0.83608	test-auc:0.81510
[8]	train-auc:0.83742	test-auc:0.81535
[9]	train-auc:0.83840	test-auc:0.81509
[10]	train-auc:0.83939	test-auc:0.81599
[11]	train-auc:0.84000	test-auc:0.81719
[12]	train-auc:0.84063	test-auc:0.81705
[13]	train-auc:0.84276	test-auc:0.81691
[14]	train-auc:0.84431	test-auc:0.81699
[15]	train-auc:0.84488	test-auc:0.81872
[16]	train-auc:0.84562	test-auc:0.81874
[17]	train-auc:0.84648	test-auc:0.81928
[18]	train-auc:0.84795	test-auc:0.81966
[19]	train-auc:0.84860	test-auc:0.81905
[20]	train-auc:0.84947	test-auc:0.81967
[21]	train-auc:0.85085	test-auc:0.81993
[22]	train-auc:0.85135	test-auc:0.81921
[23]	train-auc:0.85205	test-auc:0.82022
[24]	train-auc:0.85301	test-auc:0.82059
[25]	train-auc:0.85355	test-auc:0.82073
[26]	train-auc:0.85509	test-auc:0.82283
[27]	train-auc:0.85598	test-auc:0.82301
[28]	train-auc:0.85681	test-auc:0.82289
[29]	train-auc:0.85781	test-auc:0.82305
[30]	train-auc:0.85838	test-auc:0.82322
[31]	train-auc:0.85929	test-auc:0.82326
[32]	train-auc:0.85998	test-auc:0.82360
[33]	train-auc:0.86089	test-auc:0.82569
[34]	train-auc:0.86138	test-auc:0.82585
[35]	train-auc:0.86220	test-auc:0.82600
[36]	train-auc:0.86289	test-auc:0.82646
[37]	train-auc:0.86374	test-auc:0.82731
[38]	train-auc:0.86439	test-auc:0.82822
[39]	train-auc:0.86558	test-auc:0.82810
[40]	train-auc:0.86628	test-auc:0.82929
[41]	train-auc:0.86725	test-auc:0.82948
[42]	train-auc:0.86789	test-auc:0.83008
[43]	train-auc:0.86841	test-auc:0.83085
[44]	train-auc:0.86927	test-auc:0.83181
[45]	train-auc:0.86979	test-auc:0.83197
[46]	train-auc:0.87061	test-auc:0.83259
[47]	train-auc:0.87140	test-auc:0.83319
[48]	train-auc:0.87186	test-auc:0.83348
[49]	train-auc:0.87236	test-auc:0.83384
[50]	train-auc:0.87304	test-auc:0.83404
[51]	train-auc:0.87353	test-auc:0.83478
[52]	train-auc:0.87416	test-auc:0.83532
[53]	train-auc:0.87460	test-auc:0.83537
[54]	train-auc:0.87549	test-auc:0.83531
[55]	train-auc:0.87609	test-auc:0.83588
[56]	train-auc:0.87663	test-auc:0.83597
[57]	train-auc:0.87694	test-auc:0.83642
[58]	train-auc:0.87753	test-auc:0.83643
[59]	train-auc:0.87798	test-auc:0.83720
[60]	train-auc:0.87838	test-auc:0.83703
[61]	train-auc:0.87888	test-auc:0.83774
[62]	train-auc:0.87969	test-auc:0.83848
[63]	train-auc:0.88021	test-auc:0.83737
[64]	train-auc:0.88075	test-auc:0.83744
[65]	train-auc:0.88102	test-auc:0.83771
[66]	train-auc:0.88148	test-auc:0.83786
[67]	train-auc:0.88189	test-auc:0.83599
[68]	train-auc:0.88254	test-auc:0.83650
[69]	train-auc:0.88300	test-auc:0.83737
