/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[23:40:49] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79748	test-auc:0.79571
[1]	train-auc:0.80654	test-auc:0.80522
[2]	train-auc:0.82153	test-auc:0.81951
[3]	train-auc:0.82729	test-auc:0.82457
[4]	train-auc:0.83045	test-auc:0.82798
[5]	train-auc:0.83241	test-auc:0.82992
[6]	train-auc:0.83359	test-auc:0.83135
[7]	train-auc:0.83608	test-auc:0.83370
[8]	train-auc:0.83742	test-auc:0.83512
[9]	train-auc:0.83840	test-auc:0.83661
[10]	train-auc:0.83939	test-auc:0.83764
[11]	train-auc:0.84000	test-auc:0.83829
[12]	train-auc:0.84063	test-auc:0.83898
[13]	train-auc:0.84276	test-auc:0.84095
[14]	train-auc:0.84431	test-auc:0.84249
[15]	train-auc:0.84488	test-auc:0.84313
[16]	train-auc:0.84562	test-auc:0.84384
[17]	train-auc:0.84648	test-auc:0.84481
[18]	train-auc:0.84795	test-auc:0.84625
[19]	train-auc:0.84860	test-auc:0.84708
[20]	train-auc:0.84947	test-auc:0.84799
[21]	train-auc:0.85085	test-auc:0.84935
[22]	train-auc:0.85135	test-auc:0.84974
[23]	train-auc:0.85205	test-auc:0.85054
[24]	train-auc:0.85301	test-auc:0.85147
[25]	train-auc:0.85355	test-auc:0.85205
[26]	train-auc:0.85509	test-auc:0.85373
[27]	train-auc:0.85598	test-auc:0.85470
[28]	train-auc:0.85681	test-auc:0.85549
[29]	train-auc:0.85781	test-auc:0.85641
[30]	train-auc:0.85838	test-auc:0.85701
[31]	train-auc:0.85929	test-auc:0.85794
[32]	train-auc:0.85998	test-auc:0.85873
[33]	train-auc:0.86089	test-auc:0.85979
[34]	train-auc:0.86138	test-auc:0.86027
[35]	train-auc:0.86220	test-auc:0.86121
[36]	train-auc:0.86289	test-auc:0.86172
[37]	train-auc:0.86374	test-auc:0.86261
[38]	train-auc:0.86439	test-auc:0.86330
[39]	train-auc:0.86558	test-auc:0.86448
[40]	train-auc:0.86628	test-auc:0.86527
[41]	train-auc:0.86725	test-auc:0.86622
[42]	train-auc:0.86789	test-auc:0.86676
[43]	train-auc:0.86841	test-auc:0.86731
[44]	train-auc:0.86927	test-auc:0.86820
[45]	train-auc:0.86979	test-auc:0.86867
[46]	train-auc:0.87061	test-auc:0.86958
[47]	train-auc:0.87140	test-auc:0.87054
[48]	train-auc:0.87186	test-auc:0.87104
[49]	train-auc:0.87236	test-auc:0.87158
[50]	train-auc:0.87304	test-auc:0.87220
[51]	train-auc:0.87353	test-auc:0.87267
[52]	train-auc:0.87416	test-auc:0.87321
[53]	train-auc:0.87460	test-auc:0.87363
[54]	train-auc:0.87549	test-auc:0.87455
[55]	train-auc:0.87609	test-auc:0.87517
[56]	train-auc:0.87663	test-auc:0.87579
[57]	train-auc:0.87694	test-auc:0.87607
[58]	train-auc:0.87753	test-auc:0.87664
[59]	train-auc:0.87798	test-auc:0.87711
[60]	train-auc:0.87838	test-auc:0.87753
[61]	train-auc:0.87888	test-auc:0.87802
[62]	train-auc:0.87969	test-auc:0.87884
[63]	train-auc:0.88021	test-auc:0.87935
[64]	train-auc:0.88075	test-auc:0.87986
[65]	train-auc:0.88102	test-auc:0.88006
[66]	train-auc:0.88148	test-auc:0.88055
[67]	train-auc:0.88189	test-auc:0.88099
[68]	train-auc:0.88254	test-auc:0.88175
[69]	train-auc:0.88300	test-auc:0.88226
[70]	train-auc:0.88346	test-auc:0.88277
[71]	train-auc:0.88401	test-auc:0.88334
[72]	train-auc:0.88431	test-auc:0.88362
[73]	train-auc:0.88467	test-auc:0.88394
[74]	train-auc:0.88495	test-auc:0.88426
[75]	train-auc:0.88527	test-auc:0.88455
[76]	train-auc:0.88590	test-auc:0.88527
[77]	train-auc:0.88624	test-auc:0.88568
[78]	train-auc:0.88665	test-auc:0.88611
[79]	train-auc:0.88707	test-auc:0.88653
[80]	train-auc:0.88736	test-auc:0.88680
[81]	train-auc:0.88763	test-auc:0.88705
[82]	train-auc:0.88792	test-auc:0.88727
[83]	train-auc:0.88842	test-auc:0.88777
[84]	train-auc:0.88887	test-auc:0.88826
[85]	train-auc:0.88925	test-auc:0.88866
[86]	train-auc:0.88949	test-auc:0.88890
[87]	train-auc:0.88994	test-auc:0.88947
[88]	train-auc:0.89036	test-auc:0.88988
[89]	train-auc:0.89070	test-auc:0.89025
[90]	train-auc:0.89094	test-auc:0.89052
[91]	train-auc:0.89131	test-auc:0.89096
[92]	train-auc:0.89160	test-auc:0.89127
[93]	train-auc:0.89193	test-auc:0.89167
[94]	train-auc:0.89216	test-auc:0.89189
[95]	train-auc:0.89256	test-auc:0.89227
[96]	train-auc:0.89303	test-auc:0.89276
[97]	train-auc:0.89329	test-auc:0.89306
[98]	train-auc:0.89350	test-auc:0.89326
[99]	train-auc:0.89377	test-auc:0.89353
[100]	train-auc:0.89392	test-auc:0.89367
[101]	train-auc:0.89423	test-auc:0.89392
[102]	train-auc:0.89457	test-auc:0.89427
[103]	train-auc:0.89493	test-auc:0.89464
[104]	train-auc:0.89502	test-auc:0.89473
[105]	train-auc:0.89542	test-auc:0.89512
[106]	train-auc:0.89566	test-auc:0.89528
[107]	train-auc:0.89584	test-auc:0.89545
[108]	train-auc:0.89614	test-auc:0.89571
[109]	train-auc:0.89632	test-auc:0.89591
[110]	train-auc:0.89662	test-auc:0.89623
[111]	train-auc:0.89696	test-auc:0.89653
[112]	train-auc:0.89726	test-auc:0.89681
[113]	train-auc:0.89757	test-auc:0.89714
[114]	train-auc:0.89799	test-auc:0.89759
[115]	train-auc:0.89837	test-auc:0.89801
[116]	train-auc:0.89851	test-auc:0.89813
[117]	train-auc:0.89868	test-auc:0.89829
[118]	train-auc:0.89891	test-auc:0.89855
[119]	train-auc:0.89925	test-auc:0.89890
[120]	train-auc:0.89956	test-auc:0.89918
[121]	train-auc:0.89986	test-auc:0.89944
[122]	train-auc:0.90016	test-auc:0.89970
[123]	train-auc:0.90050	test-auc:0.90009
[124]	train-auc:0.90082	test-auc:0.90046
[125]	train-auc:0.90126	test-auc:0.90090
[126]	train-auc:0.90155	test-auc:0.90119
[127]	train-auc:0.90178	test-auc:0.90142
[128]	train-auc:0.90201	test-auc:0.90166
[129]	train-auc:0.90211	test-auc:0.90175
[130]	train-auc:0.90241	test-auc:0.90204
[131]	train-auc:0.90264	test-auc:0.90224
[132]	train-auc:0.90291	test-auc:0.90254
[133]	train-auc:0.90315	test-auc:0.90274
[134]	train-auc:0.90348	test-auc:0.90308
[135]	train-auc:0.90374	test-auc:0.90332
[136]	train-auc:0.90399	test-auc:0.90356
[137]	train-auc:0.90429	test-auc:0.90390
[138]	train-auc:0.90458	test-auc:0.90413
[139]	train-auc:0.90487	test-auc:0.90442
[140]	train-auc:0.90509	test-auc:0.90466
[141]	train-auc:0.90529	test-auc:0.90489
[142]	train-auc:0.90544	test-auc:0.90500
[143]	train-auc:0.90573	test-auc:0.90527
[144]	train-auc:0.90586	test-auc:0.90539
[145]	train-auc:0.90611	test-auc:0.90566
[146]	train-auc:0.90626	test-auc:0.90581
[147]	train-auc:0.90652	test-auc:0.90601
[148]	train-auc:0.90676	test-auc:0.90622
[149]	train-auc:0.90694	test-auc:0.90638
[150]	train-auc:0.90718	test-auc:0.90665
[151]	train-auc:0.90733	test-auc:0.90677
[152]	train-auc:0.90744	test-auc:0.90690
[153]	train-auc:0.90761	test-auc:0.90707
[154]	train-auc:0.90792	test-auc:0.90738
[155]	train-auc:0.90806	test-auc:0.90752
[156]	train-auc:0.90825	test-auc:0.90771
[157]	train-auc:0.90843	test-auc:0.90785
[158]	train-auc:0.90866	test-auc:0.90806
[159]	train-auc:0.90881	test-auc:0.90819
[160]	train-auc:0.90917	test-auc:0.90858
[161]	train-auc:0.90945	test-auc:0.90886
[162]	train-auc:0.90955	test-auc:0.90896
[163]	train-auc:0.90982	test-auc:0.90923
[164]	train-auc:0.91000	test-auc:0.90943
[165]	train-auc:0.91034	test-auc:0.90974
[166]	train-auc:0.91052	test-auc:0.90993
[167]	train-auc:0.91073	test-auc:0.91014
[168]	train-auc:0.91098	test-auc:0.91041
[169]	train-auc:0.91113	test-auc:0.91058
[170]	train-auc:0.91126	test-auc:0.91069
[171]	train-auc:0.91151	test-auc:0.91095
[172]	train-auc:0.91173	test-auc:0.91115
[173]	train-auc:0.91197	test-auc:0.91137
[174]	train-auc:0.91220	test-auc:0.91160
[175]	train-auc:0.91239	test-auc:0.91183
[176]	train-auc:0.91268	test-auc:0.91212
[177]	train-auc:0.91297	test-auc:0.91239
[178]	train-auc:0.91316	test-auc:0.91261
[179]	train-auc:0.91325	test-auc:0.91270
[180]	train-auc:0.91342	test-auc:0.91282
[181]	train-auc:0.91365	test-auc:0.91303
[182]	train-auc:0.91381	test-auc:0.91321
[183]	train-auc:0.91404	test-auc:0.91343
[184]	train-auc:0.91429	test-auc:0.91366
[185]	train-auc:0.91443	test-auc:0.91381
[186]	train-auc:0.91455	test-auc:0.91390
[187]	train-auc:0.91472	test-auc:0.91407
[188]	train-auc:0.91482	test-auc:0.91417
[189]	train-auc:0.91491	test-auc:0.91424
[190]	train-auc:0.91512	test-auc:0.91448
[191]	train-auc:0.91533	test-auc:0.91467
[192]	train-auc:0.91549	test-auc:0.91482
[193]	train-auc:0.91570	test-auc:0.91501
[194]	train-auc:0.91593	test-auc:0.91526
[195]	train-auc:0.91612	test-auc:0.91546
[196]	train-auc:0.91630	test-auc:0.91560
[197]	train-auc:0.91647	test-auc:0.91579
[198]	train-auc:0.91671	test-auc:0.91604
[199]	train-auc:0.91685	test-auc:0.91620
[200]	train-auc:0.91706	test-auc:0.91641
[201]	train-auc:0.91717	test-auc:0.91650
[202]	train-auc:0.91727	test-auc:0.91663
[203]	train-auc:0.91760	test-auc:0.91697
[204]	train-auc:0.91778	test-auc:0.91716
[205]	train-auc:0.91789	test-auc:0.91729
[206]	train-auc:0.91810	test-auc:0.91751
[207]	train-auc:0.91831	test-auc:0.91775
[208]	train-auc:0.91849	test-auc:0.91795
[209]	train-auc:0.91866	test-auc:0.91814
[210]	train-auc:0.91891	test-auc:0.91843
[211]	train-auc:0.91913	test-auc:0.91864
[212]	train-auc:0.91932	test-auc:0.91881
[213]	train-auc:0.91954	test-auc:0.91906
[214]	train-auc:0.91973	test-auc:0.91925
[215]	train-auc:0.91998	test-auc:0.91943
[216]	train-auc:0.92017	test-auc:0.91961
[217]	train-auc:0.92029	test-auc:0.91973
[218]	train-auc:0.92041	test-auc:0.91984
[219]	train-auc:0.92054	test-auc:0.91997
[220]	train-auc:0.92063	test-auc:0.92005
[221]	train-auc:0.92078	test-auc:0.92022
[222]	train-auc:0.92093	test-auc:0.92036
[223]	train-auc:0.92103	test-auc:0.92048
[224]	train-auc:0.92122	test-auc:0.92070
[225]	train-auc:0.92137	test-auc:0.92087
[226]	train-auc:0.92160	test-auc:0.92114
[227]	train-auc:0.92181	test-auc:0.92134
[228]	train-auc:0.92200	test-auc:0.92151
[229]	train-auc:0.92217	test-auc:0.92167
[230]	train-auc:0.92236	test-auc:0.92184
[231]	train-auc:0.92257	test-auc:0.92206
[232]	train-auc:0.92275	test-auc:0.92225
[233]	train-auc:0.92295	test-auc:0.92250
[234]	train-auc:0.92316	test-auc:0.92270
[235]	train-auc:0.92330	test-auc:0.92289
[236]	train-auc:0.92347	test-auc:0.92305
[237]	train-auc:0.92368	test-auc:0.92323
[238]	train-auc:0.92383	test-auc:0.92340
[239]	train-auc:0.92397	test-auc:0.92354
[240]	train-auc:0.92404	test-auc:0.92359
[241]	train-auc:0.92423	test-auc:0.92379
[242]	train-auc:0.92429	test-auc:0.92388
[243]	train-auc:0.92454	test-auc:0.92411
[244]	train-auc:0.92468	test-auc:0.92427
[245]	train-auc:0.92478	test-auc:0.92438
[246]	train-auc:0.92498	test-auc:0.92464
[247]	train-auc:0.92521	test-auc:0.92487
[248]	train-auc:0.92531	test-auc:0.92497
[249]	train-auc:0.92550	test-auc:0.92519
[250]	train-auc:0.92576	test-auc:0.92544
[251]	train-auc:0.92586	test-auc:0.92552
[252]	train-auc:0.92606	test-auc:0.92574
[253]	train-auc:0.92622	test-auc:0.92588
[254]	train-auc:0.92641	test-auc:0.92607
[255]	train-auc:0.92655	test-auc:0.92623
[256]	train-auc:0.92676	test-auc:0.92644
[257]	train-auc:0.92684	test-auc:0.92652
[258]	train-auc:0.92706	test-auc:0.92670
[259]	train-auc:0.92723	test-auc:0.92689
[260]	train-auc:0.92730	test-auc:0.92696
[261]	train-auc:0.92749	test-auc:0.92720
[262]	train-auc:0.92761	test-auc:0.92731
[263]	train-auc:0.92776	test-auc:0.92744
[264]	train-auc:0.92778	test-auc:0.92746
[265]	train-auc:0.92796	test-auc:0.92766
[266]	train-auc:0.92813	test-auc:0.92784
[267]	train-auc:0.92831	test-auc:0.92801
[268]	train-auc:0.92848	test-auc:0.92818
[269]	train-auc:0.92867	test-auc:0.92837
[270]	train-auc:0.92887	test-auc:0.92859
[271]	train-auc:0.92896	test-auc:0.92868
[272]	train-auc:0.92917	test-auc:0.92889
[273]	train-auc:0.92934	test-auc:0.92910
[274]	train-auc:0.92953	test-auc:0.92931
[275]	train-auc:0.92971	test-auc:0.92944
