[00:15:34] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79748	test-auc:0.79563
[1]	train-auc:0.80624	test-auc:0.80314
[2]	train-auc:0.82159	test-auc:0.81896
[3]	train-auc:0.82766	test-auc:0.82482
[4]	train-auc:0.82930	test-auc:0.82632
[5]	train-auc:0.83158	test-auc:0.82902
[6]	train-auc:0.83320	test-auc:0.83075
[7]	train-auc:0.83598	test-auc:0.83343
[8]	train-auc:0.83734	test-auc:0.83468
[9]	train-auc:0.83857	test-auc:0.83613
[10]	train-auc:0.83973	test-auc:0.83747
[11]	train-auc:0.84050	test-auc:0.83834
[12]	train-auc:0.84149	test-auc:0.83937
[13]	train-auc:0.84345	test-auc:0.84153
[14]	train-auc:0.84473	test-auc:0.84308
[15]	train-auc:0.84529	test-auc:0.84365
[16]	train-auc:0.84584	test-auc:0.84428
[17]	train-auc:0.84651	test-auc:0.84504
[18]	train-auc:0.84765	test-auc:0.84618
[19]	train-auc:0.84861	test-auc:0.84721
[20]	train-auc:0.84972	test-auc:0.84805
[21]	train-auc:0.85062	test-auc:0.84898
[22]	train-auc:0.85161	test-auc:0.84971
[23]	train-auc:0.85261	test-auc:0.85062
[24]	train-auc:0.85360	test-auc:0.85162
[25]	train-auc:0.85433	test-auc:0.85247
[26]	train-auc:0.85546	test-auc:0.85369
[27]	train-auc:0.85627	test-auc:0.85458
[28]	train-auc:0.85698	test-auc:0.85523
[29]	train-auc:0.85785	test-auc:0.85611
[30]	train-auc:0.85859	test-auc:0.85678
[31]	train-auc:0.85945	test-auc:0.85771
[32]	train-auc:0.86016	test-auc:0.85834
[33]	train-auc:0.86111	test-auc:0.85957
[34]	train-auc:0.86182	test-auc:0.86034
[35]	train-auc:0.86257	test-auc:0.86112
[36]	train-auc:0.86320	test-auc:0.86178
[37]	train-auc:0.86423	test-auc:0.86277
[38]	train-auc:0.86479	test-auc:0.86340
[39]	train-auc:0.86605	test-auc:0.86470
[40]	train-auc:0.86676	test-auc:0.86540
[41]	train-auc:0.86763	test-auc:0.86626
[42]	train-auc:0.86841	test-auc:0.86697
[43]	train-auc:0.86895	test-auc:0.86750
[44]	train-auc:0.87012	test-auc:0.86857
[45]	train-auc:0.87083	test-auc:0.86916
[46]	train-auc:0.87172	test-auc:0.87007
[47]	train-auc:0.87230	test-auc:0.87067
[48]	train-auc:0.87275	test-auc:0.87116
[49]	train-auc:0.87321	test-auc:0.87167
[50]	train-auc:0.87366	test-auc:0.87212
[51]	train-auc:0.87422	test-auc:0.87275
[52]	train-auc:0.87498	test-auc:0.87360
[53]	train-auc:0.87540	test-auc:0.87402
[54]	train-auc:0.87608	test-auc:0.87470
[55]	train-auc:0.87660	test-auc:0.87525
[56]	train-auc:0.87696	test-auc:0.87570
[57]	train-auc:0.87739	test-auc:0.87611
[58]	train-auc:0.87830	test-auc:0.87707
