[00:25:24] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79879	test-auc:0.79644
[1]	train-auc:0.80702	test-auc:0.80414
[2]	train-auc:0.82204	test-auc:0.81997
[3]	train-auc:0.82750	test-auc:0.82499
[4]	train-auc:0.82920	test-auc:0.82663
[5]	train-auc:0.83146	test-auc:0.82907
[6]	train-auc:0.83311	test-auc:0.83102
[7]	train-auc:0.83526	test-auc:0.83341
[8]	train-auc:0.83666	test-auc:0.83471
[9]	train-auc:0.83786	test-auc:0.83620
[10]	train-auc:0.83919	test-auc:0.83754
[11]	train-auc:0.83979	test-auc:0.83809
[12]	train-auc:0.84084	test-auc:0.83905
[13]	train-auc:0.84271	test-auc:0.84081
[14]	train-auc:0.84372	test-auc:0.84190
[15]	train-auc:0.84441	test-auc:0.84258
[16]	train-auc:0.84510	test-auc:0.84318
[17]	train-auc:0.84582	test-auc:0.84399
[18]	train-auc:0.84688	test-auc:0.84516
[19]	train-auc:0.84776	test-auc:0.84614
[20]	train-auc:0.84857	test-auc:0.84691
[21]	train-auc:0.84952	test-auc:0.84795
[22]	train-auc:0.85076	test-auc:0.84915
[23]	train-auc:0.85160	test-auc:0.84970
[24]	train-auc:0.85258	test-auc:0.85079
[25]	train-auc:0.85327	test-auc:0.85147
[26]	train-auc:0.85419	test-auc:0.85235
[27]	train-auc:0.85556	test-auc:0.85380
[28]	train-auc:0.85637	test-auc:0.85449
[29]	train-auc:0.85720	test-auc:0.85529
[30]	train-auc:0.85831	test-auc:0.85640
[31]	train-auc:0.85903	test-auc:0.85708
[32]	train-auc:0.85975	test-auc:0.85789
[33]	train-auc:0.86042	test-auc:0.85860
[34]	train-auc:0.86115	test-auc:0.85944
[35]	train-auc:0.86182	test-auc:0.86009
[36]	train-auc:0.86241	test-auc:0.86070
[37]	train-auc:0.86333	test-auc:0.86165
[38]	train-auc:0.86381	test-auc:0.86208
[39]	train-auc:0.86456	test-auc:0.86279
