[00:35:52] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81390	test-auc:0.81126
[1]	train-auc:0.82224	test-auc:0.81916
[2]	train-auc:0.82674	test-auc:0.82454
[3]	train-auc:0.82839	test-auc:0.82645
[4]	train-auc:0.83030	test-auc:0.82864
[5]	train-auc:0.83291	test-auc:0.83103
[6]	train-auc:0.83564	test-auc:0.83353
[7]	train-auc:0.83681	test-auc:0.83486
[8]	train-auc:0.83823	test-auc:0.83617
[9]	train-auc:0.83971	test-auc:0.83748
[10]	train-auc:0.84118	test-auc:0.83874
[11]	train-auc:0.84234	test-auc:0.84003
[12]	train-auc:0.84330	test-auc:0.84123
[13]	train-auc:0.84402	test-auc:0.84188
[14]	train-auc:0.84501	test-auc:0.84244
[15]	train-auc:0.84571	test-auc:0.84307
[16]	train-auc:0.84667	test-auc:0.84408
[17]	train-auc:0.84729	test-auc:0.84490
[18]	train-auc:0.84784	test-auc:0.84551
[19]	train-auc:0.84848	test-auc:0.84625
[20]	train-auc:0.84917	test-auc:0.84712
[21]	train-auc:0.84986	test-auc:0.84789
[22]	train-auc:0.85068	test-auc:0.84880
[23]	train-auc:0.85181	test-auc:0.84984
[24]	train-auc:0.85302	test-auc:0.85099
[25]	train-auc:0.85388	test-auc:0.85183
[26]	train-auc:0.85471	test-auc:0.85275
[27]	train-auc:0.85543	test-auc:0.85348
[28]	train-auc:0.85620	test-auc:0.85413
[29]	train-auc:0.85741	test-auc:0.85530
[30]	train-auc:0.85863	test-auc:0.85651
[31]	train-auc:0.85969	test-auc:0.85753
[32]	train-auc:0.86033	test-auc:0.85830
[33]	train-auc:0.86137	test-auc:0.85930
[34]	train-auc:0.86211	test-auc:0.86006
[35]	train-auc:0.86269	test-auc:0.86068
[36]	train-auc:0.86324	test-auc:0.86123
[37]	train-auc:0.86373	test-auc:0.86169
[38]	train-auc:0.86450	test-auc:0.86247
[39]	train-auc:0.86510	test-auc:0.86309
[40]	train-auc:0.86568	test-auc:0.86377
[41]	train-auc:0.86624	test-auc:0.86430
[42]	train-auc:0.86697	test-auc:0.86504
[43]	train-auc:0.86757	test-auc:0.86568
[44]	train-auc:0.86840	test-auc:0.86654
[45]	train-auc:0.86887	test-auc:0.86701
[46]	train-auc:0.86934	test-auc:0.86751
[47]	train-auc:0.87008	test-auc:0.86814
[48]	train-auc:0.87068	test-auc:0.86870
[49]	train-auc:0.87120	test-auc:0.86924
[50]	train-auc:0.87189	test-auc:0.87002
[51]	train-auc:0.87233	test-auc:0.87054
[52]	train-auc:0.87280	test-auc:0.87098
[53]	train-auc:0.87333	test-auc:0.87152
[54]	train-auc:0.87389	test-auc:0.87206
[55]	train-auc:0.87450	test-auc:0.87262
[56]	train-auc:0.87496	test-auc:0.87311
[57]	train-auc:0.87578	test-auc:0.87401
[58]	train-auc:0.87620	test-auc:0.87443
[59]	train-auc:0.87647	test-auc:0.87469
[60]	train-auc:0.87728	test-auc:0.87546
[61]	train-auc:0.87769	test-auc:0.87594
[62]	train-auc:0.87801	test-auc:0.87625
[63]	train-auc:0.87867	test-auc:0.87692
[64]	train-auc:0.87914	test-auc:0.87731
[65]	train-auc:0.87943	test-auc:0.87765
[66]	train-auc:0.88021	test-auc:0.87842
[67]	train-auc:0.88057	test-auc:0.87879
[68]	train-auc:0.88089	test-auc:0.87913
[69]	train-auc:0.88134	test-auc:0.87958
[70]	train-auc:0.88187	test-auc:0.88018
[71]	train-auc:0.88217	test-auc:0.88049
[72]	train-auc:0.88248	test-auc:0.88079
[73]	train-auc:0.88286	test-auc:0.88118
