/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[14:26:02] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79998	test-auc:0.79683
[1]	train-auc:0.80806	test-auc:0.80483
[2]	train-auc:0.82424	test-auc:0.82118
[3]	train-auc:0.83070	test-auc:0.82781
[4]	train-auc:0.83287	test-auc:0.83024
[5]	train-auc:0.83454	test-auc:0.83207
[6]	train-auc:0.83630	test-auc:0.83394
[7]	train-auc:0.83852	test-auc:0.83612
[8]	train-auc:0.83960	test-auc:0.83738
[9]	train-auc:0.84030	test-auc:0.83853
[10]	train-auc:0.84143	test-auc:0.83983
[11]	train-auc:0.84202	test-auc:0.84023
[12]	train-auc:0.84297	test-auc:0.84122
[13]	train-auc:0.84482	test-auc:0.84289
[14]	train-auc:0.84598	test-auc:0.84424
[15]	train-auc:0.84659	test-auc:0.84500
[16]	train-auc:0.84748	test-auc:0.84593
[17]	train-auc:0.84827	test-auc:0.84672
[18]	train-auc:0.84985	test-auc:0.84830
[19]	train-auc:0.85045	test-auc:0.84910
[20]	train-auc:0.85133	test-auc:0.84992
[21]	train-auc:0.85257	test-auc:0.85116
[22]	train-auc:0.85369	test-auc:0.85227
[23]	train-auc:0.85459	test-auc:0.85301
[24]	train-auc:0.85556	test-auc:0.85392
[25]	train-auc:0.85613	test-auc:0.85454
[26]	train-auc:0.85729	test-auc:0.85575
[27]	train-auc:0.85825	test-auc:0.85667
[28]	train-auc:0.85907	test-auc:0.85754
[29]	train-auc:0.85997	test-auc:0.85837
[30]	train-auc:0.86079	test-auc:0.85907
[31]	train-auc:0.86204	test-auc:0.86031
[32]	train-auc:0.86277	test-auc:0.86110
[33]	train-auc:0.86356	test-auc:0.86192
[34]	train-auc:0.86415	test-auc:0.86257
[35]	train-auc:0.86481	test-auc:0.86325
[36]	train-auc:0.86542	test-auc:0.86383
[37]	train-auc:0.86667	test-auc:0.86505
[38]	train-auc:0.86722	test-auc:0.86560
[39]	train-auc:0.86817	test-auc:0.86653
[40]	train-auc:0.86874	test-auc:0.86710
[41]	train-auc:0.86970	test-auc:0.86813
[42]	train-auc:0.87042	test-auc:0.86886
