/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[18:19:48] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81698	test-auc:0.81429
[1]	train-auc:0.81677	test-auc:0.81286
[2]	train-auc:0.82485	test-auc:0.82148
[3]	train-auc:0.82893	test-auc:0.82554
[4]	train-auc:0.83101	test-auc:0.82742
[5]	train-auc:0.83373	test-auc:0.83023
[6]	train-auc:0.83557	test-auc:0.83209
[7]	train-auc:0.83734	test-auc:0.83449
[8]	train-auc:0.83893	test-auc:0.83653
[9]	train-auc:0.84024	test-auc:0.83792
[10]	train-auc:0.84166	test-auc:0.83960
[11]	train-auc:0.84392	test-auc:0.84185
[12]	train-auc:0.84467	test-auc:0.84263
[13]	train-auc:0.84534	test-auc:0.84313
[14]	train-auc:0.84661	test-auc:0.84444
[15]	train-auc:0.84725	test-auc:0.84509
[16]	train-auc:0.84801	test-auc:0.84571
[17]	train-auc:0.84931	test-auc:0.84704
[18]	train-auc:0.85050	test-auc:0.84818
[19]	train-auc:0.85140	test-auc:0.84930
[20]	train-auc:0.85256	test-auc:0.85037
[21]	train-auc:0.85376	test-auc:0.85159
[22]	train-auc:0.85452	test-auc:0.85227
[23]	train-auc:0.85515	test-auc:0.85277
[24]	train-auc:0.85591	test-auc:0.85355
[25]	train-auc:0.85648	test-auc:0.85423
[26]	train-auc:0.85747	test-auc:0.85527
[27]	train-auc:0.85818	test-auc:0.85599
[28]	train-auc:0.85873	test-auc:0.85664
[29]	train-auc:0.85976	test-auc:0.85772
[30]	train-auc:0.86092	test-auc:0.85888
[31]	train-auc:0.86141	test-auc:0.85938
[32]	train-auc:0.86213	test-auc:0.86008
[33]	train-auc:0.86291	test-auc:0.86094
[34]	train-auc:0.86395	test-auc:0.86205
[35]	train-auc:0.86454	test-auc:0.86280
[36]	train-auc:0.86503	test-auc:0.86329
[37]	train-auc:0.86589	test-auc:0.86427
[38]	train-auc:0.86650	test-auc:0.86491
[39]	train-auc:0.86716	test-auc:0.86551
[40]	train-auc:0.86784	test-auc:0.86620
[41]	train-auc:0.86897	test-auc:0.86739
[42]	train-auc:0.86981	test-auc:0.86819
[43]	train-auc:0.87036	test-auc:0.86870
[44]	train-auc:0.87083	test-auc:0.86916
[45]	train-auc:0.87128	test-auc:0.86961
[46]	train-auc:0.87189	test-auc:0.87031
[47]	train-auc:0.87254	test-auc:0.87095
[48]	train-auc:0.87321	test-auc:0.87165
[49]	train-auc:0.87421	test-auc:0.87263
[50]	train-auc:0.87479	test-auc:0.87325
[51]	train-auc:0.87528	test-auc:0.87381
[52]	train-auc:0.87572	test-auc:0.87421
[53]	train-auc:0.87625	test-auc:0.87469
[54]	train-auc:0.87677	test-auc:0.87524
[55]	train-auc:0.87776	test-auc:0.87619
[56]	train-auc:0.87835	test-auc:0.87671
[57]	train-auc:0.87882	test-auc:0.87723
[58]	train-auc:0.87940	test-auc:0.87777
[59]	train-auc:0.87972	test-auc:0.87813
[60]	train-auc:0.88003	test-auc:0.87848
[61]	train-auc:0.88051	test-auc:0.87901
[62]	train-auc:0.88097	test-auc:0.87953
[63]	train-auc:0.88142	test-auc:0.87998
[64]	train-auc:0.88179	test-auc:0.88038
[65]	train-auc:0.88213	test-auc:0.88081
[66]	train-auc:0.88247	test-auc:0.88119
[67]	train-auc:0.88337	test-auc:0.88214
[68]	train-auc:0.88380	test-auc:0.88263
[69]	train-auc:0.88412	test-auc:0.88295
[70]	train-auc:0.88445	test-auc:0.88329
[71]	train-auc:0.88505	test-auc:0.88391
[72]	train-auc:0.88533	test-auc:0.88426
[73]	train-auc:0.88580	test-auc:0.88475
[74]	train-auc:0.88623	test-auc:0.88524
[75]	train-auc:0.88649	test-auc:0.88556
[76]	train-auc:0.88692	test-auc:0.88602
[77]	train-auc:0.88761	test-auc:0.88673
[78]	train-auc:0.88801	test-auc:0.88710
[79]	train-auc:0.88832	test-auc:0.88736
[80]	train-auc:0.88860	test-auc:0.88765
[81]	train-auc:0.88917	test-auc:0.88824
[82]	train-auc:0.88952	test-auc:0.88863
[83]	train-auc:0.88989	test-auc:0.88898
[84]	train-auc:0.89021	test-auc:0.88933
[85]	train-auc:0.89049	test-auc:0.88961
[86]	train-auc:0.89084	test-auc:0.88989
[87]	train-auc:0.89113	test-auc:0.89024
[88]	train-auc:0.89149	test-auc:0.89059
[89]	train-auc:0.89174	test-auc:0.89086
[90]	train-auc:0.89208	test-auc:0.89122
[91]	train-auc:0.89245	test-auc:0.89162
[92]	train-auc:0.89272	test-auc:0.89192
[93]	train-auc:0.89297	test-auc:0.89215
[94]	train-auc:0.89333	test-auc:0.89257
[95]	train-auc:0.89364	test-auc:0.89292
[96]	train-auc:0.89382	test-auc:0.89317
[97]	train-auc:0.89416	test-auc:0.89355
[98]	train-auc:0.89445	test-auc:0.89378
[99]	train-auc:0.89522	test-auc:0.89459
[100]	train-auc:0.89545	test-auc:0.89481
[101]	train-auc:0.89581	test-auc:0.89509
[102]	train-auc:0.89597	test-auc:0.89527
[103]	train-auc:0.89624	test-auc:0.89556
[104]	train-auc:0.89644	test-auc:0.89578
[105]	train-auc:0.89673	test-auc:0.89607
[106]	train-auc:0.89735	test-auc:0.89669
[107]	train-auc:0.89769	test-auc:0.89704
[108]	train-auc:0.89801	test-auc:0.89737
[109]	train-auc:0.89831	test-auc:0.89769
[110]	train-auc:0.89865	test-auc:0.89803
[111]	train-auc:0.89895	test-auc:0.89831
[112]	train-auc:0.89930	test-auc:0.89863
[113]	train-auc:0.89963	test-auc:0.89895
[114]	train-auc:0.89993	test-auc:0.89922
[115]	train-auc:0.90015	test-auc:0.89951
[116]	train-auc:0.90037	test-auc:0.89969
[117]	train-auc:0.90055	test-auc:0.89986
[118]	train-auc:0.90070	test-auc:0.90000
[119]	train-auc:0.90099	test-auc:0.90033
[120]	train-auc:0.90123	test-auc:0.90057
[121]	train-auc:0.90159	test-auc:0.90096
[122]	train-auc:0.90187	test-auc:0.90122
[123]	train-auc:0.90233	test-auc:0.90162
[124]	train-auc:0.90251	test-auc:0.90182
[125]	train-auc:0.90280	test-auc:0.90211
[126]	train-auc:0.90312	test-auc:0.90248
[127]	train-auc:0.90330	test-auc:0.90268
[128]	train-auc:0.90355	test-auc:0.90296
[129]	train-auc:0.90378	test-auc:0.90318
[130]	train-auc:0.90425	test-auc:0.90369
[131]	train-auc:0.90455	test-auc:0.90395
[132]	train-auc:0.90476	test-auc:0.90414
[133]	train-auc:0.90501	test-auc:0.90435
[134]	train-auc:0.90536	test-auc:0.90470
[135]	train-auc:0.90555	test-auc:0.90492
[136]	train-auc:0.90579	test-auc:0.90516
[137]	train-auc:0.90599	test-auc:0.90536
[138]	train-auc:0.90629	test-auc:0.90562
[139]	train-auc:0.90652	test-auc:0.90585
[140]	train-auc:0.90682	test-auc:0.90613
[141]	train-auc:0.90719	test-auc:0.90649
[142]	train-auc:0.90748	test-auc:0.90676
[143]	train-auc:0.90768	test-auc:0.90698
[144]	train-auc:0.90790	test-auc:0.90723
[145]	train-auc:0.90817	test-auc:0.90752
[146]	train-auc:0.90840	test-auc:0.90779
[147]	train-auc:0.90858	test-auc:0.90801
[148]	train-auc:0.90882	test-auc:0.90825
[149]	train-auc:0.90911	test-auc:0.90853
[150]	train-auc:0.90941	test-auc:0.90878
[151]	train-auc:0.90963	test-auc:0.90909
[152]	train-auc:0.90979	test-auc:0.90928
[153]	train-auc:0.91002	test-auc:0.90954
[154]	train-auc:0.91024	test-auc:0.90978
[155]	train-auc:0.91060	test-auc:0.91010
[156]	train-auc:0.91071	test-auc:0.91019
[157]	train-auc:0.91095	test-auc:0.91044
[158]	train-auc:0.91118	test-auc:0.91066
[159]	train-auc:0.91133	test-auc:0.91083
[160]	train-auc:0.91154	test-auc:0.91102
[161]	train-auc:0.91173	test-auc:0.91121
[162]	train-auc:0.91185	test-auc:0.91135
[163]	train-auc:0.91197	test-auc:0.91148
[164]	train-auc:0.91216	test-auc:0.91169
[165]	train-auc:0.91242	test-auc:0.91196
[166]	train-auc:0.91260	test-auc:0.91218
[167]	train-auc:0.91276	test-auc:0.91234
[168]	train-auc:0.91311	test-auc:0.91268
[169]	train-auc:0.91334	test-auc:0.91292
[170]	train-auc:0.91353	test-auc:0.91314
[171]	train-auc:0.91370	test-auc:0.91330
[172]	train-auc:0.91407	test-auc:0.91375
[173]	train-auc:0.91432	test-auc:0.91397
[174]	train-auc:0.91446	test-auc:0.91411
[175]	train-auc:0.91472	test-auc:0.91436
[176]	train-auc:0.91494	test-auc:0.91459
[177]	train-auc:0.91503	test-auc:0.91466
[178]	train-auc:0.91511	test-auc:0.91474
[179]	train-auc:0.91526	test-auc:0.91488
[180]	train-auc:0.91544	test-auc:0.91505
[181]	train-auc:0.91580	test-auc:0.91539
[182]	train-auc:0.91600	test-auc:0.91560
[183]	train-auc:0.91619	test-auc:0.91579
[184]	train-auc:0.91641	test-auc:0.91600
[185]	train-auc:0.91656	test-auc:0.91616
[186]	train-auc:0.91670	test-auc:0.91632
[187]	train-auc:0.91690	test-auc:0.91652
[188]	train-auc:0.91717	test-auc:0.91679
[189]	train-auc:0.91748	test-auc:0.91713
[190]	train-auc:0.91760	test-auc:0.91725
[191]	train-auc:0.91775	test-auc:0.91738
[192]	train-auc:0.91794	test-auc:0.91761
[193]	train-auc:0.91809	test-auc:0.91775
[194]	train-auc:0.91824	test-auc:0.91794
[195]	train-auc:0.91834	test-auc:0.91806
[196]	train-auc:0.91851	test-auc:0.91821
[197]	train-auc:0.91863	test-auc:0.91833
[198]	train-auc:0.91877	test-auc:0.91848
[199]	train-auc:0.91888	test-auc:0.91860
[200]	train-auc:0.91900	test-auc:0.91871
[201]	train-auc:0.91911	test-auc:0.91878
[202]	train-auc:0.91928	test-auc:0.91896
[203]	train-auc:0.91949	test-auc:0.91918
