/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[18:33:13] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81941	test-auc:0.80626
[1]	train-auc:0.82068	test-auc:0.80673
[2]	train-auc:0.82938	test-auc:0.81493
[3]	train-auc:0.83278	test-auc:0.81771
[4]	train-auc:0.83485	test-auc:0.81959
[5]	train-auc:0.83774	test-auc:0.82178
[6]	train-auc:0.83923	test-auc:0.82308
[7]	train-auc:0.84056	test-auc:0.82468
[8]	train-auc:0.84229	test-auc:0.82654
[9]	train-auc:0.84347	test-auc:0.82754
[10]	train-auc:0.84537	test-auc:0.82879
[11]	train-auc:0.84747	test-auc:0.83052
[12]	train-auc:0.84880	test-auc:0.83137
[13]	train-auc:0.84969	test-auc:0.83188
[14]	train-auc:0.85106	test-auc:0.83276
[15]	train-auc:0.85178	test-auc:0.83308
[16]	train-auc:0.85255	test-auc:0.83344
[17]	train-auc:0.85385	test-auc:0.83423
[18]	train-auc:0.85507	test-auc:0.83511
[19]	train-auc:0.85594	test-auc:0.83587
[20]	train-auc:0.85720	test-auc:0.83671
[21]	train-auc:0.85852	test-auc:0.83799
[22]	train-auc:0.85937	test-auc:0.83850
[23]	train-auc:0.86028	test-auc:0.83881
[24]	train-auc:0.86112	test-auc:0.83912
[25]	train-auc:0.86186	test-auc:0.83974
[26]	train-auc:0.86309	test-auc:0.84057
[27]	train-auc:0.86382	test-auc:0.84115
[28]	train-auc:0.86453	test-auc:0.84160
[29]	train-auc:0.86551	test-auc:0.84231
[30]	train-auc:0.86656	test-auc:0.84298
[31]	train-auc:0.86706	test-auc:0.84332
[32]	train-auc:0.86798	test-auc:0.84372
[33]	train-auc:0.86883	test-auc:0.84403
[34]	train-auc:0.86997	test-auc:0.84487
[35]	train-auc:0.87059	test-auc:0.84524
[36]	train-auc:0.87124	test-auc:0.84552
[37]	train-auc:0.87272	test-auc:0.84661
[38]	train-auc:0.87340	test-auc:0.84710
[39]	train-auc:0.87405	test-auc:0.84767
[40]	train-auc:0.87465	test-auc:0.84798
[41]	train-auc:0.87557	test-auc:0.84853
[42]	train-auc:0.87644	test-auc:0.84908
[43]	train-auc:0.87710	test-auc:0.84929
[44]	train-auc:0.87761	test-auc:0.84951
[45]	train-auc:0.87813	test-auc:0.84974
[46]	train-auc:0.87922	test-auc:0.85055
[47]	train-auc:0.88020	test-auc:0.85115
[48]	train-auc:0.88071	test-auc:0.85144
[49]	train-auc:0.88126	test-auc:0.85163
[50]	train-auc:0.88187	test-auc:0.85188
[51]	train-auc:0.88228	test-auc:0.85207
[52]	train-auc:0.88274	test-auc:0.85227
[53]	train-auc:0.88343	test-auc:0.85250
[54]	train-auc:0.88386	test-auc:0.85267
[55]	train-auc:0.88522	test-auc:0.85366
[56]	train-auc:0.88587	test-auc:0.85399
[57]	train-auc:0.88635	test-auc:0.85413
[58]	train-auc:0.88717	test-auc:0.85466
[59]	train-auc:0.88789	test-auc:0.85508
[60]	train-auc:0.88841	test-auc:0.85518
[61]	train-auc:0.88896	test-auc:0.85552
[62]	train-auc:0.88931	test-auc:0.85563
[63]	train-auc:0.88984	test-auc:0.85575
[64]	train-auc:0.89011	test-auc:0.85592
[65]	train-auc:0.89064	test-auc:0.85621
[66]	train-auc:0.89118	test-auc:0.85642
[67]	train-auc:0.89156	test-auc:0.85658
[68]	train-auc:0.89211	test-auc:0.85662
[69]	train-auc:0.89247	test-auc:0.85680
[70]	train-auc:0.89281	test-auc:0.85693
[71]	train-auc:0.89377	test-auc:0.85762
[72]	train-auc:0.89421	test-auc:0.85779
[73]	train-auc:0.89487	test-auc:0.85803
[74]	train-auc:0.89518	test-auc:0.85806
[75]	train-auc:0.89554	test-auc:0.85818
[76]	train-auc:0.89579	test-auc:0.85827
[77]	train-auc:0.89609	test-auc:0.85831
[78]	train-auc:0.89638	test-auc:0.85832
[79]	train-auc:0.89675	test-auc:0.85850
[80]	train-auc:0.89719	test-auc:0.85857
[81]	train-auc:0.89761	test-auc:0.85880
[82]	train-auc:0.89816	test-auc:0.85888
[83]	train-auc:0.89866	test-auc:0.85912
[84]	train-auc:0.89914	test-auc:0.85916
[85]	train-auc:0.89943	test-auc:0.85923
[86]	train-auc:0.90014	test-auc:0.85976
[87]	train-auc:0.90062	test-auc:0.85985
[88]	train-auc:0.90105	test-auc:0.85996
[89]	train-auc:0.90142	test-auc:0.86010
[90]	train-auc:0.90192	test-auc:0.86014
[91]	train-auc:0.90234	test-auc:0.86026
[92]	train-auc:0.90258	test-auc:0.86032
[93]	train-auc:0.90307	test-auc:0.86044
[94]	train-auc:0.90343	test-auc:0.86047
[95]	train-auc:0.90366	test-auc:0.86049
[96]	train-auc:0.90384	test-auc:0.86053
[97]	train-auc:0.90427	test-auc:0.86053
[98]	train-auc:0.90452	test-auc:0.86063
[99]	train-auc:0.90494	test-auc:0.86077
[100]	train-auc:0.90520	test-auc:0.86080
[101]	train-auc:0.90546	test-auc:0.86098
[102]	train-auc:0.90584	test-auc:0.86103
[103]	train-auc:0.90606	test-auc:0.86102
[104]	train-auc:0.90665	test-auc:0.86132
[105]	train-auc:0.90707	test-auc:0.86141
[106]	train-auc:0.90736	test-auc:0.86150
[107]	train-auc:0.90760	test-auc:0.86149
[108]	train-auc:0.90783	test-auc:0.86151
[109]	train-auc:0.90801	test-auc:0.86153
[110]	train-auc:0.90859	test-auc:0.86177
[111]	train-auc:0.90880	test-auc:0.86179
[112]	train-auc:0.90912	test-auc:0.86189
[113]	train-auc:0.90944	test-auc:0.86191
[114]	train-auc:0.90992	test-auc:0.86210
[115]	train-auc:0.91018	test-auc:0.86217
[116]	train-auc:0.91045	test-auc:0.86226
[117]	train-auc:0.91067	test-auc:0.86230
[118]	train-auc:0.91100	test-auc:0.86231
