[18:44:55] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81698	test-auc:0.81454
[1]	train-auc:0.81677	test-auc:0.81393
[2]	train-auc:0.82485	test-auc:0.82162
[3]	train-auc:0.82893	test-auc:0.82587
[4]	train-auc:0.83101	test-auc:0.82761
[5]	train-auc:0.83373	test-auc:0.83020
[6]	train-auc:0.83557	test-auc:0.83210
[7]	train-auc:0.83734	test-auc:0.83423
[8]	train-auc:0.83893	test-auc:0.83610
[9]	train-auc:0.84024	test-auc:0.83766
[10]	train-auc:0.84166	test-auc:0.83919
[11]	train-auc:0.84392	test-auc:0.84160
[12]	train-auc:0.84467	test-auc:0.84227
[13]	train-auc:0.84534	test-auc:0.84279
[14]	train-auc:0.84661	test-auc:0.84395
[15]	train-auc:0.84725	test-auc:0.84454
[16]	train-auc:0.84801	test-auc:0.84523
[17]	train-auc:0.84931	test-auc:0.84664
[18]	train-auc:0.85050	test-auc:0.84787
[19]	train-auc:0.85140	test-auc:0.84887
[20]	train-auc:0.85256	test-auc:0.84986
[21]	train-auc:0.85376	test-auc:0.85112
[22]	train-auc:0.85452	test-auc:0.85185
[23]	train-auc:0.85515	test-auc:0.85242
[24]	train-auc:0.85591	test-auc:0.85318
[25]	train-auc:0.85648	test-auc:0.85386
[26]	train-auc:0.85747	test-auc:0.85480
[27]	train-auc:0.85818	test-auc:0.85562
[28]	train-auc:0.85873	test-auc:0.85627
[29]	train-auc:0.85976	test-auc:0.85732
[30]	train-auc:0.86092	test-auc:0.85850
[31]	train-auc:0.86141	test-auc:0.85905
[32]	train-auc:0.86213	test-auc:0.85978
[33]	train-auc:0.86291	test-auc:0.86055
[34]	train-auc:0.86395	test-auc:0.86164
[35]	train-auc:0.86454	test-auc:0.86235
[36]	train-auc:0.86503	test-auc:0.86286
[37]	train-auc:0.86589	test-auc:0.86384
[38]	train-auc:0.86650	test-auc:0.86447
[39]	train-auc:0.86716	test-auc:0.86512
[40]	train-auc:0.86784	test-auc:0.86580
[41]	train-auc:0.86897	test-auc:0.86702
