[18:57:25] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81022	test-auc:0.80151
[1]	train-auc:0.81044	test-auc:0.80095
[2]	train-auc:0.81821	test-auc:0.80795
[3]	train-auc:0.82413	test-auc:0.81271
[4]	train-auc:0.82621	test-auc:0.81503
[5]	train-auc:0.82874	test-auc:0.81751
[6]	train-auc:0.83012	test-auc:0.81893
[7]	train-auc:0.83168	test-auc:0.82107
[8]	train-auc:0.83305	test-auc:0.82267
[9]	train-auc:0.83394	test-auc:0.82344
[10]	train-auc:0.83510	test-auc:0.82453
[11]	train-auc:0.83718	test-auc:0.82646
[12]	train-auc:0.83802	test-auc:0.82710
[13]	train-auc:0.83887	test-auc:0.82759
[14]	train-auc:0.83983	test-auc:0.82823
[15]	train-auc:0.84040	test-auc:0.82874
[16]	train-auc:0.84140	test-auc:0.82952
[17]	train-auc:0.84267	test-auc:0.83064
[18]	train-auc:0.84369	test-auc:0.83151
[19]	train-auc:0.84446	test-auc:0.83225
[20]	train-auc:0.84551	test-auc:0.83295
[21]	train-auc:0.84650	test-auc:0.83380
[22]	train-auc:0.84720	test-auc:0.83426
[23]	train-auc:0.84797	test-auc:0.83477
[24]	train-auc:0.84859	test-auc:0.83521
[25]	train-auc:0.84922	test-auc:0.83577
[26]	train-auc:0.85000	test-auc:0.83631
[27]	train-auc:0.85058	test-auc:0.83686
[28]	train-auc:0.85109	test-auc:0.83716
[29]	train-auc:0.85181	test-auc:0.83771
[30]	train-auc:0.85254	test-auc:0.83806
[31]	train-auc:0.85304	test-auc:0.83833
[32]	train-auc:0.85372	test-auc:0.83880
[33]	train-auc:0.85436	test-auc:0.83912
[34]	train-auc:0.85549	test-auc:0.84015
[35]	train-auc:0.85607	test-auc:0.84067
[36]	train-auc:0.85670	test-auc:0.84103
[37]	train-auc:0.85732	test-auc:0.84143
[38]	train-auc:0.85798	test-auc:0.84192
[39]	train-auc:0.85860	test-auc:0.84246
[40]	train-auc:0.85912	test-auc:0.84282
[41]	train-auc:0.86000	test-auc:0.84353
[42]	train-auc:0.86099	test-auc:0.84441
[43]	train-auc:0.86142	test-auc:0.84460
[44]	train-auc:0.86193	test-auc:0.84486
[45]	train-auc:0.86242	test-auc:0.84509
[46]	train-auc:0.86295	test-auc:0.84553
[47]	train-auc:0.86366	test-auc:0.84586
[48]	train-auc:0.86417	test-auc:0.84620
[49]	train-auc:0.86467	test-auc:0.84648
[50]	train-auc:0.86533	test-auc:0.84692
[51]	train-auc:0.86570	test-auc:0.84712
[52]	train-auc:0.86625	test-auc:0.84746
[53]	train-auc:0.86676	test-auc:0.84779
[54]	train-auc:0.86722	test-auc:0.84796
[55]	train-auc:0.86827	test-auc:0.84878
[56]	train-auc:0.86882	test-auc:0.84919
[57]	train-auc:0.86949	test-auc:0.84957
[58]	train-auc:0.87019	test-auc:0.85011
[59]	train-auc:0.87051	test-auc:0.85033
[60]	train-auc:0.87092	test-auc:0.85055
[61]	train-auc:0.87174	test-auc:0.85113
[62]	train-auc:0.87233	test-auc:0.85145
[63]	train-auc:0.87264	test-auc:0.85166
[64]	train-auc:0.87318	test-auc:0.85213
[65]	train-auc:0.87351	test-auc:0.85237
[66]	train-auc:0.87396	test-auc:0.85262
[67]	train-auc:0.87444	test-auc:0.85286
[68]	train-auc:0.87483	test-auc:0.85304
[69]	train-auc:0.87521	test-auc:0.85316
[70]	train-auc:0.87547	test-auc:0.85333
[71]	train-auc:0.87585	test-auc:0.85355
[72]	train-auc:0.87654	test-auc:0.85420
[73]	train-auc:0.87695	test-auc:0.85444
[74]	train-auc:0.87722	test-auc:0.85459
[75]	train-auc:0.87754	test-auc:0.85477
