/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[19:31:00] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79053	test-auc:0.78760
[1]	train-auc:0.79730	test-auc:0.79505
[2]	train-auc:0.81346	test-auc:0.81067
[3]	train-auc:0.82119	test-auc:0.81823
[4]	train-auc:0.82337	test-auc:0.82065
[5]	train-auc:0.82510	test-auc:0.82253
[6]	train-auc:0.82748	test-auc:0.82492
[7]	train-auc:0.82925	test-auc:0.82673
[8]	train-auc:0.83042	test-auc:0.82795
[9]	train-auc:0.83105	test-auc:0.82900
[10]	train-auc:0.83212	test-auc:0.83014
[11]	train-auc:0.83261	test-auc:0.83060
[12]	train-auc:0.83310	test-auc:0.83095
[13]	train-auc:0.83485	test-auc:0.83244
[14]	train-auc:0.83614	test-auc:0.83358
[15]	train-auc:0.83655	test-auc:0.83385
[16]	train-auc:0.83750	test-auc:0.83480
[17]	train-auc:0.83837	test-auc:0.83579
[18]	train-auc:0.83973	test-auc:0.83722
[19]	train-auc:0.84025	test-auc:0.83787
[20]	train-auc:0.84081	test-auc:0.83842
[21]	train-auc:0.84177	test-auc:0.83933
[22]	train-auc:0.84279	test-auc:0.84036
[23]	train-auc:0.84379	test-auc:0.84136
[24]	train-auc:0.84474	test-auc:0.84236
[25]	train-auc:0.84535	test-auc:0.84302
[26]	train-auc:0.84632	test-auc:0.84386
[27]	train-auc:0.84690	test-auc:0.84442
[28]	train-auc:0.84782	test-auc:0.84527
[29]	train-auc:0.84863	test-auc:0.84610
[30]	train-auc:0.84941	test-auc:0.84687
[31]	train-auc:0.85036	test-auc:0.84787
[32]	train-auc:0.85083	test-auc:0.84839
[33]	train-auc:0.85146	test-auc:0.84904
[34]	train-auc:0.85204	test-auc:0.84963
[35]	train-auc:0.85262	test-auc:0.85027
[36]	train-auc:0.85309	test-auc:0.85066
[37]	train-auc:0.85409	test-auc:0.85158
[38]	train-auc:0.85465	test-auc:0.85220
[39]	train-auc:0.85607	test-auc:0.85363
[40]	train-auc:0.85658	test-auc:0.85421
[41]	train-auc:0.85753	test-auc:0.85515
[42]	train-auc:0.85799	test-auc:0.85557
[43]	train-auc:0.85849	test-auc:0.85611
[44]	train-auc:0.85935	test-auc:0.85696
[45]	train-auc:0.85989	test-auc:0.85758
[46]	train-auc:0.86049	test-auc:0.85819
[47]	train-auc:0.86090	test-auc:0.85857
[48]	train-auc:0.86128	test-auc:0.85897
[49]	train-auc:0.86177	test-auc:0.85952
[50]	train-auc:0.86221	test-auc:0.86000
[51]	train-auc:0.86320	test-auc:0.86100
[52]	train-auc:0.86348	test-auc:0.86130
[53]	train-auc:0.86396	test-auc:0.86183
[54]	train-auc:0.86440	test-auc:0.86228
[55]	train-auc:0.86488	test-auc:0.86278
[56]	train-auc:0.86526	test-auc:0.86321
[57]	train-auc:0.86583	test-auc:0.86380
[58]	train-auc:0.86638	test-auc:0.86433
[59]	train-auc:0.86661	test-auc:0.86457
[60]	train-auc:0.86698	test-auc:0.86499
[61]	train-auc:0.86729	test-auc:0.86533
[62]	train-auc:0.86770	test-auc:0.86573
[63]	train-auc:0.86801	test-auc:0.86605
[64]	train-auc:0.86894	test-auc:0.86698
[65]	train-auc:0.86936	test-auc:0.86742
[66]	train-auc:0.86965	test-auc:0.86777
[67]	train-auc:0.87002	test-auc:0.86813
[68]	train-auc:0.87035	test-auc:0.86848
[69]	train-auc:0.87091	test-auc:0.86901
[70]	train-auc:0.87122	test-auc:0.86937
[71]	train-auc:0.87151	test-auc:0.86968
[72]	train-auc:0.87175	test-auc:0.86989
[73]	train-auc:0.87197	test-auc:0.87012
[74]	train-auc:0.87243	test-auc:0.87061
[75]	train-auc:0.87274	test-auc:0.87092
[76]	train-auc:0.87297	test-auc:0.87112
[77]	train-auc:0.87354	test-auc:0.87172
[78]	train-auc:0.87379	test-auc:0.87199
[79]	train-auc:0.87408	test-auc:0.87228
[80]	train-auc:0.87432	test-auc:0.87255
[81]	train-auc:0.87454	test-auc:0.87282
[82]	train-auc:0.87483	test-auc:0.87311
[83]	train-auc:0.87516	test-auc:0.87343
[84]	train-auc:0.87567	test-auc:0.87394
[85]	train-auc:0.87604	test-auc:0.87438
[86]	train-auc:0.87622	test-auc:0.87458
[87]	train-auc:0.87637	test-auc:0.87474
[88]	train-auc:0.87655	test-auc:0.87490
[89]	train-auc:0.87681	test-auc:0.87518
[90]	train-auc:0.87712	test-auc:0.87549
[91]	train-auc:0.87737	test-auc:0.87575
[92]	train-auc:0.87757	test-auc:0.87598
[93]	train-auc:0.87775	test-auc:0.87620
[94]	train-auc:0.87797	test-auc:0.87640
[95]	train-auc:0.87828	test-auc:0.87670
[96]	train-auc:0.87848	test-auc:0.87692
[97]	train-auc:0.87878	test-auc:0.87722
[98]	train-auc:0.87904	test-auc:0.87748
[99]	train-auc:0.87926	test-auc:0.87770
[100]	train-auc:0.87943	test-auc:0.87788
[101]	train-auc:0.87971	test-auc:0.87818
[102]	train-auc:0.88028	test-auc:0.87879
[103]	train-auc:0.88048	test-auc:0.87901
[104]	train-auc:0.88068	test-auc:0.87921
[105]	train-auc:0.88096	test-auc:0.87949
[106]	train-auc:0.88116	test-auc:0.87973
[107]	train-auc:0.88133	test-auc:0.87990
[108]	train-auc:0.88168	test-auc:0.88023
[109]	train-auc:0.88185	test-auc:0.88042
[110]	train-auc:0.88212	test-auc:0.88070
[111]	train-auc:0.88233	test-auc:0.88091
[112]	train-auc:0.88252	test-auc:0.88110
[113]	train-auc:0.88277	test-auc:0.88131
[114]	train-auc:0.88305	test-auc:0.88158
[115]	train-auc:0.88325	test-auc:0.88181
[116]	train-auc:0.88347	test-auc:0.88204
[117]	train-auc:0.88365	test-auc:0.88223
[118]	train-auc:0.88383	test-auc:0.88242
[119]	train-auc:0.88398	test-auc:0.88257
[120]	train-auc:0.88411	test-auc:0.88270
[121]	train-auc:0.88431	test-auc:0.88292
[122]	train-auc:0.88487	test-auc:0.88354
[123]	train-auc:0.88509	test-auc:0.88380
[124]	train-auc:0.88536	test-auc:0.88405
[125]	train-auc:0.88558	test-auc:0.88424
[126]	train-auc:0.88581	test-auc:0.88447
[127]	train-auc:0.88600	test-auc:0.88464
[128]	train-auc:0.88624	test-auc:0.88489
[129]	train-auc:0.88644	test-auc:0.88505
[130]	train-auc:0.88658	test-auc:0.88519
[131]	train-auc:0.88680	test-auc:0.88541
[132]	train-auc:0.88697	test-auc:0.88560
[133]	train-auc:0.88718	test-auc:0.88581
[134]	train-auc:0.88729	test-auc:0.88591
[135]	train-auc:0.88768	test-auc:0.88631
[136]	train-auc:0.88790	test-auc:0.88653
[137]	train-auc:0.88809	test-auc:0.88670
[138]	train-auc:0.88825	test-auc:0.88685
[139]	train-auc:0.88844	test-auc:0.88703
[140]	train-auc:0.88857	test-auc:0.88715
[141]	train-auc:0.88874	test-auc:0.88733
[142]	train-auc:0.88884	test-auc:0.88745
[143]	train-auc:0.88903	test-auc:0.88765
[144]	train-auc:0.88920	test-auc:0.88782
[145]	train-auc:0.88945	test-auc:0.88810
[146]	train-auc:0.88964	test-auc:0.88831
[147]	train-auc:0.88974	test-auc:0.88841
[148]	train-auc:0.88992	test-auc:0.88857
[149]	train-auc:0.89011	test-auc:0.88875
[150]	train-auc:0.89052	test-auc:0.88921
[151]	train-auc:0.89064	test-auc:0.88936
[152]	train-auc:0.89076	test-auc:0.88950
[153]	train-auc:0.89090	test-auc:0.88965
[154]	train-auc:0.89103	test-auc:0.88980
[155]	train-auc:0.89117	test-auc:0.88995
[156]	train-auc:0.89133	test-auc:0.89011
[157]	train-auc:0.89149	test-auc:0.89031
[158]	train-auc:0.89165	test-auc:0.89046
[159]	train-auc:0.89184	test-auc:0.89065
[160]	train-auc:0.89199	test-auc:0.89079
[161]	train-auc:0.89216	test-auc:0.89098
[162]	train-auc:0.89233	test-auc:0.89112
[163]	train-auc:0.89251	test-auc:0.89130
[164]	train-auc:0.89270	test-auc:0.89153
[165]	train-auc:0.89288	test-auc:0.89171
[166]	train-auc:0.89302	test-auc:0.89184
[167]	train-auc:0.89317	test-auc:0.89197
[168]	train-auc:0.89330	test-auc:0.89208
[169]	train-auc:0.89343	test-auc:0.89221
[170]	train-auc:0.89360	test-auc:0.89236
[171]	train-auc:0.89377	test-auc:0.89254
[172]	train-auc:0.89392	test-auc:0.89270
[173]	train-auc:0.89408	test-auc:0.89285
[174]	train-auc:0.89428	test-auc:0.89305
[175]	train-auc:0.89448	test-auc:0.89327
[176]	train-auc:0.89460	test-auc:0.89341
[177]	train-auc:0.89482	test-auc:0.89363
[178]	train-auc:0.89496	test-auc:0.89376
[179]	train-auc:0.89519	test-auc:0.89401
[180]	train-auc:0.89534	test-auc:0.89417
[181]	train-auc:0.89549	test-auc:0.89431
[182]	train-auc:0.89559	test-auc:0.89437
[183]	train-auc:0.89568	test-auc:0.89446
[184]	train-auc:0.89582	test-auc:0.89462
[185]	train-auc:0.89589	test-auc:0.89470
[186]	train-auc:0.89605	test-auc:0.89485
[187]	train-auc:0.89624	test-auc:0.89504
[188]	train-auc:0.89644	test-auc:0.89527
[189]	train-auc:0.89658	test-auc:0.89543
[190]	train-auc:0.89672	test-auc:0.89558
[191]	train-auc:0.89692	test-auc:0.89576
[192]	train-auc:0.89707	test-auc:0.89592
[193]	train-auc:0.89722	test-auc:0.89608
[194]	train-auc:0.89731	test-auc:0.89614
[195]	train-auc:0.89743	test-auc:0.89629
[196]	train-auc:0.89759	test-auc:0.89645
[197]	train-auc:0.89769	test-auc:0.89654
[198]	train-auc:0.89776	test-auc:0.89663
[199]	train-auc:0.89790	test-auc:0.89678
[200]	train-auc:0.89811	test-auc:0.89698
[201]	train-auc:0.89841	test-auc:0.89728
