[19:37:03] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79998	test-auc:0.79649
[1]	train-auc:0.80851	test-auc:0.80572
[2]	train-auc:0.82457	test-auc:0.82179
[3]	train-auc:0.83108	test-auc:0.82817
[4]	train-auc:0.83312	test-auc:0.83047
[5]	train-auc:0.83467	test-auc:0.83181
[6]	train-auc:0.83629	test-auc:0.83355
[7]	train-auc:0.83851	test-auc:0.83578
[8]	train-auc:0.83981	test-auc:0.83721
[9]	train-auc:0.84070	test-auc:0.83841
[10]	train-auc:0.84180	test-auc:0.83968
[11]	train-auc:0.84236	test-auc:0.84017
[12]	train-auc:0.84320	test-auc:0.84091
[13]	train-auc:0.84528	test-auc:0.84281
[14]	train-auc:0.84645	test-auc:0.84419
[15]	train-auc:0.84705	test-auc:0.84464
[16]	train-auc:0.84794	test-auc:0.84551
[17]	train-auc:0.84869	test-auc:0.84633
[18]	train-auc:0.85024	test-auc:0.84795
[19]	train-auc:0.85083	test-auc:0.84867
[20]	train-auc:0.85170	test-auc:0.84947
[21]	train-auc:0.85308	test-auc:0.85074
[22]	train-auc:0.85384	test-auc:0.85144
[23]	train-auc:0.85496	test-auc:0.85252
[24]	train-auc:0.85597	test-auc:0.85359
[25]	train-auc:0.85658	test-auc:0.85429
[26]	train-auc:0.85792	test-auc:0.85553
[27]	train-auc:0.85865	test-auc:0.85617
[28]	train-auc:0.85940	test-auc:0.85700
[29]	train-auc:0.86024	test-auc:0.85784
[30]	train-auc:0.86138	test-auc:0.85894
[31]	train-auc:0.86268	test-auc:0.86021
[32]	train-auc:0.86343	test-auc:0.86099
[33]	train-auc:0.86403	test-auc:0.86157
[34]	train-auc:0.86466	test-auc:0.86227
[35]	train-auc:0.86537	test-auc:0.86301
[36]	train-auc:0.86602	test-auc:0.86375
[37]	train-auc:0.86701	test-auc:0.86480
[38]	train-auc:0.86761	test-auc:0.86542
[39]	train-auc:0.86853	test-auc:0.86636
[40]	train-auc:0.86906	test-auc:0.86687
[41]	train-auc:0.87022	test-auc:0.86811
[42]	train-auc:0.87073	test-auc:0.86858
[43]	train-auc:0.87128	test-auc:0.86917
[44]	train-auc:0.87216	test-auc:0.87013
[45]	train-auc:0.87269	test-auc:0.87068
[46]	train-auc:0.87343	test-auc:0.87135
[47]	train-auc:0.87418	test-auc:0.87218
[48]	train-auc:0.87472	test-auc:0.87274
[49]	train-auc:0.87535	test-auc:0.87336
[50]	train-auc:0.87579	test-auc:0.87383
[51]	train-auc:0.87631	test-auc:0.87446
[52]	train-auc:0.87712	test-auc:0.87532
[53]	train-auc:0.87753	test-auc:0.87569
[54]	train-auc:0.87787	test-auc:0.87599
[55]	train-auc:0.87830	test-auc:0.87641
[56]	train-auc:0.87885	test-auc:0.87695
[57]	train-auc:0.87947	test-auc:0.87760
[58]	train-auc:0.88011	test-auc:0.87824
[59]	train-auc:0.88050	test-auc:0.87861
[60]	train-auc:0.88081	test-auc:0.87892
[61]	train-auc:0.88122	test-auc:0.87936
[62]	train-auc:0.88183	test-auc:0.88003
[63]	train-auc:0.88233	test-auc:0.88058
[64]	train-auc:0.88331	test-auc:0.88158
[65]	train-auc:0.88370	test-auc:0.88199
[66]	train-auc:0.88428	test-auc:0.88252
[67]	train-auc:0.88467	test-auc:0.88296
[68]	train-auc:0.88502	test-auc:0.88328
[69]	train-auc:0.88553	test-auc:0.88382
[70]	train-auc:0.88581	test-auc:0.88413
[71]	train-auc:0.88628	test-auc:0.88459
[72]	train-auc:0.88665	test-auc:0.88495
[73]	train-auc:0.88688	test-auc:0.88517
[74]	train-auc:0.88732	test-auc:0.88562
[75]	train-auc:0.88764	test-auc:0.88595
[76]	train-auc:0.88800	test-auc:0.88635
[77]	train-auc:0.88834	test-auc:0.88664
[78]	train-auc:0.88869	test-auc:0.88705
