/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 22507, number of negative: 81618
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.148329 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 25846
[LightGBM] [Info] Number of data points in the train set: 104125, number of used features: 176
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216154 -> initscore=-1.288223
[LightGBM] [Info] Start training from score -1.288223
[1]	val's auc: 0.801987
Training until validation scores don't improve for 10 rounds
[2]	val's auc: 0.813112
[3]	val's auc: 0.81817
[4]	val's auc: 0.82309
[5]	val's auc: 0.826005
[6]	val's auc: 0.827388
[7]	val's auc: 0.830091
[8]	val's auc: 0.831632
[9]	val's auc: 0.833225
[10]	val's auc: 0.834334
[11]	val's auc: 0.83544
[12]	val's auc: 0.836175
[13]	val's auc: 0.836586
[14]	val's auc: 0.837234
[15]	val's auc: 0.837987
[16]	val's auc: 0.838701
[17]	val's auc: 0.839715
[18]	val's auc: 0.840445
[19]	val's auc: 0.840884
[20]	val's auc: 0.841439
[21]	val's auc: 0.842382
[22]	val's auc: 0.843097
[23]	val's auc: 0.843874
[24]	val's auc: 0.844323
[25]	val's auc: 0.845017
[26]	val's auc: 0.845521
[27]	val's auc: 0.845707
[28]	val's auc: 0.846127
[29]	val's auc: 0.846675
[30]	val's auc: 0.847051
[31]	val's auc: 0.847567
[32]	val's auc: 0.84799
[33]	val's auc: 0.848402
[34]	val's auc: 0.848776
[35]	val's auc: 0.849006
[36]	val's auc: 0.849279
[37]	val's auc: 0.849667
[38]	val's auc: 0.85003
[39]	val's auc: 0.850454
[40]	val's auc: 0.850824
[41]	val's auc: 0.851065
[42]	val's auc: 0.85139
[43]	val's auc: 0.851757
[44]	val's auc: 0.852071
[45]	val's auc: 0.852348
[46]	val's auc: 0.852686
[47]	val's auc: 0.852984
[48]	val's auc: 0.853176
[49]	val's auc: 0.853462
[50]	val's auc: 0.853675
[51]	val's auc: 0.853904
[52]	val's auc: 0.854174
[53]	val's auc: 0.854386
[54]	val's auc: 0.854736
[55]	val's auc: 0.854964
[56]	val's auc: 0.855262
[57]	val's auc: 0.85549
[58]	val's auc: 0.855758
[59]	val's auc: 0.856002
[60]	val's auc: 0.856183
[61]	val's auc: 0.85645
[62]	val's auc: 0.856652
[63]	val's auc: 0.856746
[64]	val's auc: 0.856807
[65]	val's auc: 0.856947
[66]	val's auc: 0.857053
[67]	val's auc: 0.857245
[68]	val's auc: 0.857296
[69]	val's auc: 0.857435
[70]	val's auc: 0.857612
[71]	val's auc: 0.857692
[72]	val's auc: 0.857864
[73]	val's auc: 0.858093
[74]	val's auc: 0.858229
[75]	val's auc: 0.858391
[76]	val's auc: 0.858516
[77]	val's auc: 0.858603
[78]	val's auc: 0.858715
[79]	val's auc: 0.858878
[80]	val's auc: 0.858929
[81]	val's auc: 0.859173
[82]	val's auc: 0.859288
[83]	val's auc: 0.859436
[84]	val's auc: 0.859512
[85]	val's auc: 0.859634
[86]	val's auc: 0.859861
[87]	val's auc: 0.859994
[88]	val's auc: 0.860062
[89]	val's auc: 0.8602
[90]	val's auc: 0.860201
[91]	val's auc: 0.860265
[92]	val's auc: 0.860291
[93]	val's auc: 0.86045
[94]	val's auc: 0.860575
[95]	val's auc: 0.860638
[96]	val's auc: 0.86069
[97]	val's auc: 0.860762
[98]	val's auc: 0.860865
[99]	val's auc: 0.861021
[100]	val's auc: 0.861062
[101]	val's auc: 0.861074
[102]	val's auc: 0.861159
[103]	val's auc: 0.8612
[104]	val's auc: 0.861295
[105]	val's auc: 0.861309
[106]	val's auc: 0.861356
[107]	val's auc: 0.861426
[108]	val's auc: 0.86144
[109]	val's auc: 0.861465
[110]	val's auc: 0.861511
[111]	val's auc: 0.861613
[112]	val's auc: 0.861655
[113]	val's auc: 0.861675
[114]	val's auc: 0.861701
[115]	val's auc: 0.861823
[116]	val's auc: 0.86183
[117]	val's auc: 0.861877
[118]	val's auc: 0.861923
[119]	val's auc: 0.861972
[120]	val's auc: 0.862008
[121]	val's auc: 0.862093
[122]	val's auc: 0.862153
[123]	val's auc: 0.862125
[124]	val's auc: 0.86214
[125]	val's auc: 0.862249
[126]	val's auc: 0.862282
[127]	val's auc: 0.862298
[128]	val's auc: 0.862343
[129]	val's auc: 0.862382
[130]	val's auc: 0.862385
[131]	val's auc: 0.8624
[132]	val's auc: 0.862414
[133]	val's auc: 0.862452
[134]	val's auc: 0.862466
[135]	val's auc: 0.862504
[136]	val's auc: 0.862503
[137]	val's auc: 0.862567
[138]	val's auc: 0.86257
[139]	val's auc: 0.862577
[140]	val's auc: 0.862597
[141]	val's auc: 0.862569
[142]	val's auc: 0.862629
[143]	val's auc: 0.862708
[144]	val's auc: 0.862742
[145]	val's auc: 0.862822
[146]	val's auc: 0.862846
[147]	val's auc: 0.86288
[148]	val's auc: 0.862894
[149]	val's auc: 0.862944
[150]	val's auc: 0.862997
[151]	val's auc: 0.863009
[152]	val's auc: 0.862977
[153]	val's auc: 0.863032
[154]	val's auc: 0.863103
[155]	val's auc: 0.86309
[156]	val's auc: 0.863118
[157]	val's auc: 0.863116
[158]	val's auc: 0.863169
[159]	val's auc: 0.863185
[160]	val's auc: 0.863192
[161]	val's auc: 0.863251
[162]	val's auc: 0.863283
[163]	val's auc: 0.863369
[164]	val's auc: 0.863353
[165]	val's auc: 0.863424
[166]	val's auc: 0.863442
[167]	val's auc: 0.863429
[168]	val's auc: 0.863468
[169]	val's auc: 0.863439
[170]	val's auc: 0.863423
[171]	val's auc: 0.86344
[172]	val's auc: 0.8635
[173]	val's auc: 0.863575
[174]	val's auc: 0.86358
[175]	val's auc: 0.863643
[176]	val's auc: 0.863628
[177]	val's auc: 0.863614
[178]	val's auc: 0.863634
[179]	val's auc: 0.863606
[180]	val's auc: 0.863626
[181]	val's auc: 0.863639
[182]	val's auc: 0.863729
[183]	val's auc: 0.863738
[184]	val's auc: 0.863707
[185]	val's auc: 0.863698
[186]	val's auc: 0.86372
[187]	val's auc: 0.863765
[188]	val's auc: 0.863746
[189]	val's auc: 0.863775
[190]	val's auc: 0.863778
[191]	val's auc: 0.863741
[192]	val's auc: 0.863793
[193]	val's auc: 0.863821
[194]	val's auc: 0.863868
[195]	val's auc: 0.863902
[196]	val's auc: 0.86389
[197]	val's auc: 0.863878
[198]	val's auc: 0.863886
[199]	val's auc: 0.863863
[200]	val's auc: 0.86387
