/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:20:49] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81540	test-auc:0.80606
[1]	train-auc:0.82424	test-auc:0.81437
[2]	train-auc:0.82878	test-auc:0.81819
[3]	train-auc:0.83060	test-auc:0.82019
[4]	train-auc:0.83265	test-auc:0.82156
[5]	train-auc:0.83463	test-auc:0.82292
[6]	train-auc:0.83572	test-auc:0.82361
[7]	train-auc:0.83713	test-auc:0.82518
[8]	train-auc:0.83825	test-auc:0.82639
[9]	train-auc:0.83921	test-auc:0.82703
[10]	train-auc:0.84012	test-auc:0.82802
[11]	train-auc:0.84099	test-auc:0.82864
[12]	train-auc:0.84230	test-auc:0.82908
[13]	train-auc:0.84365	test-auc:0.83026
[14]	train-auc:0.84558	test-auc:0.83172
[15]	train-auc:0.84632	test-auc:0.83234
[16]	train-auc:0.84708	test-auc:0.83268
[17]	train-auc:0.84808	test-auc:0.83335
[18]	train-auc:0.84920	test-auc:0.83424
[19]	train-auc:0.85000	test-auc:0.83476
[20]	train-auc:0.85114	test-auc:0.83551
[21]	train-auc:0.85189	test-auc:0.83591
[22]	train-auc:0.85243	test-auc:0.83619
[23]	train-auc:0.85318	test-auc:0.83672
[24]	train-auc:0.85415	test-auc:0.83748
[25]	train-auc:0.85494	test-auc:0.83801
[26]	train-auc:0.85570	test-auc:0.83834
[27]	train-auc:0.85655	test-auc:0.83888
[28]	train-auc:0.85752	test-auc:0.83949
[29]	train-auc:0.85845	test-auc:0.84006
[30]	train-auc:0.85937	test-auc:0.84069
[31]	train-auc:0.86030	test-auc:0.84131
[32]	train-auc:0.86112	test-auc:0.84181
[33]	train-auc:0.86194	test-auc:0.84242
[34]	train-auc:0.86281	test-auc:0.84333
[35]	train-auc:0.86357	test-auc:0.84382
[36]	train-auc:0.86435	test-auc:0.84437
[37]	train-auc:0.86501	test-auc:0.84475
[38]	train-auc:0.86582	test-auc:0.84535
[39]	train-auc:0.86677	test-auc:0.84598
[40]	train-auc:0.86740	test-auc:0.84630
[41]	train-auc:0.86810	test-auc:0.84687
[42]	train-auc:0.86875	test-auc:0.84723
[43]	train-auc:0.86916	test-auc:0.84750
[44]	train-auc:0.86974	test-auc:0.84790
[45]	train-auc:0.87043	test-auc:0.84820
