[21:55:26] WARNING: ../src/learner.cc:541: 
Parameters: { early_stopping_rounds, n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.81724	test-auc:0.81474
[1]	train-auc:0.82481	test-auc:0.82294
[2]	train-auc:0.82825	test-auc:0.82599
[3]	train-auc:0.83127	test-auc:0.82937
[4]	train-auc:0.83399	test-auc:0.83197
[5]	train-auc:0.83592	test-auc:0.83387
[6]	train-auc:0.83762	test-auc:0.83547
[7]	train-auc:0.83864	test-auc:0.83657
[8]	train-auc:0.83928	test-auc:0.83716
[9]	train-auc:0.84061	test-auc:0.83857
[10]	train-auc:0.84167	test-auc:0.83982
[11]	train-auc:0.84283	test-auc:0.84096
[12]	train-auc:0.84425	test-auc:0.84227
[13]	train-auc:0.84528	test-auc:0.84346
[14]	train-auc:0.84659	test-auc:0.84468
[15]	train-auc:0.84751	test-auc:0.84564
[16]	train-auc:0.84836	test-auc:0.84656
[17]	train-auc:0.84932	test-auc:0.84748
[18]	train-auc:0.85011	test-auc:0.84814
[19]	train-auc:0.85078	test-auc:0.84886
[20]	train-auc:0.85152	test-auc:0.84951
[21]	train-auc:0.85214	test-auc:0.85024
[22]	train-auc:0.85309	test-auc:0.85116
[23]	train-auc:0.85376	test-auc:0.85198
[24]	train-auc:0.85462	test-auc:0.85303
[25]	train-auc:0.85545	test-auc:0.85385
[26]	train-auc:0.85624	test-auc:0.85457
[27]	train-auc:0.85693	test-auc:0.85524
[28]	train-auc:0.85763	test-auc:0.85605
[29]	train-auc:0.85824	test-auc:0.85659
[30]	train-auc:0.85901	test-auc:0.85731
[31]	train-auc:0.85979	test-auc:0.85810
[32]	train-auc:0.86056	test-auc:0.85906
[33]	train-auc:0.86130	test-auc:0.85984
[34]	train-auc:0.86201	test-auc:0.86051
[35]	train-auc:0.86275	test-auc:0.86128
[36]	train-auc:0.86342	test-auc:0.86208
[37]	train-auc:0.86421	test-auc:0.86296
