/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:46:09] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.75223	test-auc:0.73995
[1]	train-auc:0.78271	test-auc:0.76701
[2]	train-auc:0.79158	test-auc:0.77626
[3]	train-auc:0.79611	test-auc:0.77977
[4]	train-auc:0.80402	test-auc:0.78749
[5]	train-auc:0.80726	test-auc:0.78937
[6]	train-auc:0.80978	test-auc:0.79067
[7]	train-auc:0.81373	test-auc:0.79353
[8]	train-auc:0.81630	test-auc:0.79529
[9]	train-auc:0.81818	test-auc:0.79713
[10]	train-auc:0.81984	test-auc:0.79828
[11]	train-auc:0.82199	test-auc:0.80039
[12]	train-auc:0.82317	test-auc:0.80073
[13]	train-auc:0.82525	test-auc:0.80220
[14]	train-auc:0.82645	test-auc:0.80290
[15]	train-auc:0.82793	test-auc:0.80436
[16]	train-auc:0.82978	test-auc:0.80545
[17]	train-auc:0.83130	test-auc:0.80617
[18]	train-auc:0.83312	test-auc:0.80734
[19]	train-auc:0.83486	test-auc:0.80849
[20]	train-auc:0.83659	test-auc:0.80978
[21]	train-auc:0.83818	test-auc:0.81120
[22]	train-auc:0.83965	test-auc:0.81197
[23]	train-auc:0.84138	test-auc:0.81303
[24]	train-auc:0.84299	test-auc:0.81374
[25]	train-auc:0.84422	test-auc:0.81451
[26]	train-auc:0.84574	test-auc:0.81530
[27]	train-auc:0.84738	test-auc:0.81588
[28]	train-auc:0.84875	test-auc:0.81673
[29]	train-auc:0.84962	test-auc:0.81720
[30]	train-auc:0.85133	test-auc:0.81796
[31]	train-auc:0.85287	test-auc:0.81876
[32]	train-auc:0.85404	test-auc:0.81937
[33]	train-auc:0.85518	test-auc:0.81989
[34]	train-auc:0.85658	test-auc:0.82075
[35]	train-auc:0.85765	test-auc:0.82153
[36]	train-auc:0.85865	test-auc:0.82210
[37]	train-auc:0.85997	test-auc:0.82264
[38]	train-auc:0.86120	test-auc:0.82299
[39]	train-auc:0.86233	test-auc:0.82374
[40]	train-auc:0.86376	test-auc:0.82467
[41]	train-auc:0.86450	test-auc:0.82528
[42]	train-auc:0.86543	test-auc:0.82577
[43]	train-auc:0.86651	test-auc:0.82628
[44]	train-auc:0.86728	test-auc:0.82648
[45]	train-auc:0.86855	test-auc:0.82687
[46]	train-auc:0.86953	test-auc:0.82755
[47]	train-auc:0.87047	test-auc:0.82797
[48]	train-auc:0.87155	test-auc:0.82818
[49]	train-auc:0.87239	test-auc:0.82859
[50]	train-auc:0.87311	test-auc:0.82916
[51]	train-auc:0.87406	test-auc:0.82930
[52]	train-auc:0.87505	test-auc:0.82991
[53]	train-auc:0.87557	test-auc:0.83046
[54]	train-auc:0.87659	test-auc:0.83083
[55]	train-auc:0.87761	test-auc:0.83123
[56]	train-auc:0.87861	test-auc:0.83164
[57]	train-auc:0.87973	test-auc:0.83201
[58]	train-auc:0.88037	test-auc:0.83245
[59]	train-auc:0.88132	test-auc:0.83267
[60]	train-auc:0.88237	test-auc:0.83293
[61]	train-auc:0.88327	test-auc:0.83322
[62]	train-auc:0.88414	test-auc:0.83352
[63]	train-auc:0.88460	test-auc:0.83357
[64]	train-auc:0.88495	test-auc:0.83391
[65]	train-auc:0.88589	test-auc:0.83426
[66]	train-auc:0.88657	test-auc:0.83456
[67]	train-auc:0.88728	test-auc:0.83478
[68]	train-auc:0.88807	test-auc:0.83509
[69]	train-auc:0.88901	test-auc:0.83528
[70]	train-auc:0.88958	test-auc:0.83557
[71]	train-auc:0.89027	test-auc:0.83576
[72]	train-auc:0.89064	test-auc:0.83598
