[18:28:38] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79844	test-auc:0.78589
[1]	train-auc:0.80588	test-auc:0.79290
[2]	train-auc:0.82175	test-auc:0.80798
[3]	train-auc:0.82916	test-auc:0.81547
[4]	train-auc:0.83189	test-auc:0.81945
[5]	train-auc:0.83315	test-auc:0.82014
[6]	train-auc:0.83421	test-auc:0.82090
[7]	train-auc:0.83649	test-auc:0.82332
[8]	train-auc:0.83827	test-auc:0.82528
[9]	train-auc:0.83896	test-auc:0.82587
[10]	train-auc:0.83984	test-auc:0.82653
[11]	train-auc:0.84054	test-auc:0.82697
[12]	train-auc:0.84111	test-auc:0.82717
[13]	train-auc:0.84337	test-auc:0.82886
[14]	train-auc:0.84489	test-auc:0.83005
[15]	train-auc:0.84559	test-auc:0.83059
[16]	train-auc:0.84643	test-auc:0.83088
[17]	train-auc:0.84722	test-auc:0.83156
[18]	train-auc:0.84860	test-auc:0.83250
[19]	train-auc:0.84934	test-auc:0.83301
[20]	train-auc:0.85031	test-auc:0.83380
[21]	train-auc:0.85107	test-auc:0.83451
[22]	train-auc:0.85182	test-auc:0.83492
[23]	train-auc:0.85305	test-auc:0.83575
[24]	train-auc:0.85422	test-auc:0.83656
[25]	train-auc:0.85506	test-auc:0.83691
[26]	train-auc:0.85606	test-auc:0.83759
[27]	train-auc:0.85694	test-auc:0.83809
[28]	train-auc:0.85771	test-auc:0.83848
[29]	train-auc:0.85872	test-auc:0.83903
[30]	train-auc:0.85963	test-auc:0.83946
[31]	train-auc:0.86068	test-auc:0.84006
[32]	train-auc:0.86136	test-auc:0.84054
[33]	train-auc:0.86238	test-auc:0.84123
[34]	train-auc:0.86304	test-auc:0.84154
[35]	train-auc:0.86370	test-auc:0.84196
[36]	train-auc:0.86442	test-auc:0.84230
[37]	train-auc:0.86526	test-auc:0.84275
